panel,sha,date,rows,cols,last,role
U56,c006b439,2026-09-04,4698,56,2026-09-03,LADDER
U56,50585c86,2026-09-04,4699,56,2026-09-04,LADDER
U56,f138ee9a,2026-09-07,4699,56,2026-09-04,LADDER
U56,9ee888f4,2026-09-08,4700,56,2026-09-08,LADDER
U56,7a93b075,2026-09-09,4701,56,2026-09-09,LADDER
U56,60e8c36a,2026-09-10,4702,56,2026-09-10,LADDER
U56,56e08b10,2026-09-11,4703,56,2026-09-11,LADDER
U56,b2528b96,2026-09-14,4704,56,2026-09-14,LADDER
U56,868b5c36,2026-09-15,4705,56,2026-09-15,LADDER
U56,0ede2282,2026-09-03,6060,56,2026-09-04,SCHEMA-BREAK (excluded)
U56,fb208174,2026-09-03,6059,56,2026-09-04,SCHEMA-BREAK (excluded)
B136,0ede2282,2026-09-03,4698,136,2026-09-03,LADDER
B136,d434ebc4,2026-09-04,4698,136,2026-09-03,LADDER
B136,50585c86,2026-09-04,4699,136,2026-09-04,LADDER
B136,56e08b10,2026-09-11,4703,136,2026-09-11,LADDER
