panel,N,n,gross,cost_bps,CAGR,AnnRet,Sharpe,Vol,MaxDD,H1,H2,turnover_yr,keep4a,keep4b,bind4b
U56,55,1,0.75,0,0.09211435165993764,0.09721753584579076,0.7204849580099271,0.13493347052562793,-0.2244631222623532,0.7286249821461541,0.7135337267767489,38.50841889317079,False,False,H1+H2+DD+CAGR
U56,55,1,0.75,10,0.050843823297948454,0.058709116952619975,0.43455874485347745,0.13510053047583992,-0.23032208364523077,0.41378178079662087,0.454362685124725,38.50841889317079,False,False,H1+H2+DD+CAGR
U56,55,1,0.75,25,-0.008263237117635547,0.0009464886128637772,0.006956284835913358,0.1360623716811193,-0.3448794027174741,-0.05563664977312523,0.06573094197758739,38.50841889317079,False,False,H1+H2+DD+CAGR
U56,55,2,0.75,0,0.08244545065601505,0.08586385332455948,0.7457206881647257,0.11514210975677346,-0.1800008399066214,0.8286059415595739,0.6749135971609599,32.3133796013611,False,False,H1+H2+CAGR
U56,55,2,0.75,10,0.048026866536518886,0.053550473723198384,0.4648221538966748,0.11520637145686069,-0.18679679917597836,0.5216760576189241,0.41606417428371395,32.3133796013611,False,False,H1+H2+CAGR
U56,55,2,0.75,25,-0.0016188142423216867,0.00508040432115674,0.043892903016179444,0.11574546161332831,-0.2695765275387093,0.06192510252123757,0.028053483218213784,32.3133796013611,False,False,H1+H2+DD+CAGR
U56,55,3,0.75,0,0.09136773231612039,0.09314358313480142,0.872975141008459,0.10669671879453768,-0.12411800952770036,0.9217330520872781,0.8379949322384698,27.907307652782613,False,False,H1+CAGR
U56,55,3,0.75,10,0.06133811567855707,0.0652362754820188,0.611349145615289,0.10670870475554865,-0.13371241380453003,0.6394539932072524,0.5918754418971359,27.907307652782613,False,False,H1+H2+CAGR
U56,55,3,0.75,25,0.017793250265052407,0.02337531400284488,0.21833114233105624,0.10706358127967293,-0.17508042824493686,0.21573360908873457,0.2219551165433557,27.907307652782613,False,False,H1+H2+CAGR
U56,55,5,0.75,0,0.08960373651725573,0.09110661926369225,0.8875242283953068,0.1026525432758248,-0.13594416682779464,0.8707151843741109,0.9068390375102854,23.771733350819872,False,False,H1+CAGR
U56,55,5,0.75,10,0.06401957908032974,0.06733488591287237,0.6562672186595214,0.10260284834950203,-0.13827818499624522,0.6309426293799714,0.6815549395672943,23.771733350819872,False,False,H1+H2+CAGR
U56,55,5,0.75,25,0.026736793214149568,0.03167728588664258,0.30827214963832744,0.10275753396408711,-0.1565268390691712,0.26995160701495224,0.34267800851417973,23.771733350819872,False,False,H1+H2+CAGR
U56,55,8,0.75,0,0.09801224292837363,0.09865752613715649,0.974002176539227,0.10129086824805791,-0.14442047324885965,1.0722092133902772,0.8953242620876929,18.726581826785367,False,False,CAGR
U56,55,8,0.75,10,0.07765140604322274,0.07993094431037115,0.7893799604997893,0.10125788379497694,-0.15769559308183878,0.8750333258753903,0.7204281439924382,18.726581826785367,False,False,H1+H2+CAGR
U56,55,8,0.75,25,0.047798501045541064,0.05184107157019309,0.5115235443651623,0.10134640358447548,-0.1772336664906603,0.5781493457891963,0.4572978700655502,18.726581826785367,False,False,H1+H2+CAGR
U56,55,10,0.75,0,0.1056715163623203,0.10552813661431912,1.0504019008292464,0.10046453317631018,-0.12864924685734147,1.1853411747901392,0.9396465347762718,16.150078400941673,False,False,CAGR
U56,55,10,0.75,10,0.08796582418327037,0.08937805821337745,0.8897765426539747,0.10045000506170423,-0.13023031144008623,1.0141812202601344,0.7872923515494044,16.150078400941673,False,False,H2+CAGR
U56,55,10,0.75,25,0.061924417471538984,0.06515294061196492,0.6480859127108735,0.10053133285899889,-0.14069602727872577,0.7564270030875286,0.5581887095074258,16.150078400941673,False,False,H1+H2+CAGR
U56,55,15,0.75,0,0.10585473294090764,0.10576138943519099,1.0458598164412725,0.10112386743671183,-0.1582505961911267,1.174667031270837,0.9398639349430788,12.890426673819452,False,False,CAGR
U56,55,15,0.75,10,0.09169806637420264,0.09287096276137154,0.9185454317199698,0.10110655342052197,-0.15935994850316926,1.0453755555154336,0.8136865233845129,12.890426673819452,False,False,H2+CAGR
U56,55,15,0.75,25,0.07079396727730636,0.07353532275064235,0.7270368183723643,0.10114387730083291,-0.16102232507252412,0.8507041361454004,0.6240266911485567,12.890426673819452,False,False,H1+H2+CAGR
U56,55,20,0.75,0,0.11236784137379141,0.11149710815687544,1.1179829607138898,0.09973059704387514,-0.17026766669147586,1.1944158525457644,1.0562906692227914,10.407102010436237,False,True,-
U56,55,20,0.75,10,0.10085853709269843,0.10109000614643922,1.0138986762126754,0.0997042490715656,-0.17115411272586334,1.0872338953378946,0.9544518974850469,10.407102010436237,False,False,CAGR
U56,55,20,0.75,25,0.08381218650989752,0.08547935313078485,0.8573171270299934,0.09970564034677723,-0.17248285685050702,0.9259629981499626,0.8012714370555349,10.407102010436237,False,False,H1+H2+CAGR
U56,55,30,0.75,0,0.10677902825073504,0.10577805273933727,1.141413996309204,0.09267281904845545,-0.15625670375399647,1.1405873314653219,1.1454903722455891,7.14922417199176,False,True,-
U56,55,30,0.75,10,0.09889920480026504,0.0986288285673455,1.0644592526545535,0.09265627436783931,-0.15699535569348566,1.0632055000484175,1.0686822201929778,7.14922417199176,False,False,CAGR
U56,55,30,0.75,25,0.08718200030427292,0.08790499230935789,0.9487596960008542,0.09265253644298856,-0.1581026053772372,0.9468809180481326,0.9531902932382912,7.14922417199176,False,False,H1+CAGR
U56,55,40,0.75,0,0.09915041763107424,0.09798108339547948,1.1849018330873522,0.08269130881516343,-0.13511632463052425,1.1591927247349259,1.210598207439716,4.810578553761733,False,False,CAGR
U56,55,40,0.75,10,0.09387810542941,0.09317050484171774,1.1268324362235005,0.0826835488992242,-0.1357142643299568,1.1008516194727573,1.152657546101895,4.810578553761733,False,False,CAGR
U56,55,40,0.75,25,0.08601581075518272,0.08595463701107514,1.039564898761525,0.08268328135499411,-0.13661079978842017,1.0131868992774977,1.0655745249059254,4.810578553761733,False,False,CAGR
U56,55,1,1.0,0,0.11982575634147907,0.12935348225026647,0.7189014449792456,0.17993214946730404,-0.29088653066817427,0.7300056207119207,0.7092141953227878,51.273463875759624,False,False,H1+H2+DD
U56,55,1,1.0,10,0.06382778793190536,0.0780800183745068,0.43340670239823353,0.1801541553059864,-0.2980807642356279,0.4154627842727464,0.4505564878638165,51.273463875759624,False,False,H1+H2+DD+CAGR
