panel,control,observed,N_IID,N_BLOCK,N_STAT,block_over_iid,obs_over_iid,stat_over_iid,sign_block,sign_obs,between,phi_L63,episode_bars,seed_spread_block,VR63
B136,C_BOOK,20.74030226784948,25.764996968256888,22.450921671634365,21.336993682763136,0.8713729599617052,0.80497980626204,0.8281388004450705,-1.0,-1.0,True,0.6595575441337388,23,0.1340641613398681,0.5325632537639451
B136,C_GATEOFF,22.30648993613683,26.587629887621627,23.78096524668782,22.417042881602054,0.8944372005779837,0.838980008011998,0.8431380674528921,-1.0,-1.0,True,0.6555881547297682,23,0.490096934009717,0.4583406808643638
B136,C_NOREBAL,60.003504311453824,45.33161932550584,49.35934275589864,52.01265803466905,1.0888501997131745,1.3236567588860177,1.1473814262223834,1.0,1.0,True,0.2745198339715963,143,1.3112139948287336,0.8820032392569811
B136,C_SHUFFLE,25.71741913062771,25.97698632435433,25.257243187085088,24.947892786018908,0.9722930470731912,0.9900078018871934,0.960384413900599,-1.0,-1.0,False,2.7728586457165756,155,0.16020511906379653,0.8169191436649923
B136,C_SPY,26.196107494224975,25.017201588383195,26.196107494224975,26.196107494224947,1.0471238120569493,1.0471238120569493,1.0471238120569482,1.0,1.0,True,1.0,23,2.842170943040401e-14,0.4931876808053567
SMALL,C_BOOK,35.81405418032813,40.24632361293324,37.82955832429007,37.691979277962865,0.9399506570615922,0.8898714457690046,0.9365322318744779,-1.0,-1.0,True,0.5452658791148199,39,0.20117615202640593,0.5679927570126914
SMALL,C_GATEOFF,33.14305676645737,41.64327182444992,38.46081033454799,37.120376783285245,0.9235780151156756,0.7958802302127991,0.8913895368204677,-1.0,-1.0,True,0.374397761490697,23,0.2255333602636327,0.5263827761102264
SMALL,C_NOREBAL,38.93723162501094,50.63061514047038,49.34058464781984,48.6642119816589,0.974520742260953,0.7690452015442211,0.961161776262132,-1.0,-1.0,True,0.11032140448870394,1439,1.3386308917341125,0.8927561029175481
SMALL,C_SHUFFLE,46.78093364985628,40.10378255371128,40.704724737621234,39.95976030606502,1.0149846758994643,1.166496790850146,0.9964087615063899,1.0,1.0,True,0.08999978812174944,1006,1.1798550406459611,1.126470341614643
SMALL,C_SPY,26.1971511096732,24.18432197602172,26.19715110967317,26.19715110967319,1.0832286774732462,1.0832286774732474,1.083228677473247,1.0,1.0,True,0.9999999999999859,23,1.7763568394002505e-14,0.4984182240306585
U56,C_BOOK,19.12756183046503,22.57227715331392,19.88027410594916,19.519074672467067,0.8807385258881806,0.8473917673679123,0.8647366209395226,-1.0,-1.0,True,0.7814878139591485,18,0.7448685041739012,0.5326792202218696
U56,C_GATEOFF,20.10683222103151,22.425716188052668,20.120840511046964,20.10683222103155,0.8972217583742708,0.8965971054134473,0.8965971054134491,-1.0,-1.0,True,0.9939590379619343,58,0.08017024909046455,0.4891938609704331
U56,C_NOREBAL,71.9447238308778,57.11474092335621,62.24618562700041,66.41880813714039,1.0898444888427354,1.2596524586782656,1.1629013292079808,1.0,1.0,True,0.3460182480076622,120,0.8542695149438728,0.9946715408178791
U56,C_SHUFFLE,23.161189826322556,22.386346796948427,22.648101674471057,22.810075882358937,1.0116926124613737,1.0346123034902572,1.0189280139923622,1.0,1.0,True,0.33781665137267886,148,0.25329647965032365,0.8698194591958434
U56,C_SPY,26.19715110967317,24.789504129595343,26.19715110967319,26.19715110967317,1.0567839910277714,1.0567839910277708,1.0567839910277708,1.0,1.0,True,1.0000000000000127,23,0.0,0.49342079984126735
