panel,family,dial,cadence,CAGR,Sharpe,MaxDD,H1,H2,oos_CAGR,oos_Sharpe,oos_MaxDD,IS_Sharpe,p4a,p4a_miss,p4b_SPY,p4b_SPY_miss,p4b_EW742,p4b_EW742_miss,p4b_EWW10,p4b_EWW10_miss,memo
U56,BAND-DG,0.5,W,0.05733457831336031,1.2069523833304316,-0.08009405329976282,1.2393478094170267,1.1812076685592574,0.06284216286869304,1.2840012516468897,-0.08009405329976282,1.1086584975385867,False,H1,False,CAGR,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-DG,0.6,W,0.0689151354575479,1.2069518565738175,-0.09573707613032989,1.239628314287528,1.1809769433646307,0.07557880605219314,1.2837920264479934,-0.09573707613032978,1.1089149598503572,False,H1,False,CAGR,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-DG,0.7,W,0.08052844650011926,1.20693070150167,-0.11125431372298977,1.2398890548930674,1.1807253643423863,0.08836600287778484,1.283560696486182,-0.11125431372299022,1.109152552157529,False,H1,False,CAGR,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-DG,0.75,W,0.0863466277658489,1.20691186854518,-0.11896567846859041,1.240011367644835,1.1805913516608169,0.09477776188225273,1.2834365112057164,-0.11896567846859019,1.1092633808818584,False,"H1,H2",False,CAGR,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-DG,0.8,W,0.0921721110493765,1.2068877453587739,-0.1266455909164118,1.2401286782381817,1.1804519337896342,0.1012011953630283,1.2833066011047292,-0.12664559091641192,1.1093694422960765,False,"H2,MaxDD",False,CAGR,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-DG,0.9,W,0.10384360974314455,1.2068218432031166,-0.141910723797806,1.2403463640061951,1.1801552319987085,0.11408165189014574,1.2830284517648842,-0.141910723797806,1.1095646651799198,False,"H2,MaxDD",False,CAGR,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-DG,1.0,W,0.11554030620111111,1.206731922215266,-0.15704953945571776,1.2405410883695902,1.1798341284798817,0.12700447276081173,1.2827249689407199,-0.15704953945571776,1.1097374293568971,False,"H2,MaxDD",True,,False,CAGR,False,CAGR,2026-09-10/11 rules-v2-at-gross-1.00 (the standing candidate; g=0.75 is the LIVE book)
U56,BAND-RESP,0.5,W,0.08138198870511126,1.1627020004763444,-0.1199389509713189,1.2230587711426217,1.1210932602983634,0.08868817472283497,1.201589761176962,-0.11993895097131868,1.1140672072202167,False,"H1,H2,MaxDD",False,CAGR,False,CAGR,False,CAGR,idea 81's respread variant of the same gate
U56,BAND-RESP,0.6,W,0.09783410321646313,1.162773461330895,-0.14278506935042334,1.2233483838442252,1.1210280988179193,0.10667282770214537,1.2015176113261454,-0.14278506935042334,1.1143432074185238,False,"H1,H2,MaxDD",False,CAGR,False,CAGR,False,CAGR,idea 81's respread variant of the same gate
U56,BAND-RESP,0.7,W,0.11433063799173038,1.1628243302362322,-0.1652556543879512,1.223618387496229,1.1209435697081904,0.12472355911628474,1.201424038949153,-0.1652556543879512,1.1146002445831318,False,"H1,H2,MaxDD",True,,False,CAGR,False,CAGR,idea 81's respread variant of the same gate
U56,BAND-RESP,0.75,W,0.12259353127409112,1.1628417918793177,-0.17635084507864907,1.2237456315966837,1.1208939497189383,0.13377135351785352,1.201368944374189,-0.17635084507864895,1.1147214440457887,False,"H1,H2,MaxDD",True,,False,"DD,CAGR",False,"DD,CAGR",idea 81's respread variant of the same gate
U56,BAND-RESP,0.8,W,0.1308650855692357,1.1628540208921165,-0.18735298654202737,1.2238680273684148,1.1208393335891536,0.14283282394157748,1.201308283786187,-0.18735298654202726,1.11483800451018,False,"H1,H2,MaxDD",True,,False,DD,False,DD,idea 81's respread variant of the same gate
