book,panel,full_Sharpe,full_CAGR,full_MaxDD,fixed_4b_k1,share_k1,fixed_4b_k2,share_k2,fixed_4b_k3,share_k3,fixed_4b_k4,share_k4,bind_k2
K4,U56,1.2095309744401905,0.11921216196097117,-0.15485495397691995,PASS,0.7045454545454546,PASS,0.4431818181818182,PASS,0.09090909090909091,PASS,0.03977272727272727,0.26136363636363635
K8,U56,1.2225788453420765,0.14159352927982938,-0.1479115582684295,PASS,0.5909090909090909,PASS,0.4147727272727273,PASS,0.18181818181818182,PASS,0.07954545454545454,0.17613636363636365
K5,U56,1.2016651077116542,0.11544485987825248,-0.15910990262743974,PASS,0.625,PASS,0.3977272727272727,PASS,0.11931818181818182,PASS,0.017045454545454544,0.22727272727272727
K3,U56,1.1582316284744965,0.11783458915117473,-0.1237392928843456,PASS,0.45454545454545453,PASS,0.36363636363636365,PASS,0.0625,PASS,0.028409090909090908,0.09090909090909091
R1,U56,1.1460877446699917,0.11390601126292133,-0.1905060857627321,PASS,0.38636363636363635,PASS,0.32954545454545453,PASS,0.16477272727272727,FAIL,0.07954545454545454,0.056818181818181816
R3,U56,1.2260363003671622,0.15376905043373967,-0.19975796950615476,PASS,0.5170454545454546,PASS,0.29545454545454547,PASS,0.0625,PASS,0.0,0.2215909090909091
K6,U56,1.223289109519813,0.13974222525739366,-0.19419373034827148,PASS,0.3465909090909091,PASS,0.2784090909090909,PASS,0.10227272727272728,PASS,0.07954545454545454,0.06818181818181818
R2,U56,1.087689994351135,0.11508784364638625,-0.18647361198328027,PASS,0.2784090909090909,PASS,0.17045454545454544,PASS,0.09659090909090909,FAIL,0.07386363636363637,0.10795454545454546
R4,B136,1.1264311898720905,0.14985888137427117,-0.1943271934977503,PASS,0.4772727272727273,PASS,0.13636363636363635,FAIL,0.011363636363636364,FAIL,0.005681818181818182,0.3409090909090909
K1,U56,1.0632204595128434,0.12778534248203832,-0.1830834144627017,PASS,0.17045454545454544,PASS,0.11363636363636363,FAIL,0.011363636363636364,FAIL,0.0,0.056818181818181816
K2,U56,1.1168305185683665,0.1282413390173136,-0.17244981000039827,PASS,0.19886363636363635,PASS,0.10795454545454546,PASS,0.005681818181818182,FAIL,0.0,0.09090909090909091
K7,B136,1.1687108743038912,0.06220101729156324,-0.11133286588851088,FAIL,0.005681818181818182,FAIL,0.005681818181818182,FAIL,0.005681818181818182,FAIL,0.005681818181818182,0.0
