panel,family,group,cost,selector,arm,IS_lift,OOS_lift,d_vs_ctl,pool_IS,pool_OOS,disp_sd,disp_span
broad,CADENCE,CORE,0.0,K_Sharpe,freq=W,0.030880933399901833,0.05985907069460161,0.0,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_CAGR,freq=M,0.018560990308498004,0.027118061273798455,-0.03274100942080316,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_Calmar,freq=W,0.030880933399901833,0.05985907069460161,0.0,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_Sortino,freq=W,0.030880933399901833,0.05985907069460161,0.0,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_MaxDD,freq=D,0.007745567846163537,0.09855198445340951,0.0386929137588079,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_Vol,freq=D,0.007745567846163537,0.09855198445340951,0.0386929137588079,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_TO,freq=Q,-0.057187491554563596,-0.18552911642181003,-0.24538818711641164,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_ANTI,freq=Q,-0.057187491554563596,-0.18552911642181003,-0.24538818711641164,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,0.0,K_MEDIAN,freq=M,0.018560990308498004,0.027118061273798455,-0.03274100942080316,1.0860575954296223,1.0882762586686479,0.039279109886571746,0.08806842495446543
broad,CADENCE,CORE,10.0,K_Sharpe,freq=W,0.027273323214240808,0.05552086362807662,0.0,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_CAGR,freq=M,0.023830346997978813,0.03329470520214173,-0.022226158425934894,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_Calmar,freq=M,0.023830346997978813,0.03329470520214173,-0.022226158425934894,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_Sortino,freq=W,0.027273323214240808,0.05552086362807662,0.0,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_MaxDD,freq=D,-0.0052492305382938476,0.08217626366373332,0.026655400035656696,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_Vol,freq=D,-0.0052492305382938476,0.08217626366373332,0.026655400035656696,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_TO,freq=Q,-0.045854439673925995,-0.17099183249395178,-0.2265126961220284,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_ANTI,freq=Q,-0.045854439673925995,-0.17099183249395178,-0.2265126961220284,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,10.0,K_MEDIAN,freq=M,0.023830346997978813,0.03329470520214173,-0.022226158425934894,1.063888568992355,1.062987415940766,0.0338718351842471,0.0731277628881668
broad,CADENCE,CORE,25.0,K_Sharpe,freq=M,0.03171079822634204,0.04252618761115068,-0.006487455458835667,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_CAGR,freq=M,0.03171079822634204,0.04252618761115068,-0.006487455458835667,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_Calmar,freq=M,0.03171079822634204,0.04252618761115068,-0.006487455458835667,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_Sortino,freq=W,0.021870283619218833,0.049013643069986346,0.0,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_MaxDD,freq=D,-0.02470022354880097,0.057655529440606035,0.008641886370619689,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_Vol,freq=D,-0.02470022354880097,0.057655529440606035,0.008641886370619689,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_TO,freq=Q,-0.028880858296760348,-0.14919536012174361,-0.19820900319172996,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_ANTI,freq=Q,-0.028880858296760348,-0.14919536012174361,-0.19820900319172996,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,CADENCE,CORE,25.0,K_MEDIAN,freq=W,0.021870283619218833,0.049013643069986346,0.0,1.030593585305131,1.025010050951606,0.031241473765147198,0.06059165652310239
broad,GATE,CORE,0.0,K_Sharpe,gate=vol60,0.0606352899104623,0.0017715004621596808,-0.012078189399346018,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_CAGR,gate=none,0.045017278010413886,-0.02484811693243727,-0.03869780679394297,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_Calmar,gate=vol60,0.0606352899104623,0.0017715004621596808,-0.012078189399346018,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_Sortino,gate=vol60,0.0606352899104623,0.0017715004621596808,-0.012078189399346018,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_MaxDD,gate=band3,0.00947414813166314,0.013849689861505698,0.0,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_Vol,gate=v1gate,-0.03820310270767924,0.0039576030507118,-0.009892086810793899,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_TO,gate=none,0.045017278010413886,-0.02484811693243727,-0.03869780679394297,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_ANTI,gate=abs12,-0.07023932046781911,-0.035556639229847864,-0.04940632909135356,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,0.0,K_MEDIAN,gate=band3,0.00947414813166314,0.013849689861505698,0.0,1.107464380697861,1.1342856395017438,0.04945841111955365,0.1308746103782814
broad,GATE,CORE,10.0,K_Sharpe,gate=vol60,0.07631184482830844,0.019039879540911242,0.003947033376871634,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_CAGR,gate=none,0.06562216835753087,-0.0012122994917447283,-0.016305145655784337,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_Calmar,gate=vol60,0.07631184482830844,0.019039879540911242,0.003947033376871634,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_Sortino,gate=vol60,0.07631184482830844,0.019039879540911242,0.003947033376871634,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_MaxDD,gate=band3,0.010930559478330881,0.015092846164039608,0.0,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_Vol,gate=v1gate,-0.05749412840780943,-0.01862828931908278,-0.03372113548312239,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_TO,gate=none,0.06562216835753087,-0.0012122994917447283,-0.016305145655784337,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_ANTI,gate=abs12,-0.07189139764673902,-0.03659602859528244,-0.051688874759322045,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,10.0,K_MEDIAN,gate=band3,0.010930559478330881,0.015092846164039608,0.0,1.0802313327282649,1.103415433404803,0.06208777215881606,0.14820324247504746
broad,GATE,CORE,25.0,K_Sharpe,gate=vol60,0.09986304329045237,0.044982044429011214,0.028014668800329323,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_CAGR,gate=none,0.09657057447275297,0.034293851192024105,0.017326475563342214,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_Calmar,gate=vol60,0.09986304329045237,0.044982044429011214,0.028014668800329323,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_Sortino,gate=vol60,0.09986304329045237,0.044982044429011214,0.028014668800329323,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_MaxDD,gate=band3,0.01312349933289192,0.01696737562868189,0.0,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_Vol,gate=v1gate,-0.08647838161697019,-0.052577438400028154,-0.06954481402871004,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
