file,lineage,n,rho,t,p
2026-09-04_turnover-budget_B.grid.csv,False,24,-0.6678260869565217,-3.6972625046730965,0.00021793694994043378
2026-09-07_is-DDCTRL-retirable-as-a-family_C.grid.csv,False,20,-0.5329464502908843,-2.45016176118484,0.014279204914242172
2026-09-05_sleeve-f-that-clears-the-floor_cloud.grid.csv,False,63,-0.47089178780978036,-3.9598589457937456,7.499404578981128e-05
2026-09-05_is-the-defensive-class-one-book_cloud.census.csv,False,17,-0.4696506094275222,-1.906830834731134,0.05654249702030034
2026-09-05_no-leverage-ceiling-is-load-bearing_cloud.corpus.csv,False,19,-0.42003579806728175,-1.7909419587081579,0.07330260952381096
2026-09-05_why-the-IS-4b-screen-changes-no-pick_cloud.grid.csv,True,18,-0.4105489649635575,-1.6896714595399007,0.09109082635023502
2026-09-05_is-Calmar-immunity-general_C.grid.csv,False,18,-0.4105489649635575,-1.6896714595399007,0.09109082635023502
2026-09-05_quote-the-lift-not-the-rate_cloud.grid.csv,False,18,-0.4105489649635575,-1.6896714595399007,0.09109082635023502
2026-09-05_is-the-defensive-class-one-book_cloud.grid.csv,False,64,-0.35047162417993966,-2.858405477315363,0.004257759381193216
2026-09-08_does-any-selector-beat-doing-nothing_B.grid.csv,True,72,-0.3477294299328533,-3.01412945325103,0.002577178141742076
2026-09-05_gross-as-the-missing-third-bar_B.grid.csv,False,38,-0.3460668301537797,-2.135518446508918,0.0327186850521235
2026-09-05_gross-dispersion-not-gross-level_cloud.grid.csv,False,38,-0.3460668301537797,-2.135518446508918,0.0327186850521235
2026-09-05_is-the-ladder-even-a-candidate_C.corpus.csv,False,38,-0.3460668301537797,-2.135518446508918,0.0327186850521235
2026-09-05_cagr-floor-calibration_B.grid.csv,False,38,-0.3460668301537797,-2.135518446508918,0.0327186850521235
2026-09-07_is-DBC-a-drag-or-a-contango-artefact_cloud.grid.csv,False,99,-0.32795260006926924,-3.3365223024438078,0.0008483362188311805
2026-09-05_defensive-class-census_B.grid.csv,False,246,-0.308289357292964,-4.967324316332287,6.788300859206231e-07
2026-09-07_is-a-class-member-just-its-own-ladder-point_B.grid.csv,False,71,-0.2960726576837118,-2.5168211654766584,0.01184189186795459
2026-09-05_weak-dominance-bands-as-the-calibration-output_C.grid.csv,False,44,-0.2584385788385071,-1.6932070090486486,0.0904160709270232
2026-09-04_drawdown-insurance-price-list_B.grid.csv,False,25,-0.25482815423968,-1.2221794208183476,0.22163978433985454
