se_basis,L,bar,moves,observed,null_median,null_p90,percentile
S_BLOCK,21,BAR_HONEST,6,0.8381143154481924,0.8477351429834665,0.8591797719126041,0.1675
S_BLOCK,21,BAR_QUOTED,6,0.8381143154481924,0.8475959925266197,0.8582136676543242,0.19
S_BLOCK,63,BAR_HONEST,6,0.8554092105651728,0.8447513900356519,0.8587923280924342,0.8425
S_BLOCK,63,BAR_QUOTED,6,0.8554092105651728,0.8447240639965786,0.8579695405240696,0.845
S_BLOCK,126,BAR_HONEST,6,0.8531339853628724,0.8458036052135283,0.8592630609455526,0.76
S_BLOCK,126,BAR_QUOTED,7,0.8411856066993559,0.8452637756348449,0.8598489738336839,0.3675
S_BLOCK,252,BAR_HONEST,6,0.8531339853628724,0.8496173398868305,0.860383771709956,0.6775
S_BLOCK,252,BAR_QUOTED,8,0.844034960930487,0.8462366569371373,0.8575859482183754,0.425
S_BLOCK,504,BAR_HONEST,12,0.85431350794879,0.8451037453946066,0.8580398020152916,0.815
S_BLOCK,504,BAR_QUOTED,15,0.8497798483678318,0.8408408772381781,0.8553111673010169,0.8075
S_FOLD,21,BAR_HONEST,8,0.8419200405573446,0.8399493597823721,0.8548626133101337,0.575
S_FOLD,21,BAR_QUOTED,3,0.8545788336154989,0.851951840794472,0.8620113238435559,0.6325
S_FOLD,63,BAR_HONEST,7,0.8460491896745692,0.8420420432185838,0.8570609609214789,0.5975
S_FOLD,63,BAR_QUOTED,4,0.8576501248666624,0.8487992916109042,0.8597292457271268,0.86
S_FOLD,126,BAR_HONEST,5,0.857510382168683,0.8527667687377264,0.8670823135283401,0.635
S_FOLD,126,BAR_QUOTED,5,0.857510382168683,0.8525215944210793,0.8672681499024336,0.6675
S_FOLD,252,BAR_HONEST,7,0.8608239500923714,0.8434815849488225,0.8596860109174886,0.9275
S_FOLD,252,BAR_QUOTED,7,0.8608239500923714,0.8447880865456983,0.8607952814232533,0.9
S_FOLD,504,BAR_HONEST,14,0.8660408742092152,0.8471829701705977,0.8609575518280047,0.9775
S_FOLD,504,BAR_QUOTED,16,0.8545320318413121,0.846147094045408,0.8585043656977266,0.8025
S_IID,21,BAR_HONEST,5,0.8373095546073478,0.8486103992301731,0.8642867367531748,0.13
S_IID,21,BAR_QUOTED,5,0.8373095546073478,0.8496687160863019,0.864551610473707,0.16
S_IID,63,BAR_HONEST,5,0.8373095546073478,0.8480275484047213,0.8632602274524864,0.185
S_IID,63,BAR_QUOTED,5,0.8373095546073478,0.8496856373630202,0.8642604479313737,0.1475
S_IID,126,BAR_HONEST,5,0.8373095546073478,0.8466477277996036,0.8576301086569706,0.1575
S_IID,126,BAR_QUOTED,5,0.8373095546073478,0.8461941164569888,0.8583612420019474,0.185
S_IID,252,BAR_HONEST,5,0.8425840566956943,0.8501366237969782,0.8613594743253293,0.2125
S_IID,252,BAR_QUOTED,5,0.8425840566956943,0.8495166152421391,0.8586010364618978,0.22
S_IID,504,BAR_HONEST,6,0.8357687632630362,0.8454928563413819,0.8584522302449754,0.175
S_IID,504,BAR_QUOTED,6,0.8357687632630362,0.8451415671458111,0.8582931185423538,0.165
S_NW,21,BAR_HONEST,4,0.8498016976534908,0.8506976289259967,0.8599115432015944,0.46
S_NW,21,BAR_QUOTED,4,0.8498016976534908,0.8510043036522108,0.8599324179895848,0.435
S_NW,63,BAR_HONEST,6,0.8554092105651728,0.8480864441771405,0.8623075659921304,0.745
S_NW,63,BAR_QUOTED,6,0.8554092105651728,0.8493112909319926,0.8605257062956359,0.7675
S_NW,126,BAR_HONEST,6,0.8554092105651728,0.8478082589769798,0.8590271209138556,0.7825
S_NW,126,BAR_QUOTED,6,0.8554092105651728,0.8483368629287498,0.8600030750970855,0.7775
S_NW,252,BAR_HONEST,7,0.8582585647963038,0.8479226111614702,0.8599368205871466,0.845
S_NW,252,BAR_QUOTED,7,0.8582585647963038,0.8473461792012553,0.8612830288761005,0.8425
S_NW,504,BAR_HONEST,10,0.864157779695144,0.8439727502989796,0.8585450919482768,0.9675
S_NW,504,BAR_QUOTED,12,0.8577793514954024,0.8413735403079164,0.8569214971855446,0.9175
