panel,cap,rho,window,d_mean_bp,se_bp,t,sharpe_cap,sharpe_anchor,d_sharpe,dd_cap,dd_anchor,d_dd_pp
U56,2,0.65,FULL,-0.8192231737346151,0.40383749031196575,-2.0285961392583003,1.1215034772968042,1.1536628182453896,-0.03215934094858541,-0.20744346860823226,-0.19127562163086143,-1.6167846977370837
U56,2,0.65,OOS,-1.2133470245894702,0.5935201600581582,-2.0443231860406827,1.0426742855121214,1.1856777042016955,-0.1430034186895741,-0.20744346860823204,-0.19127562163086176,-1.6167846977370282
U56,3,0.65,FULL,-0.8859815335165163,0.38570851766463726,-2.29702351112415,1.1152894091493382,1.1536628182453896,-0.03837340909605147,-0.19404158018890516,-0.19127562163086143,-0.2765958558043735
U56,3,0.65,OOS,-1.2859984618508666,0.5777935676890272,-2.225705742960089,1.0371037982213562,1.1856777042016955,-0.14857390598033926,-0.19404158018890583,-0.19127562163086176,-0.2765958558044068
U56,4,0.65,FULL,-1.1548614385572054,0.4003282539942108,-2.884786239878802,1.0455678780355067,1.1536628182453896,-0.10809494020988297,-0.21654562868405358,-0.19127562163086143,-2.5270007053192156
U56,4,0.65,OOS,-1.934106299918467,0.595468629621938,-3.2480406249888056,0.901637069457225,1.1856777042016955,-0.2840406347444705,-0.21654562868405447,-0.19127562163086176,-2.527000705319271
U56,5,0.65,FULL,-0.6013359019029656,0.3777227822394566,-1.5920032631808527,1.1530682908450354,1.1536628182453896,-0.0005945274003542611,-0.20553049450036032,-0.19127562163086143,-1.4254872869498891
U56,5,0.65,OOS,-1.0972237201820296,0.5613175090634134,-1.9547291906372255,1.0645845397782148,1.1856777042016955,-0.12109316442348073,-0.20553049450036043,-0.19127562163086176,-1.425487286949867
U56,6,0.65,FULL,-0.8040519300635312,0.366981480673049,-2.1909877539021565,1.0947594662808615,1.1536628182453896,-0.05890335196452812,-0.2252808993315365,-0.19127562163086143,-3.4005277700675074
U56,6,0.65,OOS,-1.4995536941079946,0.5499384729862664,-2.7267662979917446,0.9828265370059651,1.1856777042016955,-0.20285116719573038,-0.22528089933153683,-0.19127562163086176,-3.4005277700675074
B136,2,0.65,FULL,0.31468013376093723,0.48421312051309445,0.6498794031592694,1.166755422240098,1.0653720113403453,0.10138341089975267,-0.25179958834076765,-0.20740187631179063,-4.4397712028977026
B136,2,0.65,OOS,-0.26935858137285296,0.7219463841792081,-0.37310053388395437,1.017994078061071,1.0179537645049168,4.03135561541923e-05,-0.25179958834076777,-0.20740187631179052,-4.439771202897724
B136,3,0.65,FULL,0.35101895844669356,0.415188008451446,0.8454458011827269,1.1778356986352245,1.0653720113403453,0.11246368729487921,-0.22527689730073797,-0.20740187631179063,-1.7875020988947332
B136,3,0.65,OOS,-0.010656379298663244,0.6344659663201406,-0.016795824936788207,1.073292409826742,1.0179537645049168,0.0553386453218252,-0.2252768973007382,-0.20740187631179052,-1.7875020988947665
B136,4,0.65,FULL,0.08460346666423063,0.38218887242049226,0.22136559374012363,1.1205335733188109,1.0653720113403453,0.055161561978465556,-0.2233771114994516,-0.20740187631179063,-1.5975235187660974
B136,4,0.65,OOS,-0.41610181262332513,0.566091855517297,-0.7350429238079915,1.00301370506349,1.0179537645049168,-0.014940059441426845,-0.22337711149945172,-0.20740187631179052,-1.5975235187661196
B136,5,0.65,FULL,0.0719953134966679,0.3241060256016148,0.22213506633524682,1.1028777130866305,1.0653720113403453,0.0375057017462852,-0.21837283544975017,-0.20740187631179063,-1.0970959137959535
B136,5,0.65,OOS,-0.32170779575176095,0.4851817235018717,-0.6630665999324681,0.9966685455687007,1.0179537645049168,-0.021285218936216155,-0.21837283544974984,-0.20740187631179052,-1.0970959137959313
B136,6,0.65,FULL,0.05952289943635355,0.2644628980385335,0.2250708884982451,1.1060950830422562,1.0653720113403453,0.04072307170191092,-0.2021237143927762,-0.20740187631179063,0.5278161919014424
B136,6,0.65,OOS,-0.199805841343116,0.3791537083499176,-0.526978470585647,1.0317578946964179,1.0179537645049168,0.013804130191501063,-0.20212371439277643,-0.20740187631179052,0.527816191901409
