panel,m,cost,constr,dSharpe,dCAGR,dMaxDD,dOOS,dSharpe63,dSharpe_FIXIS,dTO
u56,0.05,10.0,lit,0.010358879515505626,0.002514932685216742,4.440892098500626e-16,0.005675814382516631,0.007189911741972366,0.0,0.21990156105861303
u56,0.05,25.0,lit,0.008591565313714855,0.0020464954399570523,4.440892098500626e-16,0.0035054256084523505,0.0078082541075875644,0.0,0.21990156105861303
u56,0.05,10.0,norm,0.010426344008167998,0.002636361824246203,-8.881784197001252e-16,0.006203221696574279,0.007099704030180454,0.0,0.15143394325005843
u56,0.05,25.0,norm,0.009121978785602503,0.002276633337924938,8.881784197001252e-16,0.004828363974419991,0.007708674188845577,0.0,0.15143394325005843
u56,0.1,10.0,lit,-0.07628005493457346,-0.008898225627664402,-0.021675974654594143,-0.13179662291750027,-0.005631369325586499,0.0,3.089850702328807
u56,0.1,25.0,lit,-0.09272196990587678,-0.014001326338897613,-0.03497371627006285,-0.15164288580531127,-0.010410422101805206,0.0,3.089850702328807
u56,0.1,10.0,norm,-0.08045870573945446,-0.010187069274625538,-0.016807458238600526,-0.1299566542080951,-0.003542314672738911,0.0,3.0913087418767553
u56,0.1,25.0,norm,-0.09580519832174705,-0.015201390087787647,-0.029111177604682292,-0.14951368229401263,-0.006986374667922957,0.0,3.0913087418767553
u56,0.2,10.0,lit,0.057693877339863864,0.013527415703238121,-0.07307376475881289,-0.0473996958694205,-0.009084113012809536,0.0,3.179536146956096
u56,0.2,25.0,lit,0.030822694246942617,0.007822390808533308,-0.06805692147913245,-0.0779976745368347,-0.016073601259506187,0.0,3.179536146956096
u56,0.2,10.0,norm,0.04970088617643453,0.013239261760408905,-0.071446102653134,-0.04190494246921972,-0.017019096549918622,0.0,2.814721569134278
u56,0.2,25.0,norm,0.027854645778056963,0.008143478332339082,-0.06465428669827689,-0.06701245290478963,-0.022388322228703572,0.0,2.814721569134278
u56,0.35,10.0,lit,-0.006377733147051146,0.006634550363813885,-0.05668735150566728,0.04307680136867553,-0.061238764715537686,0.0,3.361897731321651
u56,0.35,25.0,lit,-0.03558951860839232,0.0008819819151852926,-0.06674657493392577,0.014132389195523731,-0.07211867167425823,0.0,3.361897731321651
u56,0.35,10.0,norm,-0.006627011813454375,0.0050999946919583206,-0.05507140778149877,0.04180408152193138,-0.05172653948936179,0.0,2.8064600222070943
u56,0.35,25.0,norm,-0.03071009575351158,0.0003014136203225437,-0.06507891887909145,0.01996803018752147,-0.05997754333287986,0.0,2.8064600222070943
u56,0.53,10.0,lit,-0.03862305620023654,0.0034603908268886485,-0.01054352193100594,0.008337707089493218,-0.021653319430166684,-0.031460835054407,3.170820149097363
u56,0.53,25.0,lit,-0.06943940311908403,-0.0018805055300801232,-0.020345106287277703,-0.02085219666141591,-0.03034644162413591,-0.03531472996440288,3.170820149097363
u56,0.53,10.0,norm,-0.006373634555836949,0.0038173228405022908,-0.010543521931005495,0.05060613838692296,0.007531723633880771,-0.02451502753508339,2.00053470567717
u56,0.53,25.0,norm,-0.025785245619548758,0.0004166669668150824,-0.020345106287276704,0.03411047467347483,0.005539025607865122,-0.027878752587795708,2.00053470567717
u56,0.75,10.0,lit,-0.07885042196905778,-0.0003034763436675636,-0.00039690821435212076,-0.11198256349449642,-0.02477281036991541,-0.006585030495324995,3.4324519016170685
u56,0.75,25.0,lit,-0.11717598548121277,-0.005957907410193863,-0.0009088826670456962,-0.1498699484003706,-0.03502695591097571,-0.008217514750197275,3.4324519016170685
u56,0.75,10.0,norm,-0.03757503846107135,-0.004185029495025638,0.0036113291895274457,-0.046105574108586955,0.009694877092995213,-0.0012067743410502096,1.3658029778590777
u56,0.75,25.0,norm,-0.055317473828493835,-0.006370377007890671,0.003509937402037755,-0.06315283300804564,0.010698547077076181,-0.0018176224264619956,1.3658029778590777
u56,1.0,10.0,lit,-0.06716607568500121,0.002568757044320913,-0.01052074702961947,-0.14116919561879082,-0.006897060753939588,-0.0010583542741708918,2.603098110708281
u56,1.0,25.0,lit,-0.09913004054219565,-0.001725583892588478,-0.011779880082363192,-0.17280280309977636,-0.018171578564183388,-0.0022193172772659864,2.603098110708281
u56,1.0,10.0,norm,-0.006613727712867279,-0.005985777040898643,0.011965453615647603,-0.03152726329619848,0.009985037128946272,-0.0004867013361200545,-0.3994585026316333
u56,1.0,25.0,norm,-0.006936715066316879,-0.005256995509775209,0.011334342205124193,-0.03280974403783832,0.010726474742421277,-0.0003802106113260928,-0.3994585026316333
broad,0.05,10.0,lit,-0.018213389464283636,0.0020260738587480898,-0.07569370853815705,-0.06926000273696564,1.9794862979982675e-05,0.0,2.5783271879688563
broad,0.05,25.0,lit,-0.03081570534555733,-0.0024165916988119207,-0.07309797987959687,-0.07952772656564477,-0.0013069246763804943,0.0,2.5783271879688563
broad,0.05,10.0,norm,-0.011719208055389951,0.0034223072998316173,-0.06940975424674123,-0.06538771236239183,0.004404410039503315,0.0,2.578018629778324
broad,0.05,25.0,norm,-0.02420046147068733,-0.0010678586786003752,-0.06658234429750409,-0.0760854467467661,0.0024675944707247544,0.0,2.578018629778324
broad,0.1,10.0,lit,0.0006084490360395156,0.005864943097500408,-0.07520388006451839,-0.050848785215546366,0.06048536732820753,0.0,2.362685688432528
broad,0.1,25.0,lit,-0.01383719439361375,0.0017202790179751126,-0.07426445436801754,-0.06652803535050866,0.05958448910425995,0.0,2.362685688432528
broad,0.1,10.0,norm,0.018766394500773553,0.00971926660018596,-0.07520388006451839,-0.02471612388626665,0.06752034884794456,0.0,2.176925048588444
broad,0.1,25.0,norm,0.006435602807828844,0.005771890653063494,-0.0736103107479299,-0.03779937968755298,0.0677045705697723,0.0,2.176925048588444
broad,0.2,10.0,lit,-0.10699051130719606,-0.011214439586347158,-0.09618849177684907,-0.14643917906563286,0.014148455719598885,0.0,2.7967292742580643
broad,0.2,25.0,lit,-0.12764867701678184,-0.015590555044563192,-0.10050088512238753,-0.16497748064452622,0.008063410498856172,0.0,2.7967292742580643
broad,0.2,10.0,norm,-0.10542596256064796,-0.011675876074453306,-0.0961884917768493,-0.14656066977441162,0.014649385184528851,0.0,2.4579793449035563
broad,0.2,25.0,norm,-0.12297699141161278,-0.015469321167479455,-0.1005008851223873,-0.16157770407404892,0.010012857206812331,0.0,2.4579793449035563
broad,0.35,10.0,lit,-0.1299078757492489,-0.011038084913012502,-0.09373485673104287,-0.14099458317431968,-0.030806964286076655,0.0,3.25149942577227
broad,0.35,25.0,lit,-0.1577465235224188,-0.016176469790988968,-0.09840310910739403,-0.16665843096747546,-0.03784967745962342,0.0,3.25149942577227
broad,0.35,10.0,norm,-0.11153493183918561,-0.010377558336778447,-0.09373485673104331,-0.1304128741462115,-0.02139119353812724,0.0,2.643824190911321
broad,0.35,25.0,norm,-0.13412333332037807,-0.01451848354811025,-0.09641361447291619,-0.14985595943112184,-0.02528106318829071,0.0,2.643824190911321
broad,0.53,10.0,lit,-0.07435474210671644,-0.002317347793797886,-0.043035271256490204,-0.05677412210136512,-0.03323381663450553,0.0,3.1615487259055683
broad,0.53,25.0,lit,-0.10609401987018252,-0.007496873301509277,-0.048318868308529495,-0.08838902736909582,-0.04037993930261785,0.0,3.1615487259055683
broad,0.53,10.0,norm,-0.0612809844976171,-0.005002506822115338,-0.04352441022257736,-0.04142330189357002,-0.02199783148429013,0.0,1.9637508860540471
