panel,anchor,H_fast,H_anchor,turn_fast,turn_anchor,turn_ratio,reach_0,reach_10,reach_25,reach_50,reach_100,IS_rank_0,IS_rank_10,IS_rank_100,fine_reach_share,fine_reach_last_cost,fine_reach_dies_at,dSharpe_at_0,dSharpe_at_10,dSharpe_at_100,cross_cost_Sharpe,cross_cost_CAGR,fast_4b_first_fail,anchor_4b_first_fail,fast_fail_L_H1,fast_fail_L_H2,fast_fail_L_OOS,fast_fail_L_DD,fast_fail_L_CAGR,anchor_fail_L_H1,anchor_fail_L_H2,anchor_fail_L_OOS,anchor_fail_L_DD,anchor_fail_L_CAGR
U56,A,21,126,6.140692353412129,2.8960911169131665,2.1203381059216326,False,False,False,True,False,3,4,7,0.27860696517412936,84.0,85.0,0.00048049838332064887,-0.026178920139748874,-0.26710253531195793,1.0,0.0,9.0,118.0,58.0,61.0,64.0,9.0,65.0,118.0,144.0,151.0,194.0,164.0
U56,B,21,63,3.8030281556775245,2.5883022890355494,1.469313755115754,False,False,False,False,False,4,6,7,0.0,,,0.048490373305341894,0.03709979917954165,-0.06679224998527744,43.0,42.0,0.0,39.0,61.0,76.0,71.0,0.0,40.0,101.0,62.0,76.0,,39.0
B135,A,21,126,7.798167222073121,3.247874747901893,2.401006143205088,True,False,False,False,False,1,2,7,0.08955223880597014,20.0,21.0,0.0520334439145973,0.021397135636943787,-0.2539654990364809,17.0,15.0,0.0,0.0,73.0,27.0,34.0,0.0,74.0,154.0,38.0,72.0,0.0,157.0
B135,B,21,63,4.7725089540461765,3.183210302262599,1.499275417227042,False,False,False,False,False,3,3,7,0.0,,,0.12497418599477772,0.11125428533184145,-0.01423514961129213,90.0,82.0,8.0,0.0,103.0,8.0,22.0,98.0,51.0,160.0,0.0,0.0,0.0,36.0
SMALL663,A,21,126,10.946013240506254,4.149227940451389,2.638084337038242,False,False,False,False,False,5,5,7,0.07462686567164178,92.0,93.0,0.060943626969097164,0.021700134264945214,-0.32914492135608164,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL663,B,21,63,6.806448935031239,3.917785233736997,1.7373205852171933,True,True,True,False,False,1,1,5,0.22885572139303484,45.0,46.0,0.2019494043525677,0.18129821602913682,-0.005400537963954705,98.0,98.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
