panel,vintage,last,max_abs_dev,spy_oos_dev
U56,today,2026-09-10,4.6071553483351124e-07,3.2754361800613196e-07
U56,<= 2026-09-10,2026-09-10,4.6071553483351124e-07,3.2754361800613196e-07
U56,<= 2026-09-09,2026-09-09,0.007988649049796681,0.0036553678003415913
U56,<= 2026-09-08,2026-09-08,0.011008061656732737,0.00652335489067446
U56,<= 2026-09-04,2026-09-04,0.01903285993758219,0.009887688541202144
B136,today,2026-09-04,4.8853698908502e-07,7.640276844522731e-08
B136,<= 2026-09-10,2026-09-04,4.8853698908502e-07,7.640276844522731e-08
B136,<= 2026-09-09,2026-09-04,4.8853698908502e-07,7.640276844522731e-08
B136,<= 2026-09-08,2026-09-04,4.8853698908502e-07,7.640276844522731e-08
B136,<= 2026-09-04,2026-09-04,4.8853698908502e-07,7.640276844522731e-08
