gate,band,mean_in_pct,flips_daily,flips_W,flips_M,flips_Q
MA,0.0,49.55593456154658,8.910190194754518,4.168290351715611,2.102743750054805,1.2589945721275682
MA,0.02,49.543950567485965,4.108443454547049,3.355661560316027,2.034610359432134,1.242237440920371
MA,0.03,49.46240094936616,3.2715076156820793,2.9078226251962014,1.968134267500285,1.2247437325172525
MA,0.05,49.57727191682523,2.3428679159249746,2.2369849440113643,1.7867521330047966,1.2002525407528872
MA,0.08,50.200147315439196,1.673687533430959,1.6458817442849503,1.4748116905323525,1.1254899553669295
MA,0.12,51.31487798247999,1.2030147052375901,1.1969379433712437,1.1427995194710674,0.9704404556256084
MAVOL,0.0,40.60264875497993,9.289343306354732,4.814268552538122,2.5487412421848283,1.2560482633438852
MAVOL,0.02,40.609663775893466,5.241667470471147,4.095000920721495,2.477477398479494,1.244263028209153
MAVOL,0.03,40.54557863692298,4.587586920493507,3.698538245017143,2.413763471032348,1.2291631956927773
MAVOL,0.05,40.68295612981296,3.9134346419270263,3.15660157311844,2.253189642321621,1.206881735516174
MAVOL,0.08,41.31058128217045,3.4344753202795486,2.7135503897720996,1.9880218517901458,1.134697170315939
MAVOL,0.12,42.42838102086092,3.1291640725703918,2.420392665795635,1.75158057189958,0.9997193991634589
