uni,seed,conv,arm,frac_pos_full,frac_pos_IS,frac_pos_OOS,ndraw
universe.json(56),20260901,PRICED,abs12-dg,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,abs12-rw,0.95,0.575,0.95,40
universe.json(56),20260901,PRICED,band3-dg,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,band3-rw,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,ddctl-8/.5/high,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,ddctl-8/.5/recover,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,ebud-0.10,0.0,0.0,0.0,40
universe.json(56),20260901,PRICED,ebud-0.20,0.0,0.0,0.0,40
universe.json(56),20260901,PRICED,g200-dg,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,g200-rw,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,stop15,0.45,0.475,0.45,40
universe.json(56),20260901,PRICED,stop25,0.0,0.6,0.0,40
universe.json(56),20260901,PRICED,v1gate-dg,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,v1gate-rw,1.0,1.0,1.0,40
universe.json(56),20260901,PRICED,vol60-dg,1.0,0.9,1.0,40
universe.json(56),20260901,PRICED,vol60-rw,1.0,0.675,1.0,40
universe.json(56),20260901,SCORED,abs12-dg,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,abs12-rw,0.95,0.625,0.95,40
universe.json(56),20260901,SCORED,band3-dg,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,band3-rw,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,ddctl-8/.5/high,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,ddctl-8/.5/recover,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,ebud-0.10,0.4,0.85,0.0,40
universe.json(56),20260901,SCORED,ebud-0.20,0.3,0.3,0.0,40
universe.json(56),20260901,SCORED,g200-dg,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,g200-rw,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,stop15,0.45,0.525,0.45,40
universe.json(56),20260901,SCORED,stop25,0.0,0.3,0.0,40
universe.json(56),20260901,SCORED,v1gate-dg,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,v1gate-rw,1.0,1.0,1.0,40
universe.json(56),20260901,SCORED,vol60-dg,1.0,0.925,1.0,40
universe.json(56),20260901,SCORED,vol60-rw,1.0,0.675,1.0,40
universe.json(56),20260902,PRICED,abs12-dg,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,abs12-rw,0.925,0.675,0.925,40
universe.json(56),20260902,PRICED,band3-dg,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,band3-rw,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,ddctl-8/.5/high,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,ddctl-8/.5/recover,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,ebud-0.10,0.0,0.0,0.0,40
universe.json(56),20260902,PRICED,ebud-0.20,0.0,0.0,0.0,40
universe.json(56),20260902,PRICED,g200-dg,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,g200-rw,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,stop15,0.425,0.45,0.425,40
universe.json(56),20260902,PRICED,stop25,0.0,0.525,0.0,40
universe.json(56),20260902,PRICED,v1gate-dg,1.0,1.0,1.0,40
universe.json(56),20260902,PRICED,v1gate-rw,1.0,0.975,1.0,40
universe.json(56),20260902,PRICED,vol60-dg,1.0,0.925,1.0,40
universe.json(56),20260902,PRICED,vol60-rw,1.0,0.7,1.0,40
universe.json(56),20260902,SCORED,abs12-dg,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,abs12-rw,0.925,0.675,0.925,40
universe.json(56),20260902,SCORED,band3-dg,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,band3-rw,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,ddctl-8/.5/high,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,ddctl-8/.5/recover,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,ebud-0.10,0.275,0.95,0.0,40
universe.json(56),20260902,SCORED,ebud-0.20,0.325,0.5,0.0,40
universe.json(56),20260902,SCORED,g200-dg,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,g200-rw,1.0,1.0,1.0,40
universe.json(56),20260902,SCORED,stop15,0.425,0.45,0.425,40
universe.json(56),20260902,SCORED,stop25,0.0,0.1,0.0,40
universe.json(56),20260902,SCORED,v1gate-dg,1.0,1.0,1.0,40
