stat,held_out,n,r2_two,r2_one,mean_absD,flat_bearing
OV_HOLD,L_S,9,0.1075281075306167,-0.5160774140533144,0.12515325312175918,True
OV_HOLD,L_M,9,0.7652338411475016,-0.3410444397655481,0.022472556881237265,True
OV_HOLD,L_R,9,-32.224243041966176,-0.9114268830766004,0.02583122773157612,True
OV_HOLD,L_X,9,-0.5745718280268428,-3.07810084460826,0.05041043543563798,False
OV_HOLD,L_G,9,-38595.87013905414,-307965.57066521107,7.781947054873327e-05,False
OV_HOLD,L_N,9,-1.9519450809545047,-13.944892286726164,0.008425011818444732,False
OV_HOLD,L_H,9,-0.1870392679747659,-6.069465489941764,0.016288524843697694,False
OV_HOLD,L_C,9,-8.553262273271852,-7.993602541699465,0.015055897222120085,False
OV_HOLD,L_B,9,-7.755617593498997,-139.19253375623757,0.003354193065691303,False
OV_CAP,L_S,9,0.13582929376598918,-0.37447398389417286,0.12515325312175918,True
OV_CAP,L_M,9,0.7631457742441381,-0.3524520065348278,0.022472556881237265,True
OV_CAP,L_R,9,-30.847081030135705,-4.991557537254071,0.02583122773157612,True
OV_CAP,L_X,9,-0.7035745294358704,-0.018934348185599026,0.05041043543563798,False
OV_CAP,L_G,9,-54396.33602206232,-310252.88214176655,7.781947054873327e-05,False
OV_CAP,L_N,9,-0.3504038204188762,-23.94230236732154,0.008425011818444732,False
OV_CAP,L_H,9,-0.6210851823193186,-15.112261653884701,0.016288524843697694,False
OV_CAP,L_C,9,-6.849110792024191,-43.65491656946168,0.015055897222120085,False
OV_CAP,L_B,9,-25.322759660515054,-14.004358343381817,0.003354193065691303,False
