book,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a_v2,pass4a_v1,pass4b,failing
CLASSIFIER p*=0.50,0.08025412743491134,0.896938217513377,-0.18410118245680107,1.0061090667224142,0.8106721104831508,0.0827281326804854,0.8800425244245108,-0.18410118245680063,False,False,False,H2|OOS|CAGR
CLASSIFIER p*=0.55,0.08012465737050478,0.8929613177107898,-0.18404552921590966,1.0040780844593247,0.8050607911386829,0.08252063028083656,0.8753184003446925,-0.18404552921590955,False,False,False,H2|OOS|CAGR
CLASSIFIER p*=0.60,0.08012465737050478,0.8929613177107898,-0.18404552921590966,1.0040780844593247,0.8050607911386829,0.08252063028083656,0.8753184003446925,-0.18404552921590955,False,False,False,H2|OOS|CAGR
CLASSIFIER p*=0.65  <- pre-registered,0.07992033436285606,0.8880445766220564,-0.18457243768570952,1.003868617590923,0.796488653410992,0.08203233477498739,0.8672101370196275,-0.18457243768570974,False,False,False,H2|OOS|CAGR
CLASSIFIER p*=0.70,0.07593880649228879,0.8800995643427809,-0.17857129421438955,0.9974160501260776,0.7867955427577791,0.07770538861322285,0.8576700372957827,-0.17857129421438966,False,True,False,H2|OOS|CAGR
CLASSIFIER p*=0.80,0.07509893090030184,0.8779752704688345,-0.17632391427527327,0.9960897220039981,0.7837636847563014,0.07679154039557012,0.8549666796758446,-0.17632391427527316,False,True,False,H2|OOS|CAGR
CLASSIFIER p*=0.90,0.07188597150826004,0.8626364560137874,-0.15829058499807924,0.973547087605139,0.7731816463926746,0.07341941008019948,0.8408760678460039,-0.15829058499807913,False,True,False,H2|OOS|CAGR
ARGMAX  IS-Sharpe (idea 229 S1),0.08047697229802853,0.9101306260784688,-0.17307407224095595,1.0413278994854434,0.8033891974026095,0.08106777767517759,0.8771672771490965,-0.17307407224095595,False,True,False,H2|OOS|CAGR
S0  do nothing (declared defaults),0.0617187030344204,0.79625809056966,-0.15322783488027558,0.926587057574572,0.6906052047406316,0.06181676545209269,0.7615910335471752,-0.1532278348802757,False,True,False,H1|H2|OOS|CAGR
"ORACLE (OOS argmax, not a rule)",0.0734852116175706,0.8934009372649921,-0.15555551930322253,0.9768513255791035,0.8273127785414597,0.0776643889756039,0.8989839446144026,-0.15555551930322276,False,True,False,H2|CAGR
SPY,0.14343547549724533,0.8822166622387102,-0.33716843858739143,0.9678321226102887,0.8309193213358802,0.15421905629464483,0.8807816807670745,-0.33716843858739143,False,False,False,H1|H2|OOS|DD
RULES v2 (live) @10bps,0.06686990361191958,1.0309119598304874,-0.10901886408799943,1.0890912707616667,0.982558822966153,0.07115520762241223,1.0614921655632477,-0.10901886408799888,False,True,False,CAGR
RULES v1 @10bps,0.06919999023331913,0.754525939192693,-0.1823998439741461,0.8441692449460451,0.6848236314351474,0.0745866004936675,0.7654538159959258,-0.1823998439741461,False,False,False,H1|H2|OOS|CAGR
