panel,book,sleeve,cost,fin,dS_total,dS_zero_fee,trad_inc,fin_inc,resid
broad,EWall,S3,0.0,0.0,0.22797873401296975,0.22797873401296975,0.0,0.0,0.0
broad,EWall,S3,0.0,100.0,0.20214647048976886,0.22797873401296975,0.0,-0.025832263523200893,0.0
broad,EWall,S3,0.0,200.0,0.17631418462951753,0.22797873401296975,0.0,-0.05166454938345222,0.0
broad,EWall,S3,0.0,300.0,0.15048187644653122,0.22797873401296975,0.0,-0.07749685756643854,0.0
broad,EWall,S3,0.0,400.0,0.12464954595512645,0.22797873401296975,0.0,-0.1033291880578433,0.0
broad,EWall,S3,0.0,500.0,0.0988171931696209,0.22797873401296975,0.0,-0.12916154084334885,0.0
broad,EWall,S3,0.0,600.0,0.0729848181043311,0.22797873401296975,0.0,-0.15499391590863865,0.0
broad,EWall,S3,10.0,0.0,0.16988739609695713,0.22797873401296975,-0.05809133791601262,0.0,0.0
broad,EWall,S3,10.0,100.0,0.14406492828522866,0.22797873401296975,-0.05809133791601262,-0.025832263523200893,9.795711472415647e-06
broad,EWall,S3,10.0,200.0,0.11824243859534422,0.22797873401296975,-0.05809133791601262,-0.05166454938345222,1.9591881839309266e-05
broad,EWall,S3,10.0,300.0,0.0924199270416064,0.22797873401296975,-0.05809133791601262,-0.07749685756643854,2.938851108780227e-05
broad,EWall,S3,10.0,400.0,0.06659739363831707,0.22797873401296975,-0.05809133791601262,-0.1033291880578433,3.918559920323972e-05
broad,EWall,S3,10.0,500.0,0.0407748383997788,0.22797873401296975,-0.05809133791601262,-0.12916154084334885,4.8983146170522573e-05
broad,EWall,S3,10.0,600.0,0.014952261340292816,0.22797873401296975,-0.05809133791601262,-0.15499391590863865,5.878115197432976e-05
broad,EWall,S3,25.0,0.0,0.08231923143944675,0.22797873401296975,-0.145659502573523,0.0,0.0
broad,EWall,S3,25.0,100.0,0.05652290221653922,0.22797873401296975,-0.145659502573523,-0.025832263523200893,3.593430029336098e-05
broad,EWall,S3,25.0,200.0,0.030726551830109194,0.22797873401296975,-0.145659502573523,-0.05166454938345222,7.186977411466344e-05
broad,EWall,S3,25.0,300.0,0.004930180294417497,0.22797873401296975,-0.145659502573523,-0.07749685756643854,0.00010780642140928443
broad,EWall,S3,25.0,400.0,-0.020866212376275062,0.22797873401296975,-0.145659502573523,-0.1033291880578433,0.00014374424212149073
broad,EWall,S3,25.0,500.0,-0.046662626167707,0.22797873401296975,-0.145659502573523,-0.12916154084334885,0.00017968323619510507
broad,EWall,S3,25.0,600.0,-0.07245906106561706,0.22797873401296975,-0.145659502573523,-0.15499391590863865,0.00021562340357483833
broad,EWall,S3,50.0,0.0,-0.06428638089221184,0.22797873401296975,-0.2922651149051816,0.0,0.0
broad,EWall,S3,50.0,100.0,-0.09000897394166563,0.22797873401296975,-0.2922651149051816,-0.025832263523200893,0.00010967047374710326
broad,EWall,S3,50.0,200.0,-0.11573158690249952,0.22797873401296975,-0.2922651149051816,-0.05166454938345222,0.00021934337316453778
broad,EWall,S3,50.0,300.0,-0.14145421976057115,0.22797873401296975,-0.2922651149051816,-0.07749685756643854,0.0003290186980792198
broad,EWall,S3,50.0,400.0,-0.16717687250173763,0.22797873401296975,-0.2922651149051816,-0.1033291880578433,0.0004386964483175104
broad,EWall,S3,50.0,500.0,-0.1928995451118557,0.22797873401296975,-0.2922651149051816,-0.12916154084334885,0.0005483766237049936
broad,EWall,S3,50.0,600.0,-0.21862223757678245,0.22797873401296975,-0.2922651149051816,-0.15499391590863865,0.0006580592240680305
broad,EWall,S4,0.0,0.0,0.18239954528130764,0.18239954528130764,0.0,0.0,0.0
broad,EWall,S4,0.0,100.0,0.1584620415379534,0.18239954528130764,0.0,-0.023937503743354238,0.0
broad,EWall,S4,0.0,200.0,0.13452451857507586,0.18239954528130764,0.0,-0.04787502670623178,0.0
broad,EWall,S4,0.0,300.0,0.11058697640604231,0.18239954528130764,0.0,-0.07181256887526533,0.0
broad,EWall,S4,0.0,400.0,0.08664941504421853,0.18239954528130764,0.0,-0.09575013023708911,0.0
broad,EWall,S4,0.0,500.0,0.06271183450297202,0.18239954528130764,0.0,-0.11968771077833562,0.0
broad,EWall,S4,0.0,600.0,0.03877423479566988,0.18239954528130764,0.0,-0.14362531048563776,0.0
broad,EWall,S4,10.0,0.0,0.12854249463890888,0.18239954528130764,-0.05385705064239876,0.0,0.0
broad,EWall,S4,10.0,100.0,0.1046124965015558,0.18239954528130764,-0.05385705064239876,-0.023937503743354238,7.505606001156906e-06
broad,EWall,S4,10.0,200.0,0.08068247951725716,0.18239954528130764,-0.05385705064239876,-0.04787502670623178,1.5011584580060244e-05
broad,EWall,S4,10.0,300.0,0.05675244369936849,0.18239954528130764,-0.05385705064239876,-0.07181256887526533,2.251793572494165e-05
broad,EWall,S4,10.0,400.0,0.032822389061244905,0.18239954528130764,-0.05385705064239876,-0.09575013023708911,3.0024659425142985e-05
broad,EWall,S4,10.0,500.0,0.008892315616242596,0.18239954528130764,-0.05385705064239876,-0.11968771077833562,3.753175566933997e-05
broad,EWall,S4,10.0,600.0,-0.015037776622283117,0.18239954528130764,-0.05385705064239876,-0.14362531048563776,4.503922444576425e-05
broad,EWall,S4,25.0,0.0,0.04746642800921408,0.18239954528130764,-0.13493311727209356,0.0,0.0
