panel,instr,arm,d_IS,m_star_IS,shares_using,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,base_OOS_Sharpe,base_OOS_CAGR,base_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD
u56,G200,NEVER,-0.29065313742659926,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,G200,ALWAYS,-0.29065313742659926,,10,0.1589700324972598,1.1445683405850715,-0.203510132418466,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,G200,GATED,-0.29065313742659926,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,BAND3,NEVER,3.9374342249092122,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,BAND3,ALWAYS,3.9374342249092122,,10,0.16067535726060267,1.1506100977662999,-0.20462845108002264,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,BAND3,GATED,3.9374342249092122,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,DEGROSS,NEVER,2.3322547338858506,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,DEGROSS,ALWAYS,2.3322547338858506,,10,0.130209841303851,1.1031888258153133,-0.1820727921523726,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,DEGROSS,GATED,2.3322547338858506,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,STOP15,NEVER,-0.9275759010736848,,0,0.17361882489353148,1.104382187174755,-0.23710572607910887,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
u56,STOP15,ALWAYS,-0.9275759010736848,,10,0.15736847821458838,1.0611187067451309,-0.24639634580607117,0.747063834691694,0.07730300522922962,-0.13827796154480798,0.8820107671822842,0.15450717694493266,-0.33717235283398284
