subset,family,n_arms,win_0,win_10,win_25,c_star_firstrung,cls,rho_cost_win
605_ALL,ABS,36,0.5740740740740741,0.48148148148148145,0.28703703703703703,10.0,CROSS,-0.996422170998389
605_MATCHED,ABS,24,0.5,0.4583333333333333,0.25,10.0,CROSS,-0.9654754565201837
605_ALL,QEXP,36,0.6296296296296297,0.5740740740740741,0.46296296296296297,20.0,CROSS,-0.990129861612679
605_MATCHED,QEXP,24,0.625,0.5833333333333334,0.5833333333333334,75.0,CROSS,-0.9599107101332767
605_ALL,QROLL,144,0.9907407407407407,0.9629629629629629,0.8333333333333334,50.0,CROSS,-1.0
605_MATCHED,QROLL,48,1.0,0.9583333333333334,0.7916666666666666,75.0,CROSS,-0.9673232581274397
605_ALL,POOLED,216,0.8611111111111112,0.8179012345679012,0.6805555555555556,50.0,CROSS,-1.0
605_MATCHED,POOLED,96,0.78125,0.7395833333333334,0.6041666666666666,50.0,CROSS,-0.981070843517429
