panel,theta,peak,trough,end,depth,trough_in_IS
U56,0.08,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673806,False
U56,0.08,2022-01-03,2022-10-12,2023-12-12,-0.24496397555877825,False
U56,0.08,2009-01-28,2009-03-09,2009-04-16,-0.22061944945147527,True
U56,0.08,2018-09-20,2018-12-24,2019-04-11,-0.1934891526272734,False
U56,0.08,2025-02-19,2025-04-08,2025-06-25,-0.1875524175200879,False
U56,0.08,2011-04-29,2011-10-03,2012-02-02,-0.18605456334553871,True
U56,0.08,2010-04-23,2010-07-02,2010-11-03,-0.15699676276134766,True
U56,0.08,2015-07-20,2016-02-11,2016-04-15,-0.13022902339657372,True
U56,0.08,2018-01-26,2018-02-08,2018-08-03,-0.10101880123915996,False
U56,0.08,2012-04-02,2012-06-04,2012-08-15,-0.09686946889662107,True
U56,0.08,2020-09-02,2020-09-23,2020-11-10,-0.09440397995330496,False
U56,0.08,2026-01-27,2026-03-30,2026-04-13,-0.08884966829933194,False
U56,0.08,2024-07-16,2024-08-05,2024-09-18,-0.08405625908508696,False
U56,0.1,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673806,False
U56,0.1,2022-01-03,2022-10-12,2023-12-12,-0.24496397555877825,False
U56,0.1,2009-01-28,2009-03-09,2009-04-16,-0.22061944945147527,True
U56,0.1,2018-09-20,2018-12-24,2019-04-11,-0.1934891526272734,False
U56,0.1,2025-02-19,2025-04-08,2025-06-25,-0.1875524175200879,False
U56,0.1,2011-04-29,2011-10-03,2012-02-02,-0.18605456334553871,True
U56,0.1,2010-04-23,2010-07-02,2010-11-03,-0.15699676276134766,True
U56,0.1,2015-07-20,2016-02-11,2016-04-15,-0.13022902339657372,True
U56,0.1,2018-01-26,2018-02-08,2018-08-03,-0.10101880123915996,False
U56,0.15,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673806,False
U56,0.15,2022-01-03,2022-10-12,2023-12-12,-0.24496397555877825,False
U56,0.15,2009-01-28,2009-03-09,2009-04-16,-0.22061944945147527,True
U56,0.15,2018-09-20,2018-12-24,2019-04-11,-0.1934891526272734,False
U56,0.15,2025-02-19,2025-04-08,2025-06-25,-0.1875524175200879,False
U56,0.15,2011-04-29,2011-10-03,2012-02-02,-0.18605456334553871,True
U56,0.15,2010-04-23,2010-07-02,2010-11-03,-0.15699676276134766,True
U56,0.2,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673806,False
U56,0.2,2022-01-03,2022-10-12,2023-12-12,-0.24496397555877825,False
U56,0.2,2009-01-28,2009-03-09,2009-04-16,-0.22061944945147527,True
B136,0.08,2020-02-19,2020-03-23,2020-08-07,-0.3371595330739301,False
B136,0.08,2022-01-03,2022-10-12,2023-12-12,-0.24496651760884536,False
B136,0.08,2009-01-28,2009-03-09,2009-04-16,-0.22058362096015105,True
B136,0.08,2018-09-20,2018-12-24,2019-04-11,-0.19347516639095053,False
B136,0.08,2025-02-19,2025-04-08,2025-06-25,-0.18755082059706918,False
B136,0.08,2011-04-29,2011-10-03,2012-02-02,-0.18605543301045302,True
B136,0.08,2010-04-23,2010-07-02,2010-11-03,-0.15698948290972747,True
B136,0.08,2015-07-20,2016-02-11,2016-04-15,-0.13021891220943305,True
B136,0.08,2018-01-26,2018-02-08,2018-08-03,-0.10103740212250101,False
B136,0.08,2012-04-02,2012-06-04,2012-08-15,-0.09685580050596299,True
B136,0.08,2020-09-02,2020-09-23,2020-11-10,-0.09441122006010727,False
B136,0.08,2026-01-27,2026-03-30,2026-04-13,-0.0888394212283714,False
B136,0.08,2024-07-16,2024-08-05,2024-09-18,-0.08405219282348686,False
B136,0.1,2020-02-19,2020-03-23,2020-08-07,-0.3371595330739301,False
B136,0.1,2022-01-03,2022-10-12,2023-12-12,-0.24496651760884536,False
B136,0.1,2009-01-28,2009-03-09,2009-04-16,-0.22058362096015105,True
B136,0.1,2018-09-20,2018-12-24,2019-04-11,-0.19347516639095053,False
B136,0.1,2025-02-19,2025-04-08,2025-06-25,-0.18755082059706918,False
B136,0.1,2011-04-29,2011-10-03,2012-02-02,-0.18605543301045302,True
B136,0.1,2010-04-23,2010-07-02,2010-11-03,-0.15698948290972747,True
B136,0.1,2015-07-20,2016-02-11,2016-04-15,-0.13021891220943305,True
B136,0.1,2018-01-26,2018-02-08,2018-08-03,-0.10103740212250101,False
B136,0.15,2020-02-19,2020-03-23,2020-08-07,-0.3371595330739301,False
B136,0.15,2022-01-03,2022-10-12,2023-12-12,-0.24496651760884536,False
B136,0.15,2009-01-28,2009-03-09,2009-04-16,-0.22058362096015105,True
B136,0.15,2018-09-20,2018-12-24,2019-04-11,-0.19347516639095053,False
B136,0.15,2025-02-19,2025-04-08,2025-06-25,-0.18755082059706918,False
B136,0.15,2011-04-29,2011-10-03,2012-02-02,-0.18605543301045302,True
B136,0.15,2010-04-23,2010-07-02,2010-11-03,-0.15698948290972747,True
B136,0.2,2020-02-19,2020-03-23,2020-08-07,-0.3371595330739301,False
B136,0.2,2022-01-03,2022-10-12,2023-12-12,-0.24496651760884536,False
B136,0.2,2009-01-28,2009-03-09,2009-04-16,-0.22058362096015105,True
SMALL439,0.08,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673795,False
SMALL439,0.08,2022-01-03,2022-10-12,2023-12-12,-0.2449639755587777,False
SMALL439,0.08,2018-09-20,2018-12-24,2019-04-11,-0.19348915262727273,False
SMALL439,0.08,2025-02-19,2025-04-08,2025-06-25,-0.187552417520088,False
SMALL439,0.08,2011-04-29,2011-10-03,2012-02-02,-0.18605456334553905,True
