panel,family,cost,pick,oracle,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,best_OOS_Sharpe,regret_BP,regret_PB,base_OOS_Sharpe,spy_OOS_Sharpe,beats_base,beats_spy
B136,BAND,10.0,0.08,0.02,1.1411863398422468,0.08363493461181792,1.109464233897109,-0.14813995230211774,1.1387973952405153,0.029333161343406244,-0.029333161343406244,1.1185082795688426,0.8820239235972316,False,True
B136,BAND,25.0,0.08,0.02,1.1190108375910581,0.08150637071722855,1.0830816870251903,-0.14838094033740212,1.0858681099625442,0.002786422937353983,-0.002786422937353983,1.0740236940215924,0.8820239235972316,True,True
B136,CADENCE,10.0,W,D,1.0911618922065958,0.07983337481604336,1.1185082795688426,-0.1224079386020801,1.1451636796044993,0.026655400035656696,-0.026655400035656696,1.1185082795688426,0.8820239235972316,False,True
B136,CADENCE,25.0,M,D,1.062304383531473,0.08111823617110958,1.0675362385627567,-0.15720132467995662,1.082665580392212,0.015129341829455356,-0.015129341829455356,1.0740236940215924,0.8820239235972316,False,True
B136,GROSS,10.0,1.0,0.25,1.092198222552401,0.10658557013582604,1.117411511463011,-0.1615773477730451,1.1202829150490405,0.002871403586029553,-0.002871403586029553,1.1185082795688426,0.8820239235972316,False,True
B136,GROSS,25.0,1.0,0.25,1.0537694407469829,0.10196602593399073,1.0731857152180366,-0.16213977549982772,1.0747840670844353,0.0015983518663986729,-0.0015983518663986729,1.0740236940215924,0.8820239235972316,False,True
B136,N,10.0,10,40,1.1874769995014327,0.20809344819386033,0.8442279428194743,-0.3351844727620449,1.0469852824875723,0.20275733966809795,-0.20275733966809795,1.1185082795688426,0.8820239235972316,False,False
B136,N,25.0,10,40,1.0385884480090433,0.16999940470186337,0.7239144867451704,-0.34284701309470045,0.9341567119649573,0.21024222521978686,-0.21024222521978686,1.0740236940215924,0.8820239235972316,False,False
B136,VOLCAP,10.0,9.99,0.8,1.1078255844838025,0.1891371522138341,0.9183615579441134,-0.3102397258848344,0.9678251257443541,0.04946356780024064,-0.04946356780024064,1.1185082795688426,0.8820239235972316,False,True
B136,VOLCAP,25.0,9.99,0.8,0.9673283864580551,0.1574288770783816,0.7915943071128207,-0.31209953645451505,0.831324321596154,0.03973001448333324,-0.03973001448333324,1.0740236940215924,0.8820239235972316,False,False
SMALL439,BAND,10.0,0.2,0.12,0.6883521874083116,0.046639629852882614,0.6254649846034185,-0.17136342530471904,0.6352766902873238,0.009811705683905325,-0.009811705683905325,0.5680478246931868,0.8820107009842559,True,False
SMALL439,BAND,25.0,0.2,0.12,0.6624192003204787,0.044399396731447105,0.5978441005949153,-0.1738720073522374,0.6006765984455337,0.002832497850618343,-0.002832497850618343,0.5072384570086393,0.8820107009842559,True,False
SMALL439,CADENCE,10.0,M,M,0.738039598620804,0.0437580243585467,0.6206906610091685,-0.16749728671588104,0.6206906610091685,0.0,0.0,0.5680478246931868,0.8820107009842559,True,False
SMALL439,CADENCE,25.0,M,M,0.7031370075491746,0.04105005962907482,0.5854053550775412,-0.17096558520813832,0.5854053550775412,0.0,0.0,0.5072384570086393,0.8820107009842559,True,False
SMALL439,GROSS,10.0,1.0,0.25,0.5814735598049346,0.05039282425204594,0.5672468542824622,-0.19188733044643858,0.569549700602619,0.0023028463201567595,-0.0023028463201567595,0.5680478246931868,0.8820107009842559,False,False
