panel,instrument,depth_pp,gross,dg_gross,dCAGR_vs_dg,dSharpe_vs_dg,dOOS_Sharpe_vs_dg
U56,VOL20,1.0,0.7470116215413551,0.7091135072329953,0.2779662197969185,-0.01728486818785302,-0.017032673293001732
U56,VOL20,2.0,0.7463360705141243,0.6714989768547668,0.36426543367960584,-0.04644570799277292,-0.03155308167468385
U56,VOL20,3.0,0.7444189626679244,0.6341895283469607,0.23439400093947238,-0.05110189144741395,0.010958627062884307
U56,VOL20,3.12,0.7446393448930001,0.6297476982193675,0.38508659637429277,-0.05674086059702099,-0.017218931288555117
U56,VOL20,4.0,0.7415069355516524,0.5971793361871572,0.18000366945531837,-0.04402265588995613,0.04136607153722349
U56,VOL20,5.0,0.7390809395956717,0.5604624348790463,0.3295492221817409,-0.06024853289579668,0.025058920410427676
U56,BAND,1.0,0.7216263204648167,0.7091135072329953,0.5130698378218307,0.01100504307517225,0.04373333954793712
U56,BAND,2.0,0.72122843153898,0.6714989768547668,0.791263833576189,-0.007599470222947602,0.028963855424184448
U56,SLEEVE,1.0,0.747030746823449,0.7091135072329953,0.08029143918706627,0.00989323645205653,0.0121336933884868
U56,SLEEVE,2.0,0.7470218166221309,0.6714989768547668,0.15516397854867248,0.019758494680493843,0.02481190751184803
U56,SLEEVE,3.0,0.7470126934111242,0.6341895283469607,0.22683936488817058,0.02949009528748392,0.03809103205783382
U56,SLEEVE,3.12,0.7470115857043751,0.6297476982193675,0.2348785428793354,0.030638898906812262,0.03972350068008379
U56,SLEEVE,4.0,0.7470033825076158,0.5971793361871572,0.29534222735029536,0.038780054505256345,0.05188835265521785
U56,SLEEVE,5.0,0.7469938106422604,0.5604624348790463,0.3547996708815254,0.0472278516477902,0.066149540134262
U56,SLEEVE,6.0,0.7469835215368331,0.5240397664522005,0.37830665246750966,0.05348892440127373,0.08101511905032877
U56,SLEEVE,8.0,0.7469620694916487,0.4520549350596602,0.3878439321888083,0.05632011067244158,0.10856974090995664
B136,VOL20,1.0,0.7479726598344686,0.7138739717466845,0.6642608411869116,0.007482321686043236,0.010744619678302314
B136,VOL20,2.0,0.7474135899890176,0.6800220063453929,0.5754730398594532,-0.014680171804171138,-0.011878125516938232
B136,VOL20,3.0,0.7459797332248659,0.6464614625991945,-0.8086741238009523,-0.08799008503636918,-0.0920707283320461
B136,VOL20,3.12,0.7465503882444527,0.6424419312753313,0.3526289236280067,-0.0428934629275205,-0.04058040874813729
B136,VOL20,4.0,0.7461170725924492,0.613185642284744,1.178181347050987,-0.03277195691036494,-0.018767314083374953
B136,VOL20,5.0,0.7449897874807399,0.58018790497462,-0.641496827301087,-0.12320945269932304,-0.15797374735330938
B136,VOL20,6.0,0.7439726123912904,0.5474617322730784,-0.5824696996026835,-0.1354903138271487,-0.17799441486788614
B136,BAND,1.0,0.7421593906845928,0.7138739717466845,0.6033730171885576,0.005645831782288169,-0.001092096293582534
B136,SLEEVE,1.0,0.7479696526827597,0.7138739717466845,0.11637196625228219,0.008398642982315185,0.009896157380463566
B136,SLEEVE,2.0,0.7479149331069548,0.6800220063453929,0.22901864608577127,0.017156901203659647,0.020419162619871645
B136,SLEEVE,3.0,0.7478605420579798,0.6464614625991945,0.33859940416910705,0.026268357383351648,0.03162920422398563
B136,SLEEVE,3.12,0.7478540188684283,0.6424419312753313,0.3516352796386263,0.02736575979151179,0.03298225986158454
B136,SLEEVE,4.0,0.7478064740494896,0.613185642284744,0.4452681739902306,0.03568961584768182,0.043564135483253885
B136,SLEEVE,5.0,0.7477527242026207,0.58018790497462,0.5491355113757936,0.04534166337043688,0.0562528426096337
B136,SLEEVE,6.0,0.7476992866225513,0.5474617322730784,0.6502575709839684,0.055096064662519484,0.06970773138322839
B136,SLEEVE,8.0,0.7475913162012345,0.48295832717530546,0.8204380570785097,0.07424719768897825,0.09960098888830704
