panel,ma,g_low,L,obs,se,t
U56,100,0.375,21,0.031245872985956158,0.07058401101186489,0.4426763588244348
U56,100,0.5625,21,0.028147930457325776,0.03229524847629603,0.8715811701521885
U56,100,0.675,21,0.013658091868829825,0.012107719818555818,1.1280482265453458
U56,150,0.375,21,0.04437143605484928,0.06829003182747369,0.6497498224477068
U56,150,0.5625,21,0.03318638177611821,0.03179484615209958,1.0437660750853088
U56,150,0.675,21,0.015430985149348375,0.012039624973850858,1.2816832071483366
U56,200,0.375,21,0.029445854305280017,0.06423981771605596,0.45837387701553806
U56,200,0.5625,21,0.025407632442432382,0.03028489189734161,0.8389540411290902
U56,200,0.675,21,0.01230908051395807,0.011566034375786537,1.0642438120127933
U56,250,0.375,21,0.021216096094375914,0.06327107993517435,0.3353205938023073
U56,250,0.5625,21,0.020806652544984372,0.030064140816951274,0.692075408762482
U56,250,0.675,21,0.010442902506247131,0.011535895301096501,0.9052528853356115
B136,100,0.375,21,0.019738155437669436,0.06691402368551952,0.2949778589079356
B136,100,0.5625,21,0.021104847629727086,0.030925376550535937,0.682444321906287
B136,100,0.675,21,0.010674025448290436,0.011675916474299736,0.9141916586835306
B136,150,0.375,21,0.02305507425636466,0.06526083101630219,0.35327583019292985
B136,150,0.5625,21,0.021775083812708207,0.03061487554386873,0.7112582829711722
B136,150,0.675,21,0.010799935363427826,0.011661299537491907,0.9261348041618575
B136,200,0.375,21,0.015226106949858709,0.059350747803036424,0.2565444836582115
B136,200,0.5625,21,0.0172679861357945,0.02814889966746036,0.6134515501419756
B136,200,0.675,21,0.00893477745009652,0.010807164597136888,0.8267457546138962
B136,250,0.375,21,0.004939010777402331,0.05680892613864967,0.08694075232733715
B136,250,0.5625,21,0.011473944448795903,0.02720763670712921,0.42171779093879874
B136,250,0.675,21,0.0065635729597988135,0.010510964694031583,0.6244501005246257
