panel,m,constr,n,r_CAGR,r_DD,r_BOTH,r_4b,r_4a,med_calmar
B136,14,DEGROSS,240,0.0625,0.7708333333333334,0.020833333333333332,0.0,0.004166666666666667,0.20835671728599092
B136,14,RESPREAD,240,0.225,0.12083333333333333,0.029166666666666667,0.0,0.0,0.2210819191937771
B136,14,RESPREAD@0.15,240,0.0,1.0,0.0,0.0,0.025,0.22844986598958344
B136,14,RESPREAD@0.25,240,0.0,0.9333333333333333,0.0,0.0,0.025,0.2282861687350043
B136,14,RESPREAD@0.375,240,0.025,0.7125,0.016666666666666666,0.004166666666666667,0.025,0.22825642751985808
B136,14,RESPREAD@0.5,240,0.08333333333333333,0.45,0.025,0.004166666666666667,0.0,0.22605432791377347
B136,28,DEGROSS,240,0.125,0.9125,0.0625,0.0625,0.004166666666666667,0.3242824891117666
B136,28,RESPREAD,240,0.5541666666666667,0.17083333333333334,0.0625,0.0625,0.0,0.36473218493920334
B136,28,RESPREAD@0.15,240,0.0,0.9791666666666666,0.0,0.0,0.004166666666666667,0.3449317837886831
B136,28,RESPREAD@0.25,240,0.0125,0.8958333333333334,0.0125,0.004166666666666667,0.004166666666666667,0.3493215835318044
B136,28,RESPREAD@0.375,240,0.1,0.7458333333333333,0.0375,0.020833333333333332,0.004166666666666667,0.3528850209260972
B136,28,RESPREAD@0.5,240,0.2,0.49583333333333335,0.029166666666666667,0.016666666666666666,0.0,0.3576818729718254
B136,55,DEGROSS,240,0.14583333333333334,0.9791666666666666,0.125,0.125,0.008333333333333333,0.4463187952140808
B136,55,RESPREAD,240,0.6375,0.32916666666666666,0.1375,0.13333333333333333,0.0,0.47842064898630565
B136,55,RESPREAD@0.15,240,0.0,1.0,0.0,0.0,0.020833333333333332,0.4465709869238125
B136,55,RESPREAD@0.25,240,0.025,0.9666666666666667,0.020833333333333332,0.016666666666666666,0.020833333333333332,0.44972028371081046
B136,55,RESPREAD@0.375,240,0.17083333333333334,0.7916666666666666,0.04583333333333333,0.03333333333333333,0.020833333333333332,0.4549869331059132
B136,55,RESPREAD@0.5,240,0.35,0.6166666666666667,0.09583333333333334,0.07083333333333333,0.0,0.4651188998569942
B136,135,DEGROSS,30,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.0,0.48215262673678205
B136,135,RESPREAD,30,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.5165856430605655
B136,135,RESPREAD@0.15,30,0.0,1.0,0.0,0.0,0.0,0.4811647932241009
B136,135,RESPREAD@0.25,30,0.0,1.0,0.0,0.0,0.0,0.4871393393789512
B136,135,RESPREAD@0.375,30,0.13333333333333333,0.8333333333333334,0.0,0.0,0.0,0.49457756303698047
B136,135,RESPREAD@0.5,30,0.3,0.7666666666666667,0.13333333333333333,0.13333333333333333,0.0,0.5019721209578532
SMALL,14,DEGROSS,240,0.025,0.0625,0.0,0.0,0.025,0.042712443660484455
SMALL,14,RESPREAD,240,0.11666666666666667,0.0,0.0,0.0,0.0,0.025491836543463535
SMALL,14,RESPREAD@0.15,240,0.0,0.5208333333333334,0.0,0.0,0.029166666666666667,0.05387605182626182
SMALL,14,RESPREAD@0.25,240,0.0,0.19166666666666668,0.0,0.0,0.025,0.05120880816235838
SMALL,14,RESPREAD@0.375,240,0.020833333333333332,0.0375,0.0,0.0,0.0125,0.04711038499214312
