panel,band,is_n,is_lo,is_hi,is_mid,is_contiguous,oos_n,oos_lo,oos_hi,overlap,mid_passes_oos
U56,NOGATE,3,0.65,0.75,0.7,True,2,0.6,0.65,1,False
U56,BAND000,0,,,,,3,0.9,1.0,0,
U56,BAND003,0,,,,,4,0.85,1.0,0,
U56,BAND010,2,0.95,1.0,0.95,True,3,0.9,1.0,2,True
B136,NOGATE,2,0.55,0.6,0.55,True,0,,,0,False
B136,BAND000,0,,,,,0,,,0,
B136,BAND003,1,1.0,1.0,1.0,True,0,,,0,False
B136,BAND010,3,0.9,1.0,0.95,True,1,1.0,1.0,1,False
SMALL,NOGATE,0,,,,,0,,,0,
SMALL,BAND000,0,,,,,0,,,0,
SMALL,BAND003,0,,,,,0,,,0,
SMALL,BAND010,0,,,,,0,,,0,
