pop,y,n,uni_corr_slope,uni_corr_R2,uni_own_slope,uni_own_R2,joint_corr_b,joint_corr_t,joint_own_b,joint_own_t,joint_R2,rho_corr,rho_own,pr_corr_given_own,pr_own_given_corr
idea 103 ladder (11),conv_per_pp,360,-0.09649283373017979,0.1949287810390975,-0.14814721831096608,0.22599463986081259,-0.048834474752319224,-3.6312118359153387,-0.10154992157263575,-5.295625951891775,0.253564051718977,-0.6244085825357523,-0.5696962425744116,-0.4445957247346414,-0.3342898359657709
idea 103 ladder (11),raw_per_pp,360,0.22092109169033852,0.015489428528431715,0.6944241343766976,0.07527242996387684,-0.19011362571496948,-1.5691257609387967,0.8758283795614911,5.069628862352946,0.08160640192401958,-0.2399648119798252,0.2497068095300324,-0.4792777722931647,0.4833283514073411
idea 103 ladder (11),dSharpe,360,-0.3186737606352755,0.5233506178705041,-0.3844778623940997,0.3746865454180671,-0.2503387641796608,-11.93479484817533,-0.14560747956004305,-4.868365584823129,0.5530249807332979,-0.5887985607187495,-0.6015324817444773,-0.3757008240307352,-0.40134430423266637
idea 103 ladder (11),dSharpe_raw,360,-0.07038807490725618,0.033648235987138064,0.15033849682412184,0.07549702242354273,-0.2552443157308443,-11.324127054653527,0.393889700788231,12.255638002865272,0.3198203294743961,-0.3241620168238414,0.24469589302699793,-0.5806113590279864,0.5510218200740594
this run's plane (21),conv_per_pp,720,274788.18457483273,1.3115584920009304e-05,2282286.9086808497,0.0013478229877472714,-2747076.7617961247,-0.7308390120604659,3763097.5886947284,1.2219313894431438,0.0020912102854770964,-0.006256396113379973,-0.0873000676395353,0.06690042275823595,-0.1096548500235633
this run's plane (21),raw_per_pp,658,0.2842963737083379,0.07051164393491727,0.30530264778133537,0.12813727119637008,0.06332104582964737,1.2396869498222947,0.2727461987403868,6.703023185536314,0.13017813057484617,0.36447032966085186,0.6582259672538651,-0.11145933284429944,0.5954520839375179
this run's plane (21),dSharpe,720,-0.05894858281764681,0.02199800236922278,0.0023882182594419637,5.378799588751093e-05,-0.10732366867776769,-5.56156754857599,0.06024100089970543,3.8101695241478484,0.041407025780797024,-0.20004629806251145,-0.1434392808863468,-0.14198787831366924,-0.017738533792906918
this run's plane (21),dSharpe_raw,720,0.31772802140236606,0.15013969361286683,0.5047478582629226,0.564461447762751,-0.15445792778066675,-5.893340104429722,0.5880083452836333,27.38326341868241,0.5845841772316906,0.30116719074458087,0.6424706243190862,-0.2013958622411253,0.6167550823004704
"plane, conv defined",conv_per_pp,715,247166.66933594792,1.058768105532959e-05,2442550.7332631787,0.0015458655259847909,-3004049.5691035357,-0.7975354216599299,4053971.011161288,1.3159981188418166,0.002437034966494278,-0.007219577836415243,-0.08193474760772798,0.060748617343117726,-0.10162351410553606
"plane, conv defined",raw_per_pp,656,0.2373507567238088,0.09787357047793732,0.2675731449759488,0.19592192910114858,0.036058847270772826,1.0371079433284505,0.24907196166648204,8.990707492672911,0.19724419316717767,0.361138286909156,0.6556059164600797,-0.11178912094288242,0.5937142475237694
"plane, conv defined",dSharpe,715,-0.05767483009594289,0.020889000455222795,0.0035892576637119376,0.00012095331372907747,-0.10627060353230376,-5.476118684747743,0.06059451058552983,3.817901595509871,0.04053165231896649,-0.19564465314389776,-0.13847966066747697,-0.1403604489809851,-0.015228896928784824
"plane, conv defined",dSharpe_raw,715,0.3186808349640917,0.14961157348580734,0.5066551501027134,0.5653816482174826,-0.15382152640871677,-5.839148485037818,0.5891674792538638,27.346573197703176,0.5852431730666257,0.3011847042863203,0.6423948274134849,-0.1995358534183906,0.6162752591803233
