=== 2026-09-07_is-TURNOVER-not-COUNT-the-real-n-dial_cloud
Book: top-n eligible by the v1 composite (vol scaler OFF), NORM weights g/k_t at g=0.75, weekly, next-day execution.  Band m: sell only past rank n+m.

[panels]
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
    SMALL: dropped 44 tickers with max_1d_move >= 1.0 -> 439 names + SPY

================ U56: 55 names + SPY, 2008-01-02 -> 2026-09-04, eval from 2009-01-13
    eligible/day mean 37.5 min 3 max 55
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% H1/H2 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    RULES v2 (live, 10 bps) CAGR 8.66% Sharpe 1.206 MaxDD -12.05% H1/H2 1.226/1.191 | OOS Sharpe 1.285 CAGR 9.53% MaxDD -12.05%

[0] GATES
    fast_backtest vs engine.backtest: max|dr| 0.000e+00  max|dturnover| 0.000e+00
    derived rung r(25) vs live backtest(cost_bps=25): max|d| 0.000e+00
    sel_band(n=20, m=0) nests sel_hard(n=20) on rebalance days: 0 disagreements of 54600
    idea 44 U56 anchor (FIXED g/n, 10 bps): 12.66% / 1.092 / -18.31%  H1/H2 1.088/1.102   [published 12.66% / 1.092 / -18.31%]

[A/B] GRID U56 (all points; ann.turnover = mean yearly sum|dw|)
       n   m  turn/yr  names  gross | c=0     CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=10    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=25    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a
       5   0    18.51    4.9  0.750 |  18.35%  1.024 -20.54%  0.999/1.052   1.052 n  n |  16.18%  0.921 -21.51%  0.887/0.957   0.955 n  n |  13.00%  0.767 -23.26%  0.719/0.814   0.809 n  n |
       5   5     9.47    4.9  0.750 |  18.24%  1.031 -22.25%  1.062/1.015   0.987 n  n |  17.13%  0.978 -22.56%  1.007/0.963   0.934 n  n |  15.47%  0.898 -23.13%  0.924/0.884   0.854 n  n |
       5  10     7.26    4.9  0.750 |  20.01%  1.115 -22.25%  1.127/1.114   1.116 n  n |  19.14%  1.074 -22.35%  1.086/1.074   1.076 n  n |  17.85%  1.013 -22.49%  1.022/1.013   1.015 n  n |
       5  20     6.09    4.9  0.750 |  18.78%  1.084 -22.25%  1.071/1.101   1.143 n  n |  18.06%  1.048 -22.35%  1.035/1.066   1.108 n  n |  16.98%  0.995 -22.49%  0.981/1.013   1.056 n  n |
       5  40     4.91    4.9  0.750 |  16.99%  1.066 -21.68%  1.194/0.973   1.044 n  n |  16.41%  1.035 -21.77%  1.165/0.941   1.012 n  n |  15.56%  0.988 -21.91%  1.120/0.892   0.965 n  n |
      10   0    14.69    9.8  0.750 |  14.75%  1.033 -17.47%  1.013/1.056   1.087 Y  n |  13.08%  0.930 -17.54%  0.903/0.959   0.989 n  n |  10.61%  0.777 -17.64%  0.738/0.814   0.841 n  n |
      10   5     8.07    9.8  0.750 |  15.51%  1.079 -17.94%  1.014/1.140   1.178 Y  n |  14.58%  1.023 -17.99%  0.955/1.086   1.124 n  n |  13.21%  0.938 -18.07%  0.867/1.004   1.042 n  n |
      10  10     6.37    9.8  0.750 |  16.22%  1.128 -18.22%  1.066/1.187   1.241 Y  n |  15.48%  1.083 -18.26%  1.021/1.142   1.196 Y  n |  14.39%  1.016 -18.32%  0.954/1.074   1.129 n  n |
      10  20     5.39    9.8  0.750 |  15.89%  1.123 -17.80%  1.042/1.199   1.236 Y  n |  15.27%  1.085 -17.84%  1.004/1.160   1.197 Y  n |  14.35%  1.027 -17.89%  0.947/1.102   1.139 n  n |
      10  40     4.57    9.8  0.750 |  15.13%  1.134 -18.39%  1.116/1.157   1.229 Y  n |  14.61%  1.099 -18.66%  1.082/1.122   1.194 Y  n |  13.82%  1.047 -19.06%  1.032/1.068   1.141 Y  n |
