panel,arm,chooser,t,L,d,oCAGR,oSharpe,oMaxDD,keep4b_oos,keep4a_oos,twoSharpe,twoMaxDD,tw_keep4b_oos
U56,FIXED,C_ISSHARPE,0.16,20,1,0.1576191122006143,1.2011689884537158,-0.20770907010661444,False,False,1.1265756397011315,-0.27414398845128285,False
U56,FIXED,C_ISLEGS,0.16,20,1,0.1576191122006143,1.2011689884537158,-0.20770907010661444,False,False,1.1265756397011315,-0.27414398845128285,False
U56,FIXED,C_ISDD,0.16,40,1,0.15585218701754222,1.1603911298114105,-0.2083032963888255,False,False,1.1265760186611626,-0.2740918014329162,False
U56,FIXED,C_MEMO,0.16,20,0,0.15939920336045454,1.2195762430656825,-0.19861405013202704,True,False,1.126572530635112,-0.2745707827163564,False
U56,FREE,C_ISSHARPE,0.16,20,1,0.1576191122006143,1.2011689884537158,-0.20770907010661444,False,False,1.1265756397011315,-0.27414398845128285,False
U56,FREE,C_ISLEGS,0.12,40,0,0.14475162484681392,1.2391763361164578,-0.1806222627529962,True,False,1.1267009474751246,-0.25480993769302673,False
U56,FREE,C_ISDD,0.08,20,1,0.11040634080724776,1.245280146818003,-0.1302073682132453,True,False,1.1268846896780003,-0.2102051308982722,False
U56,FREE,C_MEMO,0.16,20,0,0.15939920336045454,1.2195762430656825,-0.19861405013202704,True,False,1.126572530635112,-0.2745707827163564,False
B136,FIXED,C_ISSHARPE,0.16,20,1,0.15143687790694127,1.1621405293880376,-0.1929870483771805,True,False,1.0861430527888178,-0.3068286402117315,False
B136,FIXED,C_ISLEGS,0.16,20,1,0.15143687790694127,1.1621405293880376,-0.1929870483771805,True,False,1.0861430527888178,-0.3068286402117315,False
B136,FIXED,C_ISDD,0.16,5,1,0.15046408905979125,1.1697298850305933,-0.19678984224309382,True,False,1.0861271936121253,-0.3075160396570653,False
B136,FIXED,C_MEMO,0.16,20,0,0.15363121068308483,1.1839193698090225,-0.1875546234937404,True,False,1.0861312209736032,-0.30734168211529855,False
B136,FREE,C_ISSHARPE,0.16,20,1,0.15143687790694127,1.1621405293880376,-0.1929870483771805,True,False,1.0861430527888178,-0.3068286402117315,False
B136,FREE,C_ISLEGS,0.12,20,0,0.1386299658267558,1.2219925648994616,-0.160131175682948,True,False,1.086568952121483,-0.2875457062460408,False
B136,FREE,C_ISDD,0.08,10,0,0.10054013341879009,1.119556461195099,-0.14017550142108237,False,False,1.087384967795046,-0.24530118901580455,False
B136,FREE,C_MEMO,0.16,20,0,0.15363121068308483,1.1839193698090225,-0.1875546234937404,True,False,1.0861312209736032,-0.30734168211529855,False
SMALL665,FIXED,C_ISSHARPE,0.16,20,1,0.04904014030373505,0.3814582988417744,-0.32195040743314607,False,False,0.5969566891429907,-0.3826531349135459,False
SMALL665,FIXED,C_ISLEGS,0.16,5,5,0.04345077728022284,0.3358423283761492,-0.3806621010870368,False,False,0.5968850963159881,-0.38782119848491836,False
SMALL665,FIXED,C_ISDD,0.16,10,1,0.049425875370880945,0.38410386022942145,-0.32368246011095436,False,False,0.5969177366062298,-0.3854726010580013,False
SMALL665,FIXED,C_MEMO,0.16,20,0,0.05240265848239023,0.4021989244562806,-0.31399910438998513,False,False,0.5969511939989903,-0.383052046818361,False
SMALL665,FREE,C_ISSHARPE,0.2,10,0,0.0691517924055638,0.4662556789131531,-0.3162886698780447,False,False,0.5965076282094434,-0.41410663249167445,False
SMALL665,FREE,C_ISLEGS,0.2,10,0,0.0691517924055638,0.4662556789131531,-0.3162886698780447,False,False,0.5965076282094434,-0.41410663249167445,False
SMALL665,FREE,C_ISDD,0.08,20,5,0.02295411566336103,0.29354596117201043,-0.27253477099903667,False,False,0.5985866653903769,-0.24321893807799533,False
SMALL665,FREE,C_MEMO,0.2,20,0,0.07448295673835426,0.4901395553431787,-0.3378375903976325,False,False,0.5965011376203744,-0.4145449191183399,False
