bar,k,n_side,pass_B,pass_S,ratio,ratio_capped,dropH1_B,dropH1_S,dropH1_ratio,dropH2_B,dropH2_S,dropH2_ratio,dropOOS_B,dropOOS_S,dropOOS_ratio,dropDD_B,dropDD_S,dropDD_ratio,dropCAGR_B,dropCAGR_S,dropCAGR_ratio,SHARPEonly_B,SHARPEonly_S,SHARPEonly_ratio,LEVELonly_B,LEVELonly_S,LEVELonly_ratio,mcn_Bonly,mcn_Sonly,mcn_chi2
0.6,18,1152,948,330,2.8727272727272726,False,948,330,2.8727272727272726,949,336,2.824404761904762,948,338,2.8047337278106506,1128,553,2.0397830018083183,966,339,2.849557522123894,1146,562,2.0391459074733094,949,492,1.9288617886178863,637,19,580.3185975609756
0.6,36,1152,998,331,3.015105740181269,False,998,331,3.015105740181269,998,331,3.015105740181269,998,332,3.0060240963855422,1148,542,2.1180811808118083,1002,365,2.7452054794520544,1152,576,2.0,998,462,2.16017316017316,668,1,663.0134529147982
0.6,72,288,278,74,3.756756756756757,False,278,74,3.756756756756757,278,83,3.349397590361446,278,74,3.756756756756757,288,112,2.571428571428571,278,76,3.6578947368421053,288,114,2.5263157894736845,278,107,2.5981308411214954,204,0,202.0049019607843
0.8,18,1152,436,128,3.40625,False,444,128,3.4687500000000004,438,128,3.421875,436,128,3.40625,954,419,2.2768496420047732,537,140,3.8357142857142854,1055,432,2.4421296296296298,447,136,3.286764705882353,362,54,226.56009615384616
0.8,36,1152,465,123,3.7804878048780486,False,471,123,3.829268292682927,466,123,3.788617886178862,465,123,3.7804878048780486,1011,426,2.373239436619718,591,150,3.94,1137,454,2.504405286343612,472,124,3.8064516129032255,401,59,252.78478260869565
0.8,72,288,141,24,5.875,False,141,24,5.875,141,24,5.875,141,24,5.875,246,72,3.4166666666666665,183,24,7.625,288,72,4.0,141,24,5.875,117,0,115.00854700854701
1.0,18,1152,88,18,4.888888888888889,False,99,18,5.5,90,18,5.0,88,18,4.888888888888889,563,279,2.017921146953405,244,25,9.76,730,299,2.4414715719063547,102,18,5.666666666666667,88,18,44.91509433962264
1.0,36,1152,123,1,123.0,False,134,1,134.0,124,1,124.00000000000001,123,1,123.0,706,240,2.9416666666666664,301,25,12.04,894,350,2.5542857142857143,135,1,135.0,123,1,118.0725806451613
1.0,72,288,14,0,29.000000000000004,True,14,0,29.000000000000004,14,0,29.000000000000004,14,0,29.000000000000004,184,0,369.0,109,0,219.0,279,0,559.0000000000001,14,0,29.000000000000004,14,0,12.071428571428571
1.25,18,1152,1,0,3.0,True,1,0,3.0,1,0,3.0,1,0,3.0,57,34,1.6764705882352942,11,0,23.0,80,54,1.4814814814814816,1,0,3.0,1,0,0.0
1.25,36,1152,1,0,3.0,True,1,0,3.0,1,0,3.0,1,0,3.0,83,3,27.666666666666664,14,0,29.000000000000004,119,5,23.799999999999997,1,0,3.0,1,0,0.0
1.25,72,288,0,0,,True,0,0,,0,0,,0,0,,15,0,31.000000000000004,1,0,3.0,24,0,49.00000000000001,0,0,,0,0,
