panel,book_tape,bar,T_trade,family,chooser,target,cell,is_stat,oos_CAGR,oos_Sharpe,oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD,live_oos_CAGR,live_oos_Sharpe,live_oos_MaxDD,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos,is_the_standing_cell
B136,CRASH_PT,ABS,M,CAL,CH_ISSHARPE,0.2,R=M,1.2661336960613039,0.20707884349935024,1.4540867526327947,-0.1917782707880249,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,False,False,False
B136,CRASH_PT,ABS,M,CAL,CH_ISMINLEG,0.1,R=M,0.015283732084417967,0.1575572674840522,1.4891085558406754,-0.12498216470863044,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,False,False,True
B136,CRASH_PT,ABS,M,DRIFT,CH_ISSHARPE,0.2,h=0.16,1.2485012121079542,0.19388971551631728,1.4160002741654154,-0.18221977848104254,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,False,False,False
B136,CRASH_PT,ABS,M,DRIFT,CH_ISMINLEG,0.1,h=0.08,0.014071706873982251,0.14724775528563527,1.478273415197428,-0.11849964165998972,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,True,True,False
B136,CRASH_PT,ABS,W,CAL,CH_ISSHARPE,0.2,R=M,1.2718702455682258,0.2080125023452677,1.4475633270267583,-0.19121438276299418,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,False,False,False
B136,CRASH_PT,ABS,W,CAL,CH_ISMINLEG,0.1,R=M,0.014531568969280706,0.15822826458168904,1.4810852995735833,-0.12721027996350587,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,False,False,False
B136,CRASH_PT,ABS,W,DRIFT,CH_ISSHARPE,0.16,h=0.25,1.245680741207308,0.1652739229983411,1.4420155381102515,-0.14600548891941723,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,False,False,False
B136,CRASH_PT,ABS,W,DRIFT,CH_ISMINLEG,0.1,h=0.08,0.01436218316406375,0.1457339387495915,1.461717926285403,-0.1158356641650703,0.1525745335844091,0.8736611364726746,-0.33717289200673783,0.09455179369762767,1.276620821629499,-0.12054956914840886,True,True,True,True,True,False
B136,CRASH_PT,CRASH_PT,M,CAL,CH_ISSHARPE,0.2,R=M,1.2661336960613039,0.20707884349935024,1.4540867526327947,-0.1917782707880249,0.20416396710250906,1.209313578593374,-0.2449665176088459,0.09168646506115552,1.342524659108825,-0.09282958255536189,False,False,False,False,False,False
B136,CRASH_PT,CRASH_PT,M,CAL,CH_ISMINLEG,0.1,R=M,0.015262234989623452,0.1575572674840522,1.4891085558406754,-0.12498216470863044,0.20416396710250906,1.209313578593374,-0.2449665176088459,0.09168646506115552,1.342524659108825,-0.09282958255536189,True,True,True,False,False,True
