bps,series,m,j,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
10,IS-picked band book,999,1,0.1196635702904012,0.918244902966639,-0.175699631864785
10,parent top20-200d,999,1,0.12522447158897898,0.8939893512532118,-0.2005204833110832
10,RULES v2 baseline (live),999,1,0.08008859645602318,1.1216815149000923,-0.12240793860208021
10,RULES v1 (previous),999,1,0.05993763381333084,0.580648587357315,-0.2119126361153264
10,SPY,999,1,0.1550349534852662,0.8844317457858041,-0.3371595330739301
25,IS-picked band book,999,1,0.1133599528241136,0.8756804478356623,-0.1767433894154894
25,parent top20-200d,999,1,0.10151202677493876,0.7454051778633731,-0.20155317029654174
25,RULES v2 baseline (live),999,1,0.07668722367257308,1.0771846782277699,-0.12284879701089035
25,RULES v1 (previous),999,1,0.01162295712808703,0.15965373383567966,-0.26721084947028584
25,SPY,999,1,0.1550349534852662,0.8844317457858041,-0.3371595330739301
