panel,seed,width_core,lo,hi,contiguous,width_five
U56,0,0,,,True,0
U56,1,0,,,True,0
U56,2,0,,,True,0
U56,3,0,,,True,0
U56,4,1,0.7,0.7,True,1
U56,5,0,,,True,0
U56,6,0,,,True,0
U56,7,0,,,True,0
U56,8,0,,,True,0
U56,9,0,,,True,0
U56,10,0,,,True,0
U56,11,0,,,True,0
U56,12,6,0.6,0.725,True,6
U56,13,0,,,True,0
U56,14,0,,,True,0
U56,15,1,0.675,0.675,True,1
U56,16,0,,,True,0
U56,17,0,,,True,0
U56,18,4,0.625,0.7,True,4
U56,19,0,,,True,0
B136,0,0,,,True,0
B136,1,0,,,True,0
B136,2,0,,,True,0
B136,3,0,,,True,0
B136,4,0,,,True,0
B136,5,0,,,True,0
B136,6,1,0.55,0.55,True,1
B136,7,0,,,True,0
B136,8,1,0.625,0.625,True,1
B136,9,0,,,True,0
B136,10,0,,,True,0
B136,11,4,0.625,0.7,True,4
B136,12,0,,,True,0
B136,13,0,,,True,0
B136,14,0,,,True,0
B136,15,0,,,True,0
B136,16,0,,,True,0
B136,17,0,,,True,0
B136,18,1,0.6,0.6,True,1
B136,19,0,,,True,0
SMALL,0,0,,,True,0
SMALL,1,0,,,True,0
SMALL,2,0,,,True,0
SMALL,3,0,,,True,0
SMALL,4,0,,,True,0
SMALL,5,0,,,True,0
SMALL,6,0,,,True,0
SMALL,7,0,,,True,0
SMALL,8,0,,,True,0
SMALL,9,0,,,True,0
SMALL,10,0,,,True,0
SMALL,11,0,,,True,0
SMALL,12,0,,,True,0
SMALL,13,0,,,True,0
SMALL,14,0,,,True,0
SMALL,15,0,,,True,0
SMALL,16,0,,,True,0
SMALL,17,0,,,True,0
SMALL,18,0,,,True,0
SMALL,19,0,,,True,0
