panel,family,level,mean_rate,p05,p95,sd,min
U56,ABS,0.4,0.8703260715797712,0.6545454545454545,0.9814814814814815,0.1328220667892818,0.09259259259259259
U56,ABS,0.6,0.9588118766765243,0.8727272727272727,1.0,0.07358033241655988,0.14814814814814814
U56,ABS,0.8,0.9851747792655514,0.9454545454545454,1.0,0.05110487602612194,0.24074074074074073
U56,ABS,1.0,0.9939649397388944,0.9803921568627451,1.0,0.02737256207225942,0.5555555555555556
U56,ABS,inf,1.0,1.0,1.0,0.0,1.0
B136,ABS,0.4,0.8758736160804313,0.5982260827012479,0.9844961240310077,0.14748639896221985,0.03759398496240601
B136,ABS,0.6,0.9638006592499598,0.8872180451127819,1.0,0.08515743030136592,0.06015037593984962
B136,ABS,0.8,0.9866355852406468,0.9626865671641791,1.0,0.05966284595103646,0.10526315789473684
B136,ABS,1.0,0.9938482230710066,0.984603458556947,1.0,0.036197914914107614,0.39097744360902253
B136,ABS,inf,1.0,1.0,1.0,0.0,1.0
SMALL439,ABS,0.4,0.5162213343978644,0.21039759295078445,0.7453264940563427,0.17153410886416098,0.016304347826086956
SMALL439,ABS,0.6,0.7812346777280638,0.5291738692601389,0.9126680886580729,0.13686253987911315,0.01634877384196185
SMALL439,ABS,0.8,0.897982451269615,0.76828919178487,0.9622867666063583,0.09439686673074262,0.027247956403269755
SMALL439,ABS,1.0,0.9469907213272657,0.8840438994706431,0.9816176470588235,0.06913986245066198,0.08719346049046321
SMALL439,ABS,inf,1.0,1.0,1.0,0.0,1.0
