selector,knob,n,n_fired,mean_OOS_Sharpe,d_vs_do_nothing,t,n4a,n4b_both
SEL_RESOLVED@NEVER,BASELINE,72,0,0.792247540197167,0.0,,0,24
SEL_RESOLVED@ALWAYS,BASELINE,72,59,0.8016998115247316,0.00945227132756461,0.7234685744014117,0,6
SEL_RESOLVED@K_SEED:0,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:1,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:2,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:3,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:4,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:5,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:6,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_SEED:7,K_SEED,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_B:250,K_B,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_B:500,K_B,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_B:2000,K_B,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_B:1000,K_B,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_DRAWKIND:CIRCULAR,K_DRAWKIND,72,14,0.7908733301976403,-0.001374209999526684,-1.2651991410661052,0,19
SEL_RESOLVED@K_DRAWKIND:STATIONARY,K_DRAWKIND,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_DRAWKIND:IID,K_DRAWKIND,72,10,0.7921284864333397,-0.00011905376382726469,-0.5025207526137002,0,20
SEL_RESOLVED@K_DRAWKIND:MOVING,K_DRAWKIND,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_RECENTRE:R_NONE,K_RECENTRE,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_RECENTRE:R_DRAW,K_RECENTRE,72,0,0.792247540197167,0.0,,0,24
SEL_RESOLVED@K_RECENTRE:R_POOLED,K_RECENTRE,72,13,0.7908280073816341,-0.0014195328155328776,-1.3090735958252755,0,19
SEL_RESOLVED@K_RECENTRE:R_OBS,K_RECENTRE,72,13,0.7926386487407212,0.0003911085435541557,0.3779965180438921,0,19
