panel,T_trade,cost,family,chooser,pick_cell,pick_t,CAGR,Sharpe,MaxDD,H1,H2,oos_CAGR,oos_Sharpe,oos_MaxDD,keep4b_full,keep4b_oos,keep4b,keep4a,keep4a_oos,bind,resolved_full,resolved_oos,worst_leg,worst_t
B136,M,0,CAL,C_ISSHARPE,R=M,0.2,0.17493015619275898,1.1698387488852628,-0.29657590879004514,1.3713552881868452,0.9939598404698716,0.1638526848332753,1.0891891323404919,-0.29657590879004503,False,False,False,False,False,L4_DD,,,,
B136,M,0,CAL,C_ISCALMAR,R=M,0.08,0.11346070765929128,1.2097490318816035,-0.1612274255383982,1.3907072764457422,1.0412509006857202,0.11386864015680742,1.2047519437347791,-0.16122742553839842,True,True,True,False,False,none,,,,
B136,M,0,CAL,C_ISDD,R=W,0.08,0.10611620799024912,1.208503754254332,-0.10814585012423228,1.3032348065745312,1.117308341042261,0.11361364594863232,1.2886804425414544,-0.10814585012423228,True,True,True,True,True,none,,,,
B136,M,0,CAL,C_ISLEGS,R=M,0.1,0.13389588254522433,1.219839401941362,-0.1983646543081269,1.371019983683392,1.075468399989351,0.13250888734004218,1.216698932796685,-0.19836465430812722,True,True,True,False,False,none,,,,
B136,M,0,DRIFT,C_ISSHARPE,h=0.16,0.2,0.17424196627057076,1.2269535997923526,-0.19369783083623027,1.3573623406605877,1.1016394360509565,0.16751455459196785,1.2035409541922621,-0.19369783083622982,True,True,True,False,False,none,,,,
B136,M,0,DRIFT,C_ISCALMAR,h=0.25,0.16,0.1449933373786949,1.2229945002447886,-0.1781363448004295,1.357821758953621,1.09759455881226,0.141498129178673,1.2012576320727517,-0.17813634480042928,True,True,True,False,False,none,,,,
B136,M,0,DRIFT,C_ISDD,h=0.12,0.08,0.1067901239672917,1.2190459384608583,-0.10610498413758851,1.3045037587068955,1.1376747062406762,0.11573258738906156,1.309366936396339,-0.10610498413758795,True,True,True,True,True,none,,,,
B136,M,0,DRIFT,C_ISLEGS,h=0.25,0.16,0.1449933373786949,1.2229945002447886,-0.1781363448004295,1.357821758953621,1.09759455881226,0.141498129178673,1.2012576320727517,-0.17813634480042928,True,True,True,False,False,none,,,,
B136,M,10,CAL,C_ISSHARPE,R=M,0.2,0.17383358282237338,1.1634631590850217,-0.29666940985265666,1.3655140359937123,0.9870813258844497,0.1626749659754536,1.082416560136597,-0.296669409852657,False,False,False,False,False,L4_DD,False,False,L4_DD,-2.8467438009207107
B136,M,10,CAL,C_ISCALMAR,R=M,0.2,0.17383358282237338,1.1634631590850217,-0.29666940985265666,1.3655140359937123,0.9870813258844497,0.1626749659754536,1.082416560136597,-0.296669409852657,False,False,False,False,False,L4_DD,False,False,L4_DD,-2.8467438009207107
B136,M,10,CAL,C_ISDD,R=W,0.08,0.10204218744377846,1.1655539104713493,-0.1085663080403294,1.2611042017918,1.0735419302322362,0.10959403102865406,1.2466267519380154,-0.10856630804032974,False,True,False,True,True,L5_CAGR,False,False,L5_CAGR,-0.22927094602344036
B136,M,10,CAL,C_ISLEGS,R=M,0.1,0.13163392871544466,1.2014348740561716,-0.19873936611768594,1.3515920012435318,1.0580567604119009,0.13048107802973363,1.2000101248389705,-0.19873936611768628,True,True,True,False,False,none,False,False,L4_DD,0.12030968970754329
B136,M,10,DRIFT,C_ISSHARPE,h=0.16,0.2,0.17309951741972074,1.2199331540090639,-0.19418344344511906,1.3513659874942436,1.093646857482167,0.1662735193676108,1.1956977950075844,-0.1941834434451194,True,True,True,False,False,none,False,False,L4_DD,0.24135026560372422
B136,M,10,DRIFT,C_ISCALMAR,h=0.25,0.16,0.14415543444885648,1.2166235642748662,-0.17846515355728132,1.3521114750414314,1.0906179264060991,0.14060341111388763,1.1943633177244155,-0.1784651535572811,True,True,True,False,False,none,False,False,L4_DD,0.8386527555938322
B136,M,10,DRIFT,C_ISDD,h=0.12,0.08,0.10336874194696755,1.1831113753434572,-0.10753127304417742,1.2693802953543574,1.100973367584568,0.11237898267929891,1.2744115977502823,-0.10753127304417776,False,True,False,True,True,L5_CAGR,False,False,L5_CAGR,-0.14941704078489113
B136,M,10,DRIFT,C_ISLEGS,h=0.25,0.16,0.14415543444885648,1.2166235642748662,-0.17846515355728132,1.3521114750414314,1.0906179264060991,0.14060341111388763,1.1943633177244155,-0.1784651535572811,True,True,True,False,False,none,False,False,L4_DD,0.8386527555938322
B136,M,25,CAL,C_ISSHARPE,R=M,0.2,0.17219025399511234,1.1538831880643978,-0.2968096614465745,1.3567368570372116,0.9767469966165652,0.16091016968388394,1.0722396107865717,-0.29680966144657506,False,False,False,False,False,L4_DD,,,,
B136,M,25,CAL,C_ISCALMAR,R=M,0.2,0.17219025399511234,1.1538831880643978,-0.2968096614465745,1.3567368570372116,0.9767469966165652,0.16091016968388394,1.0722396107865717,-0.29680966144657506,False,False,False,False,False,L4_DD,,,,
B136,M,25,CAL,C_ISDD,R=W,0.08,0.09595816950987746,1.1010434174604526,-0.10919674661922552,1.197823224599387,1.0078053186186662,0.1035907471170241,1.1834381219801646,-0.10919674661922563,False,False,False,True,True,L5_CAGR,,,,
B136,M,25,CAL,C_ISLEGS,R=M,0.1,0.12824827786423398,1.1737175206279507,-0.1993014338320247,1.32231153198748,1.031852446924018,0.12744513840905491,1.1748816085435194,-0.19930143383202448,True,True,True,False,False,none,,,,
B136,M,25,DRIFT,C_ISSHARPE,h=0.16,0.2,0.17138764185146393,1.209387728942498,-0.19491147713662638,1.3423588442722563,1.0816425213793797,0.16441409327834267,1.183916034353961,-0.1949114771366265,True,True,True,False,False,none,,,,
B136,M,25,DRIFT,C_ISCALMAR,h=0.25,0.16,0.14289949616588382,1.2070510008931772,-0.17895831990834732,1.3435301815918423,1.0801375671508922,0.13926238243348799,1.184004714618093,-0.1789583199083471,True,True,True,False,False,none,,,,
B136,M,25,DRIFT,C_ISDD,h=0.12,0.08,0.09825545677729508,1.1290839681554794,-0.10966678518900519,1.216549711833916,1.0458150228333143,0.1073664458928354,1.2218557156685812,-0.10966678518900508,False,True,False,True,True,L5_CAGR,,,,
B136,M,25,DRIFT,C_ISLEGS,h=0.25,0.16,0.14289949616588382,1.2070510008931772,-0.17895831990834732,1.3435301815918423,1.0801375671508922,0.13926238243348799,1.184004714618093,-0.1789583199083471,True,True,True,False,False,none,,,,
B136,M,50,CAL,C_ISSHARPE,R=M,0.2,0.16945545151060393,1.1378736248782968,-0.2970434141031041,1.342068383721532,0.9594805492863127,0.15797358902107184,1.0552313326302978,-0.2970434141031043,False,False,False,False,False,L4_DD,,,,
B136,M,50,CAL,C_ISCALMAR,R=M,0.2,0.16945545151060393,1.1378736248782968,-0.2970434141031041,1.342068383721532,0.9594805492863127,0.15797358902107184,1.0552313326302978,-0.2970434141031043,False,False,False,False,False,L4_DD,,,,
B136,M,50,CAL,C_ISDD,R=M,0.08,0.10077831766454581,1.0855627933758945,-0.16276192818418522,1.2616892529096753,0.9216474999701386,0.10190653784727344,1.0883563191399583,-0.16276192818418556,False,False,False,False,False,L5_CAGR,,,,
B136,M,50,CAL,C_ISLEGS,R=M,0.1,0.12262489211576977,1.1272485593670658,-0.20023821335592196,1.273165907201544,0.9879657412123605,0.12240060430559896,1.1327640418877185,-0.20023821335592173,True,True,True,False,False,none,,,,
B136,M,50,DRIFT,C_ISSHARPE,h=0.16,0.2,0.1685393039293508,1.1917738295222524,-0.1961238397965912,1.3273139848038507,1.0615957428385068,0.1613207135842707,1.1642360222248678,-0.19612383979659087,True,True,True,False,False,none,,,,
B136,M,50,DRIFT,C_ISCALMAR,h=0.25,0.16,0.14080870662296952,1.1910549215848802,-0.18007956256659352,1.3291866280275666,1.0626308590832994,0.13703012792834968,1.16669630779626,-0.18007956256659363,True,True,True,False,False,none,,,,
B136,M,50,DRIFT,C_ISDD,h=0.12,0.08,0.08978318454929846,1.0387599328130654,-0.11321553886567226,1.1281652073633717,0.9536594441555786,0.09905965901235114,1.13398886888827,-0.11321553886567226,False,False,False,True,True,L5_CAGR,,,,
B136,M,50,DRIFT,C_ISLEGS,h=0.25,0.16,0.14080870662296952,1.1910549215848802,-0.18007956256659352,1.3291866280275666,1.0626308590832994,0.13703012792834968,1.16669630779626,-0.18007956256659363,True,True,True,False,False,none,,,,
B136,W,0,CAL,C_ISSHARPE,R=M,0.2,0.1764801970781631,1.171672525030178,-0.29998274260089686,1.380269651478302,0.9914213172666188,0.16488572330149331,1.0855722496858413,-0.2999827426008971,False,False,False,False,False,L4_DD,,,,
B136,W,0,CAL,C_ISCALMAR,R=M,0.08,0.11452841541182246,1.2112800085018258,-0.16422410811401322,1.3986978254536693,1.0382376912272164,0.11461260975920928,1.200110673521021,-0.1642241081140131,True,True,True,False,False,none,,,,
B136,W,0,CAL,C_ISDD,R=W,0.08,0.10639888318442803,1.2094136314197563,-0.10814790099946014,1.3081280517056588,1.1146180808437465,0.11364698131329787,1.285884760467592,-0.10814790099946048,True,True,True,True,True,none,,,,
B136,W,0,CAL,C_ISLEGS,R=M,0.1,0.1350785020233769,1.2207540324384816,-0.2022288701656043,1.3777878828921963,1.0721008134954262,0.1333955643690159,1.2118377995815246,-0.2022288701656042,True,True,True,False,False,none,,,,
B136,W,0,DRIFT,C_ISSHARPE,h=0.25,0.16,0.14647994145267007,1.225015915213598,-0.17896582379755577,1.3620748517018997,1.0969999011212264,0.14224972219774923,1.199835513858137,-0.17896582379755555,True,True,True,False,False,none,,,,
B136,W,0,DRIFT,C_ISCALMAR,h=0.16,0.2,0.17172425265584956,1.21847937454921,-0.19482647064082026,1.3528048682579739,1.0930742721846398,0.16691304403332552,1.1949420651039584,-0.19482647064082015,True,True,True,False,False,none,,,,
B136,W,0,DRIFT,C_ISDD,h=0.12,0.08,0.10859493771423079,1.2327090816086157,-0.09958363348965615,1.318910687972803,1.1512695160669233,0.11766528397530696,1.3208693528573006,-0.09958363348965482,True,True,True,True,True,none,,,,
B136,W,0,DRIFT,C_ISLEGS,h=0.25,0.16,0.14647994145267007,1.225015915213598,-0.17896582379755577,1.3620748517018997,1.0969999011212264,0.14224972219774923,1.199835513858137,-0.17896582379755555,True,True,True,False,False,none,,,,
B136,W,10,CAL,C_ISSHARPE,R=M,0.2,0.17464700170738623,1.1610577379830251,-0.30019189671555147,1.370371946103551,0.9801308114943531,0.16292924581527823,1.074385116753631,-0.30019189671555113,False,False,False,False,False,L4_DD,False,False,L4_DD,-2.9007516315616653
B136,W,10,CAL,C_ISCALMAR,R=M,0.2,0.17464700170738623,1.1610577379830251,-0.30019189671555147,1.370371946103551,0.9801308114943531,0.16292924581527823,1.074385116753631,-0.30019189671555113,False,False,False,False,False,L4_DD,False,False,L4_DD,-2.9007516315616653
