panel,gross,cstar_FULL,cstar_IS,cstar_OOS
U56,0.55,51.0,,91.0
U56,0.6,90.0,39.0,100.0
U56,0.65,100.0,73.0,100.0
U56,0.7,100.0,26.0,100.0
U56,0.75,100.0,,100.0
U56,0.8,,,
U56,0.85,,,
B136,0.55,58.0,62.0,54.0
B136,0.6,92.0,99.0,87.0
B136,0.65,100.0,53.0,100.0
B136,0.7,78.0,,78.0
B136,0.75,,,
B136,0.8,,,
B136,0.85,,,
SMALL,0.55,,,
SMALL,0.6,,,
SMALL,0.65,,,
SMALL,0.7,,,
SMALL,0.75,,,
SMALL,0.8,,,
SMALL,0.85,,,
