selector,gross,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_4b,OOS_fail,OOS_4a,OOSleg_H1,OOSleg_H2,OOSleg_OOS,OOSleg_DD,OOSleg_CAGR
IS-SHARPE,1.0,0.1270131493350053,1.2300281000632693,-0.19065590158113144,True,PASS,False,True,True,True,True,True
IS-BAND-MIDPOINT,,,,,,,,,,,,
PRE-DECLARED g=1.00,1.0,0.1270131493350053,1.2300281000632693,-0.19065590158113144,True,PASS,False,True,True,True,True,True
SPY,,0.15271636385461385,0.8739575612872552,-0.33717267708462373,,,,,,,,
RULES v2 live,,0.09464348447629667,1.2771844071673888,-0.1205494795164489,,,,,,,,
