conv,window,etf_share,Sharpe,id_err,mu,sbar,D,Gbar,G_sd,k_eff,cv,rhobar,D_pred,D_resid,beta,alpha,mu_beta,mu_spy,vol_ann,CAGR,MaxDD,panels
GATED,FULL,0.0,1.1467053418264812,2.220446049250313e-16,0.0007434956743607134,0.01848712503452355,0.30996667509172854,0.744548476825526,0.05394511130981449,76.15347476875615,0.26153497748560844,0.3570117324840407,0.366032581725313,-0.05606590663358446,0.8231775195088249,0.00022898205589778203,0.0005145136184629313,0.0006250336121544381,0.16339063149428593,0.18993794064430936,-0.28483841344071714,6
GATED,FULL,0.125,1.1210527667353163,0.0,0.0006693595692844126,0.017407215186138386,0.2964891384004859,0.7475243155972899,0.028596021125423466,84.91664458316234,0.30634446524662884,0.3533923955308604,0.3617216194119046,-0.06523248101141871,0.7471876227313689,0.00020234219049153758,0.000467017378792875,0.0006250336121544381,0.15046447095518165,0.17031283411030462,-0.23933061272347045,6
GATED,FULL,0.25,1.1276724831412412,0.0,0.0006393114214991735,0.01693938533209527,0.2822696641054213,0.7497881467464408,0.009728352201736824,93.45972464111975,0.3660780318144052,0.35635373075991417,0.36416354745069784,-0.08189388334527653,0.6862721885550909,0.00021036823656545337,0.00042894318493372013,0.0006250336121544381,0.1428663735493607,0.16278962129733077,-0.23599553195422796,6
GATED,FULL,0.375,1.0726759877557523,0.0,0.0005880878711315048,0.01630489170396911,0.28491284592437527,0.7492234490131852,0.01257625369007958,83.93187611423565,0.37923973734505106,0.3637797156197683,0.37245011936901873,-0.08753727344464346,0.6643880558673412,0.00017282300470047586,0.0004152648664310289,0.0006250336121544381,0.13815741679386212,0.14864082562511727,-0.2554921830260869,6
GATED,FULL,0.5,1.0224955806566025,0.0,0.0005364221648660683,0.015433487948513456,0.29118092161854947,0.7488128660971839,0.013153140842947945,76.6027299794565,0.4023043729121919,0.374722802083283,0.3842065054389499,-0.09302558382040044,0.6235756653452207,0.00014666641430373796,0.00038975575056233037,0.0006250336121544381,0.13220437144524722,0.13470350209946536,-0.2353893737550352,6
GATED,FULL,0.625,0.9735422695893239,0.0,0.0004918475774218655,0.014825232957440386,0.2926502746255973,0.7498743543688235,0.006275963729926344,66.67650434011986,0.41753324382179696,0.37887064903933176,0.38981023455708724,-0.09715995993148996,0.5704462420064125,0.0001352995022406728,0.00035654807518119275,0.0006250336121544381,0.12731402978793613,0.12275556204281157,-0.22373038253519184,6
GATED,FULL,0.75,0.9509513354522425,0.0,0.00045583549029626873,0.013784345850868603,0.304738905884253,0.7499909897797987,0.004460088710031821,53.2663770654293,0.44461257484598066,0.39820814734144944,0.41173927732323434,-0.10700037143898133,0.5288761845740368,0.00012527009826950112,0.0003305653920267676,0.0006250336121544381,0.12079539643322643,0.1135192915334109,-0.2055813325842889,6
GATED,FULL,0.875,0.8331755206755085,0.0,0.00039117543452456873,0.013091398947397498,0.3241145812265626,0.7501120780696745,0.001919675488777357,41.950954731405226,0.4470827423641953,0.407644149716234,0.42458673675705005,-0.10047215553048744,0.4889730967495722,8.555081361684208e-05,0.00030562462090772666,0.0006250336121544381,0.11831385710932711,0.0958535545038599,-0.24036245773940756,6
GATED,FULL,1.0,0.7285302911315213,0.0,0.00032742526189019497,0.012098498100306738,0.3477496960949841,0.7500911400300903,0.00185177668833784,33.96816172387628,0.46770804790337694,0.425959225915659,0.4465553555711277,-0.09880565947614361,0.43772752662277953,5.3830844785731106e-05,0.00027359441710446387,0.0006250336121544381,0.11325701484309789,0.0790288835988664,-0.2643060686282318,1
GATED,IS,0.0,1.1620009256315826,0.0,0.0007757131717875188,0.017869797674256373,0.35168241569508735,0.7447714813449725,0.04191256935440394,73.54647443027005,0.3332483433013639,0.3730943039255758,0.3825648648730723,-0.03088244917798494,0.8937442304090881,0.00022891351336979282,0.000546799658417726,0.0006118077631308933,0.16822681891084176,0.19871189560083313,-0.19335259104267677,6
