support,size,draw,statistic,window,n,pearson,spearman,t,r_MA-DIST,r_MOM12_1,r_LOWVOL
U56,55,-1,DROP,FULL_IS,27,-0.032974671868354566,0.07020757020757021,-0.16496306829698462,-0.055098996057142795,0.36749897375462354,-0.7907235241907745
U56,55,-1,DROP,TRAIL3Y,27,0.11692186552301395,0.2612942612942613,0.5886467873283694,0.26241061995393566,0.406268102246282,-0.5621307599679101
U56,55,-1,DROP,TRAIL1Y,27,0.05097195296198272,0.08669108669108669,0.25519149202860325,0.31396976283092765,0.55823612542744,-0.6394921094626117
U56,55,-1,SPREAD,FULL_IS,25,0.016402019377880214,0.12692307692307694,0.0786719046935996,0.148961487580935,0.2747861105291128,-0.699320396929146
U56,55,-1,SPREAD,TRAIL3Y,25,0.003849690754109827,0.023846153846153843,0.018462605083073597,-0.007187847709900208,0.5572148261060409,-0.5402192536274728
U56,55,-1,SPREAD,TRAIL1Y,23,-0.28466019743934273,-0.26383399209486164,-1.3607741921951282,-0.3319693236261286,-0.03272210513435336,-0.6497115790648775
B136,135,-1,DROP,FULL_IS,27,0.0025977785412853805,0.12026862026862026,0.012988936534116976,0.09612936480630205,0.456270158485849,-0.7470725072851502
B136,135,-1,DROP,TRAIL3Y,27,0.08590048650551943,0.0641025641025641,0.43109588276641025,0.14635197459188296,0.6576430629375808,-0.3175054259668848
B136,135,-1,DROP,TRAIL1Y,27,0.18925356675692903,0.34798534798534797,0.9636832773855774,-0.0035518046121195287,0.6606070804199945,-0.5919008306344588
B136,135,-1,SPREAD,FULL_IS,27,-0.05159708931698448,0.15934065934065933,-0.2583295459181426,0.017187145708306015,0.4305860870340636,-0.6498558208965045
B136,135,-1,SPREAD,TRAIL3Y,27,0.13053877016605842,0.13675213675213677,0.658327019936214,0.06800004663473888,0.47327760619379117,-0.11289908772891734
B136,135,-1,SPREAD,TRAIL1Y,26,0.3366951119966937,0.44820512820512814,1.7517400266500467,0.5730341475414669,0.4985784826954252,-0.2999866590588526
SMALL439,439,-1,DROP,FULL_IS,27,0.4815486649234198,0.6172161172161172,2.7472502915549493,0.6630903389360636,0.3048307330936818,-0.07867807124032043
SMALL439,439,-1,DROP,TRAIL3Y,27,0.6505004441800525,0.753968253968254,4.282392452389753,0.630711585258245,-0.18507080289038322,0.25761966484875737
SMALL439,439,-1,DROP,TRAIL1Y,27,0.5563992703031516,0.652014652014652,3.348111564076565,0.05301404219923476,0.37335615324745686,0.4231949666045596
