claim_set,n_figures,null_200,share_null_200,nullword_200,share_nullword_200,null_400,share_null_400,nullword_400,share_nullword_400,null_0,share_null_0,nullword_0,share_nullword_0
CS_MAXDD,4698,99,0.0210727969348659,135,0.028735632183908046,138,0.02937420178799489,199,0.042358450404427414,177,0.037675606641123884,223,0.04746700723712218
CS_SPREAD,3102,83,0.02675693101225016,166,0.05351386202450032,115,0.03707285622179239,214,0.06898774983881367,154,0.04964539007092199,235,0.07575757575757576
CS_ARGMAX,1538,46,0.02990897269180754,40,0.02600780234070221,65,0.04226267880364109,69,0.044863459037711315,90,0.05851755526657997,99,0.06436931079323797
CS_ALL,9338,228,0.024416363246947955,341,0.03651745555793532,318,0.0340544013707432,482,0.05161704861854787,421,0.045084600556864425,557,0.05964874705504391
