panel,band,c,G,window,CAGR,Sharpe,MaxDD,H1,H2,spy_CAGR,spy_Sharpe,spy_MaxDD,leg_H1,leg_H2,leg_DD,leg_CAGR,pass4b,pass4a,turnover_yr,mean_gross
U56,NOGATE,-1.0,0.05,FULL,0.008683014939163902,1.1164166006906346,-0.01627050630779059,1.1874357296462617,1.0598432601444712,0.1512259848581483,0.8844382267420076,-0.3371728920067375,True,True,True,False,False,False,0.0654384668820493,0.050063626529626606
U56,NOGATE,-1.0,0.05,H1,0.008569561292864236,1.1874357296462617,-0.008781704947968705,1.0969250481305968,1.4142793337406838,0.1545728909176336,0.9572618826484997,-0.22061944945147527,True,True,True,False,False,False,0.0654384668820493,0.050063626529626606
U56,NOGATE,-1.0,0.05,H2,0.008796481347825846,1.0598432601444712,-0.016270506307791033,0.9973163048772963,1.1374473842554145,0.14788878089738655,0.8250941876902465,-0.33717289200673795,True,True,True,False,False,False,0.0654384668820493,0.050063626529626606
U56,NOGATE,-1.0,0.05,IS,0.008300253525336476,1.1046268970317827,-0.008781704947968705,1.032138014428989,1.2856904647913316,0.14958794806217557,0.8988610973875973,-0.22061944945147527,True,True,True,False,False,False,0.0654384668820493,0.050063626529626606
U56,NOGATE,-1.0,0.05,OOS,0.008997831753991825,1.1264490043240591,-0.01627050630779081,1.2888231510100918,0.9569279703380565,0.1525745335844091,0.8738401470547136,-0.33717289200673783,True,True,True,False,False,False,0.0654384668820493,0.050063626529626606
U56,NOGATE,-1.0,0.1,FULL,0.017386248713259222,1.116663923768487,-0.03235653334221322,1.1878647507635738,1.059961652898166,0.1512259848581483,0.8844382267420076,-0.3371728920067375,True,True,True,False,False,False,0.12872321084064278,0.10011975438974008
U56,NOGATE,-1.0,0.1,H1,0.01716628466468917,1.1878647507635738,-0.017504470328037924,1.0974382156271032,1.4145724273379958,0.1545728909176336,0.9572618826484997,-0.22061944945147527,True,True,True,False,False,False,0.12872321084064278,0.10011975438974008
U56,NOGATE,-1.0,0.1,H2,0.017606260329452228,1.059961652898166,-0.03235653334221311,0.9971895653415188,1.1379113756813437,0.14788878089738655,0.8250941876902465,-0.33717289200673795,True,True,True,False,False,False,0.12872321084064278,0.10011975438974008
U56,NOGATE,-1.0,0.1,IS,0.016619207348129272,1.105072098161003,-0.017504470328037924,1.0326626170219277,1.2860084303849542,0.14958794806217557,0.8988610973875973,-0.22061944945147527,True,True,True,False,False,False,0.12872321084064278,0.10011975438974008
U56,NOGATE,-1.0,0.1,OOS,0.01801734672045452,1.1265475312347504,-0.03235653334221311,1.2884455866431228,0.9574617728259275,0.1525745335844091,0.8738401470547136,-0.33717289200673783,True,True,True,False,False,False,0.12872321084064278,0.10011975438974008
U56,NOGATE,-1.0,0.15,FULL,0.026108773494055937,1.1169021905864156,-0.0482593447234968,1.1882874539791315,1.060069332062582,0.1512259848581483,0.8844382267420076,-0.3371728920067375,True,True,True,False,False,False,0.19001133997259906,0.1501685168059095
U56,NOGATE,-1.0,0.15,H1,0.025789519974856567,1.1882874539791315,-0.026168634853910855,1.0979457377470152,1.4148585148942978,0.1545728909176336,0.9572618826484997,-0.22061944945147527,True,True,True,False,False,False,0.19001133997259906,0.1501685168059095
U56,NOGATE,-1.0,0.15,H2,0.02642812637360925,1.060069332062582,-0.048259344723496245,0.9970527604729504,1.138365584146443,0.14788878089738655,0.8250941876902465,-0.33717289200673795,True,True,True,False,False,False,0.19001133997259906,0.1501685168059095
U56,NOGATE,-1.0,0.15,IS,0.024956091233555355,1.105511183019093,-0.026168634853910855,1.0331818148068816,1.2863195166715502,0.14958794806217557,0.8988610973875973,-0.22061944945147527,True,True,True,False,False,False,0.19001133997259906,0.1501685168059095
U56,NOGATE,-1.0,0.15,OOS,0.027057484504064977,1.126634905994543,-0.048259344723496245,1.2880543287175064,0.9579863089048852,0.1525745335844091,0.8738401470547136,-0.33717289200673783,True,True,True,False,False,False,0.19001133997259906,0.1501685168059095
U56,NOGATE,-1.0,0.2,FULL,0.03484964322252848,1.117131349122614,-0.06398020629127732,1.1887039328202558,1.0601661464359893,0.1512259848581483,0.8844382267420076,-0.3371728920067375,True,True,True,False,False,False,0.24946056762923982,0.20021004701442377
U56,NOGATE,-1.0,0.2,H1,0.034438606468776944,1.1887039328202558,-0.0347744910916058,1.098447321336693,1.4151383476797204,0.1545728909176336,0.9572618826484997,-0.22061944945147527,True,True,True,False,False,False,0.24946056762923982,0.20021004701442377
U56,NOGATE,-1.0,0.2,H2,0.035260843302756806,1.0601661464359893,-0.06398020629127754,0.9969064146499907,1.1388091397642972,0.14788878089738655,0.8250941876902465,-0.33717289200673795,True,True,True,False,False,False,0.24946056762923982,0.20021004701442377
U56,NOGATE,-1.0,0.2,IS,0.033310125116919664,1.1059442676777944,-0.0347744910916058,1.033695174354641,1.286624726444483,0.14958794806217557,0.8988610973875973,-0.22061944945147527,True,True,True,False,False,False,0.24946056762923982,0.20021004701442377
U56,NOGATE,-1.0,0.2,OOS,0.036117159284764,1.1267109551082861,-0.06398020629127743,1.2876499437344247,0.9585006054076006,0.1525745335844091,0.8738401470547136,-0.33717289200673783,True,True,True,False,False,False,0.24946056762923982,0.20021004701442377
U56,NOGATE,-1.0,0.25,FULL,0.0436078936655655,1.1173513875038557,-0.0795203622488202,1.1891134685517843,1.0602527164745652,0.1512259848581483,0.8844382267420076,-0.3371728920067375,True,True,True,False,False,False,0.30722907029240454,0.25024447828027996
U56,NOGATE,-1.0,0.25,H1,0.0431128426316425,1.1891134685517843,-0.043322343030044674,1.098941884487511,1.4154116943247437,0.1545728909176336,0.9572618826484997,-0.22061944945147527,True,True,True,False,False,False,0.30722907029240454,0.25024447828027996
U56,NOGATE,-1.0,0.25,H2,0.044103179645810675,1.0602527164745652,-0.07952036224881998,0.9967508394721463,1.1392430554041906,0.14788878089738655,0.8250941876902465,-0.33717289200673795,True,True,True,False,False,False,0.30722907029240454,0.25024447828027996
U56,NOGATE,-1.0,0.25,IS,0.041680486378157466,1.1063706198110774,-0.043322343030044674,1.0342017684051483,1.2869235399218666,0.14958794806217557,0.8988610973875973,-0.22061944945147527,True,True,True,False,False,False,0.30722907029240454,0.25024447828027996
U56,NOGATE,-1.0,0.25,OOS,0.04519528690641694,1.1267762312718426,-0.07952036224882009,1.2872325669953302,0.9590056587168752,0.1525745335844091,0.8738401470547136,-0.33717289200673783,True,True,True,False,False,False,0.30722907029240454,0.25024447828027996
U56,NOGATE,-1.0,0.3,FULL,0.05238253537922222,1.1175621764934154,-0.09488105151972326,1.1895157562952656,1.0603290734012436,0.1512259848581483,0.8844382267420076,-0.3371728920067375,True,True,True,False,False,False,0.3634821332461621,0.3002719439153484
U56,NOGATE,-1.0,0.3,H1,0.05181151102522219,1.1895157562952656,-0.05181247758637231,1.099429598369161,1.4156774294790457,0.1545728909176336,0.9572618826484997,-0.22061944945147527,True,True,True,False,False,False,0.3634821332461621,0.3002719439153484
U56,NOGATE,-1.0,0.3,H2,0.05295386974010996,1.0603290734012436,-0.09488105151972381,0.996586313722151,1.1396670987700757,0.14788878089738655,0.8250941876902465,-0.33717289200673795,True,True,True,False,False,False,0.3634821332461621,0.3002719439153484
U56,NOGATE,-1.0,0.3,IS,0.05006634438742985,1.1067901020196715,-0.05181247758637231,1.0347015397825359,1.2872156698199295,0.14958794806217557,0.8988610973875973,-0.22061944945147527,True,True,True,False,False,False,0.3634821332461621,0.3002719439153484
U56,NOGATE,-1.0,0.3,OOS,0.054290743589017865,1.126830617281572,-0.09488105151972337,1.2868022228776779,0.9595012205411366,0.1525745335844091,0.8738401470547136,-0.33717289200673783,True,True,True,False,False,False,0.3634821332461621,0.3002719439153484
