offset,CAGR,Sharpe,MaxDD,pass4b,fail,pass4a,leg_H1,leg_H2,leg_OOS,leg_DD,leg_CAGR
0,0.11904445564152599,1.2080874305061498,-0.15485507475434035,True,PASS,False,True,True,True,True,True
1,0.11369407319526514,1.1238369379939999,-0.18665577748111395,True,PASS,False,True,True,True,True,True
2,0.11795713323541812,1.1876805217176638,-0.168588105332526,True,PASS,False,True,True,True,True,True
3,0.11869157294302402,1.1778772141241858,-0.18883218155463,True,PASS,False,True,True,True,True,True
4,0.1193128927940208,1.2051851251714167,-0.17358406486094702,True,PASS,False,True,True,True,True,True
5,0.11959548986894286,1.2063662627894358,-0.17808320991025384,True,PASS,False,True,True,True,True,True
6,0.11398443263743352,1.1581990897676682,-0.17003816388709625,True,PASS,False,True,True,True,True,True
7,0.12543160799215647,1.2418341395536288,-0.17072752597512209,True,PASS,False,True,True,True,True,True
8,0.12125753461444644,1.2186322368820146,-0.1647012396048836,True,PASS,False,True,True,True,True,True
9,0.1169020085062471,1.1733926796970424,-0.21147150727178887,False,DD,False,True,True,True,False,True
10,0.11874024438111763,1.176696765748336,-0.20503315417618806,False,DD,False,True,True,True,False,True
11,0.11598380418721876,1.1287983282480687,-0.2358103633201909,False,DD,False,True,True,True,False,True
12,0.11773924365470378,1.1350508675083222,-0.23152760736223033,False,DD,False,True,True,True,False,True
13,0.1142913462015569,1.102623287340888,-0.2375460652208916,False,DD,False,True,True,True,False,True
14,0.1103159345355893,1.0717269086121644,-0.23754136930991254,False,DD,False,True,True,True,False,True
15,0.11309042247054868,1.0995829818790281,-0.23854325980528124,False,DD,False,True,True,True,False,True
16,0.112191676139348,1.1078099414947404,-0.2144433968662125,False,DD,False,True,True,True,False,True
17,0.11686050865996811,1.1479103187881061,-0.19722105353319008,True,PASS,False,True,True,True,True,True
18,0.11672222180482295,1.1939682908644091,-0.16268487375782759,True,PASS,False,True,True,True,True,True
19,0.11529082118994105,1.173271468400619,-0.15493068632257223,True,PASS,False,True,True,True,True,True
20,0.11502034959284169,1.1325452961410523,-0.1869216332390432,True,PASS,False,True,True,True,True,True
