bar,panel,dir,m,cost,key,real,null_pass_share
p4a,u56,POS,0.2,10.0,VOL,0,0.0
p4a,u56,POS,0.2,10.0,MOM,0,0.0
p4a,u56,POS,0.2,10.0,R6,0,0.0
p4a,u56,POS,0.2,10.0,R3,0,0.0
p4a,u56,POS,0.2,10.0,PRICE,0,0.0
p4a,u56,POS,0.5,10.0,VOL,0,0.0
p4a,u56,POS,0.5,10.0,MOM,0,0.0
p4a,u56,POS,0.5,10.0,R6,0,0.0
p4a,u56,POS,0.5,10.0,R3,0,0.0
p4a,u56,POS,0.5,10.0,PRICE,0,0.0
p4a,u56,POS,1.0,10.0,VOL,0,0.0
p4a,u56,POS,1.0,10.0,MOM,0,0.0
p4a,u56,POS,1.0,10.0,R6,0,0.0
p4a,u56,POS,1.0,10.0,R3,0,0.0
p4a,u56,POS,1.0,10.0,PRICE,0,0.0
p4a,u56,NEG,0.2,10.0,VOL,0,0.0
p4a,u56,NEG,0.2,10.0,MOM,0,0.0
p4a,u56,NEG,0.2,10.0,R6,0,0.0
p4a,u56,NEG,0.2,10.0,R3,0,0.0
p4a,u56,NEG,0.2,10.0,PRICE,0,0.0
p4a,u56,NEG,0.5,10.0,VOL,0,0.0
p4a,u56,NEG,0.5,10.0,MOM,0,0.0
p4a,u56,NEG,0.5,10.0,R6,0,0.0
p4a,u56,NEG,0.5,10.0,R3,0,0.0
p4a,u56,NEG,0.5,10.0,PRICE,0,0.0
p4a,u56,NEG,1.0,10.0,VOL,0,0.0
p4a,u56,NEG,1.0,10.0,MOM,0,0.0
p4a,u56,NEG,1.0,10.0,R6,0,0.0
p4a,u56,NEG,1.0,10.0,R3,0,0.0
p4a,u56,NEG,1.0,10.0,PRICE,0,0.0
p4a,u56,POS,0.2,25.0,VOL,0,0.0
p4a,u56,POS,0.2,25.0,MOM,0,0.0
p4a,u56,POS,0.2,25.0,R6,0,0.0
p4a,u56,POS,0.2,25.0,R3,0,0.0
p4a,u56,POS,0.2,25.0,PRICE,0,0.0
p4a,u56,POS,0.5,25.0,VOL,0,0.0
p4a,u56,POS,0.5,25.0,MOM,0,0.0
p4a,u56,POS,0.5,25.0,R6,0,0.0
p4a,u56,POS,0.5,25.0,R3,0,0.0
p4a,u56,POS,0.5,25.0,PRICE,0,0.0
p4a,u56,POS,1.0,25.0,VOL,0,0.0
p4a,u56,POS,1.0,25.0,MOM,0,0.0
p4a,u56,POS,1.0,25.0,R6,0,0.0
p4a,u56,POS,1.0,25.0,R3,0,0.0
p4a,u56,POS,1.0,25.0,PRICE,0,0.0
p4a,u56,NEG,0.2,25.0,VOL,0,0.0
p4a,u56,NEG,0.2,25.0,MOM,0,0.0
p4a,u56,NEG,0.2,25.0,R6,0,0.0
p4a,u56,NEG,0.2,25.0,R3,0,0.0
p4a,u56,NEG,0.2,25.0,PRICE,0,0.0
p4a,u56,NEG,0.5,25.0,VOL,0,0.0
p4a,u56,NEG,0.5,25.0,MOM,0,0.0
p4a,u56,NEG,0.5,25.0,R6,0,0.0
p4a,u56,NEG,0.5,25.0,R3,0,0.0
p4a,u56,NEG,0.5,25.0,PRICE,0,0.0
p4a,u56,NEG,1.0,25.0,VOL,1,0.0
p4a,u56,NEG,1.0,25.0,MOM,1,0.0
p4a,u56,NEG,1.0,25.0,R6,1,0.0
p4a,u56,NEG,1.0,25.0,R3,0,0.0
p4a,u56,NEG,1.0,25.0,PRICE,0,0.0
p4a,broad,POS,0.2,10.0,VOL,0,0.8
p4a,broad,POS,0.2,10.0,MOM,1,0.8
p4a,broad,POS,0.2,10.0,R6,1,0.8
p4a,broad,POS,0.2,10.0,R3,1,0.8
p4a,broad,POS,0.2,10.0,PRICE,1,0.8
p4a,broad,POS,0.5,10.0,VOL,0,0.9
p4a,broad,POS,0.5,10.0,MOM,0,0.9
p4a,broad,POS,0.5,10.0,R6,1,0.9
p4a,broad,POS,0.5,10.0,R3,1,0.9
p4a,broad,POS,0.5,10.0,PRICE,1,0.9
p4a,broad,POS,1.0,10.0,VOL,0,0.9
p4a,broad,POS,1.0,10.0,MOM,0,0.9
p4a,broad,POS,1.0,10.0,R6,1,0.9
p4a,broad,POS,1.0,10.0,R3,1,0.9
p4a,broad,POS,1.0,10.0,PRICE,0,0.9
p4a,broad,NEG,0.2,10.0,VOL,1,0.95
p4a,broad,NEG,0.2,10.0,MOM,1,0.95
p4a,broad,NEG,0.2,10.0,R6,1,0.95
p4a,broad,NEG,0.2,10.0,R3,0,0.95
p4a,broad,NEG,0.2,10.0,PRICE,0,0.95
p4a,broad,NEG,0.5,10.0,VOL,1,0.9
p4a,broad,NEG,0.5,10.0,MOM,1,0.9
p4a,broad,NEG,0.5,10.0,R6,1,0.9
p4a,broad,NEG,0.5,10.0,R3,0,0.9
p4a,broad,NEG,0.5,10.0,PRICE,0,0.9
p4a,broad,NEG,1.0,10.0,VOL,0,0.85
p4a,broad,NEG,1.0,10.0,MOM,1,0.85
p4a,broad,NEG,1.0,10.0,R6,1,0.85
p4a,broad,NEG,1.0,10.0,R3,1,0.85
