book,lead,full,IS,POST,rank_FULL,rank_IS,rank_POST,disp
K1,CAGR,0.12778534248203832,0.10810124581844649,0.14426535084279468,6.0,6.0,6.0,0.0
K2,CAGR,0.1282413390173136,0.09983917846477852,0.15219188963648755,5.0,10.0,3.0,5.0
K3,CAGR,0.11783458915117473,0.09424974321521362,0.13764740038429513,8.0,11.0,7.0,3.0
K4,CAGR,0.11921216196097117,0.11048169206536596,0.12645666994169646,7.0,5.0,9.0,2.0
K5,CAGR,0.11544485987825248,0.10163037850119716,0.126956558390525,9.0,9.0,8.0,0.0
K6,CAGR,0.13974222525739366,0.12655293371117082,0.15072471200384263,4.0,3.0,4.0,1.0
K7,CAGR,0.06220101729156324,0.06021227049009692,0.06384233170332343,12.0,12.0,12.0,0.0
K8,CAGR,0.14159352927982938,0.11916655254945341,0.16040819756384783,3.0,4.0,1.0,1.0
R1,CAGR,0.11390601126292133,0.1060919805130831,0.12038538471401328,11.0,7.0,11.0,4.0
R2,CAGR,0.11508784364638625,0.10495158383104064,0.12350884936339579,10.0,8.0,10.0,2.0
R3,CAGR,0.15376905043373967,0.14621272078837788,0.16003206061231268,1.0,2.0,2.0,1.0
R4,CAGR,0.14985888137427117,0.15558082750088742,0.14516591165653114,2.0,1.0,5.0,1.0
K1,Sharpe,1.0632204595128434,0.9765495035428563,1.129600365408191,12.0,11.0,10.0,1.0
K2,Sharpe,1.1168305185683665,0.9577757995151831,1.23543913426136,10.0,12.0,6.0,2.0
K3,Sharpe,1.1582316284744965,0.990643960461853,1.2863820666290864,7.0,10.0,2.0,3.0
K4,Sharpe,1.2095309744401905,1.1358894526372816,1.2692590432079591,4.0,5.0,4.0,1.0
K5,Sharpe,1.2016651077116542,1.1047437219516025,1.2775395947599435,5.0,7.0,3.0,2.0
K6,Sharpe,1.223289109519813,1.1761982470648353,1.2607540303838713,2.0,3.0,5.0,1.0
K7,Sharpe,1.1687108743038912,1.1457472087976666,1.187119804006703,6.0,4.0,8.0,2.0
K8,Sharpe,1.2225788453420765,1.0248424351272498,1.393684369943309,3.0,9.0,1.0,6.0
R1,Sharpe,1.1460877446699917,1.122611682702222,1.1654257169217488,8.0,6.0,9.0,2.0
R2,Sharpe,1.087689994351135,1.066957695536418,1.1060790636851225,11.0,8.0,11.0,3.0
R3,Sharpe,1.2260363003671622,1.2448953945317596,1.2154381442323396,1.0,2.0,7.0,1.0
R4,Sharpe,1.1264311898720905,1.2538293895648782,1.0399755698403153,9.0,1.0,12.0,8.0
K1,MaxDD,-0.1830834144627017,-0.11846710934713856,-0.18308341446270193,7.0,10.0,7.0,3.0
K2,MaxDD,-0.17244981000039827,-0.11085656910319397,-0.1724498100003985,6.0,7.0,6.0,1.0
K3,MaxDD,-0.1237392928843456,-0.11906598004704683,-0.12373929288434582,2.0,11.0,2.0,9.0
K4,MaxDD,-0.15485495397691995,-0.1042215356541214,-0.15485495397691995,4.0,3.0,4.0,1.0
K5,MaxDD,-0.15910990262743974,-0.10451949838088237,-0.15910990262743996,5.0,4.0,5.0,1.0
K6,MaxDD,-0.19419373034827148,-0.11646311526627529,-0.1941937303482717,10.0,9.0,10.0,1.0
K7,MaxDD,-0.11133286588851088,-0.05536132815335093,-0.11133286588851188,1.0,1.0,1.0,0.0
K8,MaxDD,-0.1479115582684295,-0.1479115582684295,-0.12719753492220232,3.0,12.0,3.0,9.0
R1,MaxDD,-0.1905060857627321,-0.11217296392361387,-0.1905060857627323,9.0,8.0,9.0,1.0
R2,MaxDD,-0.18647361198328027,-0.10874609154291837,-0.1864736119832805,8.0,6.0,8.0,2.0
R3,MaxDD,-0.19975796950615476,-0.10627632433457335,-0.19975796950615465,12.0,5.0,12.0,7.0
R4,MaxDD,-0.1943271934977503,-0.10149186679296307,-0.19432719349775063,11.0,2.0,11.0,9.0
