book,instr,rung,nfloors,cagr_lo,cagr_hi,sh_lo,sh_hi,oos_lo,oos_hi
EWALL,DV,10.0,7,-0.04917126466613431,0.1018177783174512,-0.16331130457767823,0.678135269658678,-0.33983861494126505,0.6366624355474833
EWALL,DV,25.0,7,-0.05848777823828377,0.09894356898141088,-0.21406265795715626,0.6620350100338488,-0.3918295945872792,0.6206770724346838
EWALL,VOLSH,10.0,7,0.054994877718633095,0.1018177783174512,0.36648579431431777,0.678135269658678,0.3519784527816077,0.6366624355474833
EWALL,VOLSH,25.0,7,0.04543468778080895,0.09894356898141088,0.32134538019101977,0.6620350100338488,0.3100998495229787,0.6206770724346838
EWGATE,DV,10.0,7,-0.08473778474646676,0.03666279912702519,-0.44837009044707055,0.3361134342060475,-0.6769028607964008,0.29095981782086194
EWGATE,DV,25.0,7,-0.10908696770996174,0.016069110282892707,-0.6090635136913007,0.18622878506092036,-0.8536038362869727,0.13528981693967163
EWGATE,VOLSH,10.0,7,-0.021005948088391402,0.03666279912702519,-0.04611683119896281,0.3361134342060475,-0.16983336664690799,0.29095981782086194
EWGATE,VOLSH,25.0,7,-0.04756139395215231,0.016069110282892707,-0.2127091075511294,0.18622878506092036,-0.34456870091619124,0.13528981693967163
RANK20,DV,10.0,7,-0.08018280088191698,0.05423246113432412,-0.41584387404511963,0.45545659319062126,-0.6167486686392615,0.3127525935253847
RANK20,DV,25.0,7,-0.10457307561596785,0.01663647363489429,-0.5753413033998352,0.18854990395013288,-0.7909068509179888,0.04057032008335964
RANK20,VOLSH,10.0,7,-0.008881916789454491,0.05212364948741843,0.029861974316610567,0.45545659319062126,-0.0839952843779273,0.2866688102518212
RANK20,VOLSH,25.0,7,-0.035949520762801224,0.01444609785828277,-0.13655545156239893,0.17272257176605557,-0.2728169092387013,0.0034340389273244377
