rev,end,book,rows_raw,cols_raw,weekend_rows,asis_dCAGR,asis_dSharpe,calfix_dCAGR,calfix_dSharpe,calfix_dMaxDD
b2528b96f7,2026-09-14,LIVE-v2-g075-W,4704,58,0,0.0,0.0,0.0,0.0,0.0
b2528b96f7,2026-09-14,TOP20-g065-M,4704,58,0,0.0,0.0,0.0,0.0,0.0
b2528b96f7,2026-09-14,SPY-BH-W,4704,58,0,0.0,0.0,0.0,0.0,0.0
56e08b10c5,2026-09-11,LIVE-v2-g075-W,4703,58,0,-1.4137609305464593e-08,-1.0991934651372048e-07,-1.4137609305464593e-08,-1.0991934651372048e-07,4.2718737436331367e-08
56e08b10c5,2026-09-11,TOP20-g065-M,4703,58,0,4.8041952638300245e-08,3.1416599588496297e-07,4.8041952638300245e-08,3.1416599588496297e-07,-4.472111458930783e-09
56e08b10c5,2026-09-11,SPY-BH-W,4703,58,0,6.661338147750939e-16,-5.91349853862333e-07,6.661338147750939e-16,-5.91349853862333e-07,3.242506408929202e-07
60e8c36a52,2026-09-10,LIVE-v2-g075-W,4702,58,0,-1.163239486512424e-06,-1.7931901705292574e-05,-1.163239486512424e-06,-1.7931901705292574e-05,2.7751717257551434e-08
60e8c36a52,2026-09-10,TOP20-g065-M,4702,58,0,6.588782275329663e-08,-6.221278112672479e-06,6.588782275329663e-08,-6.221278112672479e-06,1.5336398151433173e-07
60e8c36a52,2026-09-10,SPY-BH-W,4702,58,0,4.440892098500626e-16,-7.458719117892088e-07,4.440892098500626e-16,-7.458719117892088e-07,1.0932842153810185e-07
7a93b0753d,2026-09-09,LIVE-v2-g075-W,4701,58,0,-4.287156012416915e-07,-7.662542477415712e-06,-4.287156012416915e-07,-7.662542477415712e-06,1.8090541842319396e-08
7a93b0753d,2026-09-09,TOP20-g065-M,4701,58,0,3.581511665018411e-08,-6.231988035620972e-06,3.581511665018411e-08,-6.231988035620972e-06,1.4193148012431323e-07
7a93b0753d,2026-09-09,SPY-BH-W,4701,58,0,2.220446049250313e-16,-4.912574400606218e-07,2.220446049250313e-16,-4.912574400606218e-07,3.242506410039425e-07
9ee888f453,2026-09-08,LIVE-v2-g075-W,4700,58,0,-3.0315654786505775e-07,-6.102472982050244e-06,-3.0315654786505775e-07,-6.102472982050244e-06,5.925429369391111e-09
9ee888f453,2026-09-08,TOP20-g065-M,4700,58,0,9.855847515893856e-08,-5.716035049063706e-06,9.855847515893856e-08,-5.716035049063706e-06,1.7573811716964371e-07
9ee888f453,2026-09-08,SPY-BH-W,4700,58,0,6.661338147750939e-16,-4.0958147706771086e-07,6.661338147750939e-16,-4.0958147706771086e-07,-2.1492211410567563e-07
f138ee9ae9,2026-09-04,LIVE-v2-g075-W,4699,58,0,-2.959148752701424e-07,-6.05342643389406e-06,-2.959148752701424e-07,-6.05342643389406e-06,1.1829737522894845e-08
f138ee9ae9,2026-09-04,TOP20-g065-M,4699,58,0,8.062667289365777e-08,-5.740461412662157e-06,8.062667289365777e-08,-5.740461412662157e-06,1.508268668848345e-07
f138ee9ae9,2026-09-04,SPY-BH-W,4699,58,0,8.881784197001252e-16,-1.5618689219731863e-07,8.881784197001252e-16,-1.5618689219731863e-07,-2.1492211399465333e-07
50585c8670,2026-09-04,LIVE-v2-g075-W,4699,58,0,-8.032653759926234e-07,-1.224509669484064e-05,-8.032653759926234e-07,-1.224509669484064e-05,5.638518107975443e-08
50585c8670,2026-09-04,TOP20-g065-M,4699,58,0,4.7208112530228163e-08,-5.721129280100712e-06,4.7208112530228163e-08,-5.721129280100712e-06,1.8306360605180316e-07
50585c8670,2026-09-04,SPY-BH-W,4699,58,0,2.220446049250313e-16,-2.5675278547687697e-07,2.220446049250313e-16,-2.5675278547687697e-07,3.2425064133700943e-07
c006b43930,2026-09-03,LIVE-v2-g075-W,4698,58,0,-2.6823938270581493e-07,-5.230588964399985e-06,-2.6823938270581493e-07,-5.230588964399985e-06,1.2241518809741336e-07
c006b43930,2026-09-03,TOP20-g065-M,4698,58,0,1.1524180787425564e-07,-5.2345031862355285e-06,1.1524180787425564e-07,-5.2345031862355285e-06,1.7315711953180823e-07
c006b43930,2026-09-03,SPY-BH-W,4698,58,0,0.0,-4.988635317060286e-07,0.0,-4.988635317060286e-07,-2.1492211410567563e-07
0ede228245,2026-09-04,LIVE-v2-g075-W,6060,58,1248,-0.027284246066483275,-0.22256491014466995,0.00013170238736237572,0.0017441374889113348,3.4992897579577686e-08
0ede228245,2026-09-04,TOP20-g065-M,6060,58,1248,-0.03813928859197513,-0.22320385663738007,0.00010091852331339801,0.0008661225652801807,1.4648850799048319e-07
0ede228245,2026-09-04,SPY-BH-W,6060,58,1248,-0.0375082932309907,-0.11044399665333826,0.0002526392096187102,0.0012503075752297033,-2.1492211377260872e-07
fb20817495,2026-09-04,LIVE-v2-g075-W,6059,58,1248,-0.027505693660995423,-0.22597458607965681,-0.00017593310116148508,-0.0021073539758329485,7.387735678765495e-08
fb20817495,2026-09-04,TOP20-g065-M,6059,58,1248,-0.03840802433249557,-0.2258603336587387,-0.00012528546398327123,-0.0010382052186692636,2.1454039245139e-07
fb20817495,2026-09-04,SPY-BH-W,6059,58,1248,-0.03799178955585525,-0.11324097898799168,-0.0004285336803675488,-0.0020269735727728166,8.881784197001252e-16
