study_set,bar,n_files,n_targets,n_one_signed,share_one_signed,n_degenerate,median_headroom
CHOOSER,0.6,96,223,198,0.8878923766816144,84,0.11747448979591835
CHOOSER,0.7,96,223,160,0.7174887892376681,84,0.0
CHOOSER,0.8,96,223,121,0.5426008968609866,84,0.0
CHOOSER,0.9,96,223,97,0.4349775784753363,84,0.0
CHOOSER,0.95,96,223,90,0.40358744394618834,84,0.0
CHOOSER,0.99,96,223,84,0.37668161434977576,84,0.0
SELECTOR,0.6,132,250,210,0.84,100,0.047380156075808255
SELECTOR,0.7,132,250,168,0.672,100,0.0
SELECTOR,0.8,132,250,134,0.536,100,0.0
SELECTOR,0.9,132,250,113,0.452,100,0.0
SELECTOR,0.95,132,250,105,0.42,100,0.0
SELECTOR,0.99,132,250,100,0.4,100,0.0
ALL,0.6,721,1723,1505,0.873476494486361,495,0.11428571428571432
ALL,0.7,721,1723,1283,0.7446314567614626,495,0.07818930041152261
ALL,0.8,721,1723,1001,0.5809634358676726,495,0.005249343832021025
ALL,0.9,721,1723,708,0.4109112013929193,495,0.0
ALL,0.95,721,1723,591,0.343006384213581,495,0.0
ALL,0.99,721,1723,508,0.2948345908299478,495,0.0
