panel,b_fit_full,agree_fit_full,b_fit_exc,agree_fit_exc,b_fit_is,agree_fit_is,plat_full_lo,plat_full_hi,plat_full_w,declared_in_plat_full,plat_exc_lo,plat_exc_hi,plat_exc_w,declared_in_plat_exc,plat_is_lo,plat_is_hi,plat_is_w,declared_in_plat_is,agree_declared_full,agree_declared_exc,mcc_declared_full,mcc_declared_exc,mcc_fit_exc,n_books
U56,0.54,1.0,0.57,0.9583333333333334,0.53,0.9583333333333334,0.54,0.6,0.05999999999999994,True,0.57,0.63,0.06000000000000005,True,0.53,0.58,0.04999999999999993,False,1.0,0.9583333333333334,1.0,0.9074852129730302,0.9074852129730302,48
B136,0.57,0.9375,0.54,0.9583333333333334,0.58,0.9791666666666666,0.57,0.58,0.010000000000000009,False,0.54,0.54,0.0,False,0.58,0.64,0.06000000000000005,True,0.9166666666666666,0.875,0.828416869579514,0.7410244984985453,0.9178041904566052,48
SMALL,0.21,0.9375,0.41,0.9583333333333334,0.49,0.9375,0.21,0.33,0.12000000000000002,False,0.41,0.41,0.0,False,0.49,0.54,0.050000000000000044,False,0.6666666666666666,0.7708333333333334,0.4879500364742666,0.6236095644623236,0.9128709291752769,48
