universe,grid,book,cost_bps,n,rho
u56,sleeve,top20,10,41,0.6186411149825783
u56,sleeve,top20,25,41,0.5677700348432055
u56,sleeve,ewall,10,41,0.7428571428571429
u56,sleeve,ewall,25,41,0.7153310104529617
u56,band,top20,10,33,-0.4612299465240642
u56,band,top20,25,33,-0.0374331550802139
u56,band,ewall,10,33,-0.38235294117647056
u56,band,ewall,25,33,0.11864973262032086
u56,breadth,top20,10,41,-0.5060975609756098
u56,breadth,top20,25,41,-0.643205574912892
u56,breadth,ewall,10,41,-0.16655052264808362
u56,breadth,ewall,25,41,-0.3337979094076655
u56,stop,top20,10,32,0.6129032258064516
u56,stop,top20,25,32,0.8244134897360704
u56,stop,ewall,10,32,0.7360703812316716
u56,stop,ewall,25,32,0.8980938416422287
u56,crypto,top20,10,41,1.0
u56,crypto,top20,25,41,1.0
u56,crypto,ewall,10,41,1.0
u56,crypto,ewall,25,41,1.0
u56,gross,top20,10,31,-0.9350806451612902
u56,gross,top20,25,31,0.2883064516129032
u56,gross,ewall,10,31,-0.19475806451612898
u56,gross,ewall,25,31,0.9999999999999998
broad,sleeve,top20,10,41,0.3332752613240418
broad,sleeve,top20,25,41,0.19041811846689896
broad,sleeve,ewall,10,41,0.6289198606271776
broad,sleeve,ewall,25,41,0.55801393728223
broad,band,top20,10,33,-0.2894385026737968
broad,band,top20,25,33,-0.3382352941176471
broad,band,ewall,10,33,0.0518048128342246
broad,band,ewall,25,33,0.6276737967914437
broad,breadth,top20,10,41,0.99198606271777
broad,breadth,top20,25,41,0.9977351916376307
broad,breadth,ewall,10,41,-0.12979094076655054
broad,breadth,ewall,25,41,-0.03170731707317073
broad,stop,top20,10,32,0.6025664629203772
broad,stop,top20,25,32,0.7613199028014379
broad,stop,ewall,10,32,0.6675219941348973
broad,stop,ewall,25,32,0.8504398826979472
broad,gross,top20,10,31,0.9999999999999998
broad,gross,top20,25,31,0.9999999999999998
broad,gross,ewall,10,31,-0.9999999999999998
broad,gross,ewall,25,31,0.9999999999999998
