panel,s,pick,is_sharpe,oos_CAGR_pick,oos_Sharpe_pick,oos_MaxDD_pick,oos_CAGR_anchor,oos_Sharpe_anchor,oos_MaxDD_anchor,d_oos_Sharpe,d_oos_CAGR_pp,d_oos_MaxDD_pp,spy_oos_Sharpe,spy_oos_CAGR,spy_oos_MaxDD,best_oos_variant
U56,0.5,FILL,1.1989174572261652,0.166639004549878,1.1627560184442418,-0.1921238422621303,0.17323365236641508,1.1856777042016955,-0.19127562163086176,-0.02292168575745368,-0.6594647816537069,-0.08482206312685481,0.8738401470547136,0.1525745335844091,-0.33717289200673783,FREEZE
U56,0.75,FREEZE,1.1515728494707538,0.16814040119288465,1.1424567953644091,-0.22875463284511466,0.17323365236641508,1.1856777042016955,-0.19127562163086176,-0.043220908837286354,-0.5093251173530433,-3.74790112142529,0.8738401470547136,0.1525745335844091,-0.33717289200673783,SPY
U56,0.9,FREEZE,1.1515728494707538,0.16872494665909543,1.1261508407392842,-0.26297163912406896,0.17323365236641508,1.1856777042016955,-0.19127562163086176,-0.05952686346241132,-0.4508705707319649,-7.169601749320719,0.8738401470547136,0.1525745335844091,-0.33717289200673783,ANCHOR
U56,1.0,FREEZE,1.1515728494707538,0.16573304591461446,1.1057550470914213,-0.26297163912406896,0.17323365236641508,1.1856777042016955,-0.19127562163086176,-0.07992265711027424,-0.7500606451800618,-7.169601749320719,0.8738401470547136,0.1525745335844091,-0.33717289200673783,ANCHOR
B136,0.5,FIXED,1.1413874706007896,0.15936842989310973,1.012927245815146,-0.18779405305211805,0.16187458516000497,1.0179537645049168,-0.20740187631179052,-0.005026518689770887,-0.2506155266895238,1.9607823259672474,0.8738511437360154,0.15257181383948715,-0.3371595330739301,FILL
B136,0.75,FIXED,1.1413874706007896,0.15936842989310973,1.012927245815146,-0.18779405305211805,0.16187458516000497,1.0179537645049168,-0.20740187631179052,-0.005026518689770887,-0.2506155266895238,1.9607823259672474,0.8738511437360154,0.15257181383948715,-0.3371595330739301,FILL
B136,0.9,FREEZE,1.1618201246481736,0.16155353958910768,1.0112870723961258,-0.25216144670611074,0.16187458516000497,1.0179537645049168,-0.20740187631179052,-0.006666692108791006,-0.03210455708972937,-4.475957039432021,0.8738511437360154,0.15257181383948715,-0.3371595330739301,FILL
B136,1.0,FIXED,1.1413874706007896,0.15936842989310973,1.012927245815146,-0.18779405305211805,0.16187458516000497,1.0179537645049168,-0.20740187631179052,-0.005026518689770887,-0.2506155266895238,1.9607823259672474,0.8738511437360154,0.15257181383948715,-0.3371595330739301,FILL
SMALL,0.5,ANCHOR,0.6401415772704396,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.0,0.0,0.0,0.8738401470547136,0.1525745335844091,-0.33717289200673783,ANCHOR
SMALL,0.75,ANCHOR,0.6401415772704396,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.0,0.0,0.0,0.8738401470547136,0.1525745335844091,-0.33717289200673783,ANCHOR
SMALL,0.9,ANCHOR,0.6401415772704396,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.0,0.0,0.0,0.8738401470547136,0.1525745335844091,-0.33717289200673783,ANCHOR
SMALL,1.0,ANCHOR,0.6401415772704396,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.06698806653983391,0.43984693026555094,-0.365105167152756,0.0,0.0,0.0,0.8738401470547136,0.1525745335844091,-0.33717289200673783,ANCHOR
