panel,book,cadence,estimator,base4b,prod_leg,ratio,min_leg,argmin_leg
B136,EWELIG,W,CANON,0.016666666666666666,0.0016419753086419752,10.150375939849624,0.016666666666666666,L4_DD
B136,TOP10,M,CANON,0.016666666666666666,0.012,1.3888888888888888,0.25,L4_DD
B136,TOP10,Q,CANON,0.05,0.006288032407407408,7.95161296260165,0.1,L4_DD
B136,TOP20,M,CANON,0.05,0.01904,2.6260504201680672,0.2,L4_DD
B136,TOP20,Q,CANON,0.03333333333333333,0.0027970370370370367,11.917372881355934,0.06666666666666667,L4_DD
U56,EWELIG,M,CANON,0.03,0.028814939999999997,1.0411265822521234,0.03,L4_DD
U56,EWELIG,W,CANON,0.01,0.0019875159,5.031406289630186,0.03,L4_DD
U56,TOP10,M,CANON,0.23,0.13648559999999998,1.6851594600456021,0.5,L1_H1
U56,TOP10,Q,CANON,0.14,0.036205919999999996,3.8667709590033903,0.3,L4_DD
U56,TOP20,M,CANON,0.8,0.8075,0.9907120743034057,0.85,L5_CAGR
U56,TOP20,Q,CANON,0.07,0.017494400000000004,4.001280409731113,0.14,L4_DD
U56,TOP40,M,CANON,0.99,0.99,1.0,0.99,L5_CAGR
U56,TOP40,Q,CANON,0.01,0.0005,20.0,0.01,L5_CAGR
