panel,c_star_4b,c_star_4a,c_star_both,binding_bar,slack_over_10bps
u56,16.704638671875,17.008349609375,16.704638671875,4b_CAGR,6.704638671874999
broad,16.947705078124997,10.238818359375003,10.238818359375003,4a_H2,0.23881835937500284
