draw,cap,signed,wass,isolated
UNIF,REAL,0.0015370396662033995,0.4164649658127303,
LNFIT,REAL,0.0012464989955733481,0.4058325679010061,
EBOOT,REAL,9.438281378854052e-05,0.21031447174846757,
GBLOCK,REAL,-0.0005098500812151519,0.19406772468412842,
GPERM,REAL,0.0005880790772262515,0.0,
UNIF,DOM,-0.0026969891153081557,0.4219319910159355,-0.001392515525656355
UNIF,LONE,0.0012095253714205466,0.42076357210429144,0.0009683150241172429
LNFIT,DOM,-0.0012755402625857504,0.40802033825312567,2.8933327066050325e-05
LNFIT,LONE,0.00048646585593169894,0.4049433684446674,0.00024525550862839526
EBOOT,DOM,-0.0021959989652803463,0.206398126859483,-0.0008915253756285456
EBOOT,LONE,-0.000870572706329259,0.2087726546820533,-0.0011117830536325627
GBLOCK,DOM,-0.002366515903198252,0.19369000010675655,-0.0010620423135464512
GBLOCK,LONE,-0.0012928561980927004,0.1944707043096125,-0.0015340665453960041
GPERM,DOM,-0.0020685972644784497,0.0,-0.000764123674826649
GPERM,LONE,-0.0006391466445963834,0.0,-0.0008803569918996871
