V,nS,nB,mn
0.18,60,56,56
0.19,74,67,67
0.2,86,70,70
0.21,107,73,73
0.22,132,76,76
0.23,150,78,78
0.24,170,80,80
0.25,181,83,83
0.26,192,80,80
0.27,209,80,80
0.28,225,76,76
0.29,236,75,75
0.3,249,75,75
0.31,269,75,75
0.32,279,71,71
0.33,289,71,71
0.34,299,69,69
0.35,307,64,64
0.36,314,61,61
0.37,327,61,61
0.38,327,59,59
0.39,331,58,58
0.4,332,57,57
