panel,cost,n,pass4b,pass4a,both
U56,0.0,24,15,0,0
U56,10.0,24,11,0,0
U56,25.0,24,5,0,0
U56,50.0,24,4,0,0
B136,0.0,24,1,0,0
B136,10.0,24,0,0,0
B136,25.0,24,0,0,0
B136,50.0,24,0,0,0
