ranking,k,n_seeds,is_Sharpe,is_CAGR,is_MaxDD,oos_Sharpe,oos_CAGR,oos_MaxDD,oos_dd_margin_pp,keep4b_oos,keep4b
ALPHA,30,1,1.1257526726003453,0.1406577964555491,-0.127062107376836,1.2995682191513187,0.1759295683951132,-0.1855768267191411,1.6726713625970724,True,True
RANDSTATIC,40,5,1.0937837071679435,0.12676331676840874,-0.1286800710470444,1.2758029495420633,0.15099854994115214,-0.16836935157629734,3.3934188768814493,True,True
ALPHA,40,1,1.087535640790623,0.12626902499620596,-0.13034011164241843,1.3265658212363056,0.15922009896822198,-0.16596419168910947,3.633934865600236,True,True
RANDSTATIC,30,5,1.0834104817179928,0.13490073338226166,-0.13435405043989967,1.2878347216954253,0.16792062541958663,-0.1861850683724468,1.6118471972665038,True,True
RAND,40,5,1.0817802175966773,0.1247117224865005,-0.13033673449295607,1.2732253522776753,0.1498368095207976,-0.1739216093303792,2.838193101473262,True,True
MADIST,30,1,1.0788767640722456,0.14687713622209664,-0.13778643153451942,1.2754691147057242,0.18661625146924066,-0.20331262479029766,-0.10090844451858261,False,False
REVMADIST,50,1,1.0605085381346753,0.10351866329244253,-0.10678853725323656,1.2818055566227615,0.13071752415541593,-0.15483018493257772,4.7473355412534115,True,True
ALPHA,50,1,1.0605085381346753,0.10351866329244253,-0.10678853725323656,1.2927892829613055,0.1322904466901662,-0.15483018493257772,4.7473355412534115,True,True
MADIST,50,1,1.0605085381346753,0.10351866329244253,-0.10678853725323656,1.2925510485845133,0.13242967327070976,-0.15483018493257772,4.7473355412534115,True,True
RAND,50,5,1.0605085381346753,0.10351866329244253,-0.10678853725323656,1.3000182252374413,0.13299573407012627,-0.15483018493257777,4.747335541253404,True,True
RANDSTATIC,50,5,1.0605085381346753,0.10351866329244253,-0.10678853725323656,1.2928970875223333,0.1323583319230841,-0.15483018493257789,4.747335541253394,True,True
RANDSTATIC,20,5,1.059727486973102,0.1366508921330411,-0.13322179313598576,1.2141464121977734,0.17211460331016837,-0.22014089419687338,-1.7837353851761542,False,False
MADIST,40,1,1.0566870221060394,0.12581180008719572,-0.1269805089438717,1.309872159433408,0.16237161325542093,-0.17674007929342106,2.5563461051690775,True,True
REVMADIST,40,1,1.0469766074443145,0.11661674892247675,-0.1273148059104463,1.1974084834355756,0.132306888610767,-0.15649338952500758,4.581015082010426,True,True
ALPHA,ALL,1,1.0438766153267804,0.13867936621428933,-0.1324472516577465,1.2173994245274284,0.17447304412408005,-0.2218180847636695,-1.9514544418557656,False,False
MADIST,ALL,1,1.0438766153267804,0.13867936621428933,-0.1324472516577465,1.2173994245274284,0.17447304412408005,-0.2218180847636695,-1.9514544418557656,False,False
REVMADIST,ALL,1,1.0438766153267804,0.13867936621428933,-0.1324472516577465,1.2173994245274284,0.17447304412408005,-0.2218180847636695,-1.9514544418557656,False,False
RAND,ALL,5,1.0438766153267804,0.13867936621428933,-0.1324472516577465,1.2173994245274284,0.17447304412408005,-0.2218180847636695,-1.9514544418557656,False,False
RANDSTATIC,ALL,5,1.0438766153267804,0.13867936621428933,-0.1324472516577465,1.2173994245274284,0.17447304412408005,-0.2218180847636695,-1.9514544418557656,False,False
ALPHA,20,1,1.0346005985568838,0.1410145653332393,-0.1296634786487736,1.219617503684108,0.1763096124298531,-0.22248728452659827,-2.0183744181486443,False,False
MADIST,20,1,1.0235475712594035,0.1533080320662532,-0.1480872651442221,1.2811262151329903,0.22230015844693307,-0.2480891182213678,-4.578557787625598,False,False
RAND,30,5,1.019415690083918,0.12660451135965176,-0.14391942024999266,1.209657620135228,0.15496198477401743,-0.19312883653981364,0.9174703805298201,True,True
REVMADIST,20,1,0.9897648844488225,0.11250372442222889,-0.13515756475427065,0.8907109922917524,0.10270690357025347,-0.2006077998531891,0.1695740491922726,False,False
REVMADIST,30,1,0.9854964395978183,0.11156474494467772,-0.12861323597254504,1.150802389664815,0.1302130981691927,-0.16867575277002378,3.3627787575088055,True,True
RAND,20,5,0.9483381915349162,0.12376028383857048,-0.14780429343593576,1.0659745716682962,0.1484752531539509,-0.22792649321492062,-2.5622952869808815,False,False
