panel,chooser,bps,pick,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD
U56,CORRECTED,0,TOP10_g1.00,1.0889890937985818,1.0578109367636552,0.1505983515158802,-0.1717469103076399
U56,CORRECTED,10,TOP20_g1.00,0.9414158650532554,0.9918747410163562,0.14326298998353537,-0.22794402893557986
U56,CORRECTED,25,TOP20_g1.00,0.7706281370786282,0.8242325869986696,0.11571551440714778,-0.2296055724128565
U56,CALENDAR,0,TOP20_g1.00,0.872493082106217,1.1033342618691715,0.16199501642179315,-0.22683524881759687
U56,CALENDAR,10,TOP20_g1.00,0.7616042352142297,0.9918747410163562,0.14326298998353537,-0.22794402893557986
U56,CALENDAR,25,TOP20_g1.00,0.5950302989805595,0.8242325869986696,0.11571551440714778,-0.2296055724128565
U56,SANDBOX,0,TOP20_g0.75,0.7749525567097081,1.1043497824913941,0.12144139614778937,-0.17293395244675835
U56,SANDBOX,10,TOP20_g1.00,0.650316600570734,0.9918747410163562,0.14326298998353537,-0.22794402893557986
U56,SANDBOX,25,TOP20_g1.00,0.4636620380771088,0.8242325869986696,0.11571551440714778,-0.2296055724128565
B136,CORRECTED,0,TOP20_g1.00,1.1381729951918689,0.907227676057319,0.12839361747067857,-0.23218026122257218
B136,CORRECTED,10,TOP20_g1.00,0.9655359840712291,0.7347092285463674,0.10058741128543613,-0.2361269213116024
B136,CORRECTED,25,TOP20_g1.00,0.7058834242393349,0.47556451488147083,0.06013005818491224,-0.24203969849447493
B136,CALENDAR,0,TOP3_g1.00,0.8382767524722048,0.7674854291844887,0.11473498441573948,-0.1937193750341789
B136,CALENDAR,10,TOP20_g1.00,0.5735475817221553,0.7347092285463674,0.10058741128543613,-0.2361269213116024
B136,CALENDAR,25,TOP20_g1.00,0.314758491997643,0.47556451488147083,0.06013005818491224,-0.24203969849447493
B136,SANDBOX,0,TOP3_g1.00,1.0487557357118493,0.7674854291844887,0.11473498441573948,-0.1937193750341789
B136,SANDBOX,10,TOP3_g1.00,0.7678632552965163,0.46524633331211707,0.06290461866516095,-0.23649078771458176
B136,SANDBOX,25,TOP3_g1.00,0.3448134302816136,0.013789482223190255,-0.010466890377003213,-0.4243659699961071
