panel,book,cost,arm,group,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
u56,V1u,10.0,control,C,0.05252287623428464,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593
u56,V1u,10.0,g200-dg,C,0.05035257708979257,0.07082486653664155,0.710019199890369,-0.14051673107873808,0.7256651420904467
u56,V1u,10.0,g200-rw,C,0.04925613582932131,0.08069826783516665,0.7741172142433231,-0.13827796154480798,0.7500306958886649
u56,V1u,10.0,band3-dg,C,0.05019385916852559,0.07206835543124734,0.7193257647884539,-0.1455135830016454,0.7328635251331524
u56,V1u,10.0,band3-rw,C,0.04754023812741992,0.08062280320732595,0.774887069713669,-0.13621392292415668,0.7498925109129211
u56,V1u,10.0,abs12-dg,C,0.04614460864521974,0.07440782599996476,0.7450062488279505,-0.1362139229241568,0.7109711839242498
u56,V1u,10.0,abs12-rw,C,0.04822869858921708,0.07749304992217221,0.7494214357057343,-0.14559327024567947,0.7498962551217799
u56,V1u,10.0,vol60-dg,C,0.05252287623428464,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593
u56,V1u,10.0,vol60-rw,C,0.05252287623428464,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593
u56,V1u,10.0,v1gate-dg,C,0.05035257708979257,0.07082486653664155,0.710019199890369,-0.14051673107873808,0.7256651420904467
u56,V1u,10.0,v1gate-rw,C,0.04925613582932131,0.07730300522922962,0.747063834691694,-0.13827796154480798,0.7495210220604044
u56,V1u,10.0,stop15,C,0.05252287623428464,0.0714313855444102,0.711556444238919,-0.16196401256833803,0.749644386202702
u56,V1u,10.0,stop25,C,0.05252287623428464,0.07167644913632909,0.7135835570891119,-0.15672092223908363,0.749893462556593
u56,V1u,10.0,ddctl-8/.5/recover,C,0.038859489490164156,0.04641883670490765,0.585652743016331,-0.1263677723252873,0.5827408494808681
u56,V1u,10.0,ddctl-8/.5/high,C,0.028202703505393334,0.04460959495550498,0.6309280405012703,-0.11984243715107101,0.5214901168143089
u56,V1u,10.0,ebud-0.10,C,0.029936449865200165,0.02547677147011851,0.5179719749810424,-0.09312654363785,0.38566531284021005
u56,V1u,10.0,ebud-0.20,C,0.04127136530731934,0.05131008522568181,0.6278846124012678,-0.13888991331438738,0.6241448592930372
u56,V1u,25.0,control,C,0.019190398794172614,0.032674555494910607,0.3592038657013107,-0.19948029385500987,0.749893462556593
u56,V1u,25.0,g200-dg,C,0.01727628382679991,0.03278946239010616,0.3620266797770612,-0.17839510985144758,0.7256651420904467
u56,V1u,25.0,g200-rw,C,0.015154355024209254,0.04100477946672165,0.4264805827911139,-0.14177187688535975,0.7500306958886649
u56,V1u,25.0,band3-dg,C,0.01699792817858925,0.03427039091076023,0.37499504495159813,-0.17975876163256566,0.7328635251331524
