panel,gate,freq,bps,m_8,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,parent_OOS_CAGR,parent_OOS_Sharpe,parent_OOS_MaxDD,gridmean_OOS_Sharpe,best_OOS_Sharpe,best_OOS_m,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
u56,none,W,10,50,0.08827219993294388,1.1608567563426644,-0.1262644576790355,0.14916901913527392,1.1636372761187481,-0.1854560764142037,1.1612745467382868,1.1912633485955422,5,0.09563216064933844,1.288463762182964,-0.12054942313126815,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,none,W,25,50,0.08666849426432965,1.1408020532157188,-0.12740211761788767,0.13291726175470253,1.0506987558934098,-0.18641601402042973,1.1132669370876265,1.1495414783427067,20,0.09269634071563959,1.2516242862884182,-0.12092631068492765,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,W,10,30,0.13259841375590287,1.19869425081429,-0.14782326582399974,0.14386387422203306,1.1696565789524938,-0.18308348697878107,1.2017949562605583,1.235097845015964,20,0.09563216064933844,1.288463762182964,-0.12054942313126815,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,W,25,30,0.12662438548585353,1.150061951696058,-0.14881558694120123,0.12755486061286203,1.051198219283783,-0.18440712200737241,1.1369799361255475,1.1855170545927478,20,0.09269634071563959,1.2516242862884182,-0.12092631068492765,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,band3,W,10,50,0.12251857295729884,1.1935992231897257,-0.1232946439333582,0.1510630859312858,1.2163152125396837,-0.1799444505107638,1.1973664933101906,1.2194621733016817,5,0.09563216064933844,1.288463762182964,-0.12054942313126815,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,band3,W,25,50,0.11821622795667563,1.155371479375533,-0.12497758136527415,0.13577403189644355,1.1065631346555054,-0.18091886365915755,1.142094069556856,1.1679365185549337,10,0.09269634071563959,1.2516242862884182,-0.12092631068492765,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,D,10,50,0.1349320149403581,1.2567407634596015,-0.12365387439296882,0.12755505372305143,1.0829727599977608,-0.16338748144533222,1.2195507011711861,1.2575173086027738,30,0.09563216064933844,1.288463762182964,-0.12054942313126815,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,D,25,50,0.1252492246204433,1.1750077114184712,-0.14429880711738519,0.09020750042591619,0.7952034593974535,-0.1682467991499298,1.098317641548604,1.1754065821627542,30,0.09269634071563959,1.2516242862884182,-0.12092631068492765,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,M,10,30,0.13294128050436216,1.1355119864341625,-0.16264291518623364,0.1674033541437394,1.2858872009508944,-0.1950684146967382,1.2103217174772074,1.2958895352301807,2,0.09563216064933844,1.288463762182964,-0.12054942313126815,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,M,25,30,0.12933554823031068,1.1082305695972734,-0.16347593211935452,0.15984318473987225,1.2349432589123863,-0.1959640783248624,1.175358334183096,1.2513029006149876,5,0.09269634071563959,1.2516242862884182,-0.12092631068492765,0.15503769025418768,0.8844185021541422,-0.33717235283398284
