panel,n,k,y,lam,gap_D50,gap_D500,slope_logD,D_cross,D_extrap
B136,5,20,CAND Sharpe,cv,0.37031332824234353,-0.4594257808848907,-0.3426361652428519,100,103.61892801251552
B136,5,20,CAND Sharpe,oracle,0.24546122957661665,-0.4594257808848907,-0.2963999457771733,100,86.84283929742628
B136,5,20,EWall Sharpe,cv,0.09222851741028015,-0.5959118443590914,-0.29612350017915895,100,51.39821222393189
B136,5,20,EWall Sharpe,oracle,0.011531383942115614,-0.5959118443590914,-0.26677145025038185,100,42.255537820642296
B136,5,20,premium,cv,-0.033916723933066883,-0.4995785375262255,-0.1925848706707854,50,36.4028177913613
B136,5,20,premium,oracle,-0.05985033397812356,-0.4995785375262255,-0.16600660646056772,50,23.922167756141356
B136,5,40,CAND Sharpe,cv,0.020459562878639148,-0.5201627363838659,-0.2315320008215589,100,41.34111504120393
B136,5,40,CAND Sharpe,oracle,-0.12711242979582138,-0.5218085768469388,-0.17481061455379027,50,21.283428333711687
B136,5,40,EWall Sharpe,cv,-0.16987328129264567,-0.6081105476265072,-0.20771680191401914,50,21.572084658513106
B136,5,40,EWall Sharpe,oracle,-0.1698732812926439,-0.6081105476265072,-0.20259895116043858,50,19.742546635737398
B136,5,40,premium,cv,-0.30614881939206373,-0.6533611691534777,-0.17643098273472052,50,9.08875583919696
B136,5,40,premium,oracle,-0.3253839256743415,-0.6533611691534776,-0.1665851838100526,50,7.338888227886732
B136,5,80,CAND Sharpe,cv,0.11137145656415837,-0.5557519557395372,-0.2791260944552751,100,57.19206931055872
B136,5,80,CAND Sharpe,oracle,0.04297752810012512,-0.5555085584422221,-0.2533183206702217,100,48.18540350870841
B136,5,80,EWall Sharpe,cv,-0.059528490402351086,-0.6551928712667467,-0.30005852773869424,50,43.15906187454213
B136,5,80,EWall Sharpe,oracle,-0.05952849040235131,-0.6555645800386988,-0.2914474830876926,50,40.048830435412604
B136,5,80,premium,cv,0.03425498720203901,-0.6567520807772244,-0.28569738868527766,100,43.67767324587321
B136,5,80,premium,oracle,-0.0728784760800043,-0.6567520807772242,-0.2401012731848955,50,29.59896962271691
B136,20,20,CAND Sharpe,cv,0.13546630937935966,-0.62246552113841,-0.3202647813731065,100,50.67821618540787
B136,20,20,CAND Sharpe,oracle,0.08417401077329922,-0.62246552113841,-0.30292426365708874,100,45.86039836398993
B136,20,20,EWall Sharpe,cv,0.09222851741028015,-0.5959118443590914,-0.29612350017915895,100,51.39821222393189
B136,20,20,EWall Sharpe,oracle,0.011531383942115614,-0.5959118443590914,-0.26677145025038185,100,42.255537820642296
B136,20,20,premium,cv,-0.039057947256044945,-0.6040534171168327,-0.2584654165610149,50,36.380474094398615
B136,20,20,premium,oracle,-0.09988000136052388,-0.6040534171168326,-0.2288262231483178,50,26.780106526724943
B136,20,40,CAND Sharpe,cv,0.16091760146326406,-0.5118189776563303,-0.3008155215765727,100,68.05414994975081
B136,20,40,CAND Sharpe,oracle,0.05981887895649196,-0.5123421746601676,-0.25781891516719213,100,52.05250967823732
B136,20,40,EWall Sharpe,cv,-0.16987328129264567,-0.6081105476265072,-0.20771680191401914,50,21.572084658513106
B136,20,40,EWall Sharpe,oracle,-0.1698732812926439,-0.6081105476265072,-0.20259895116043858,50,19.742546635737398
B136,20,40,premium,cv,-0.07770857555575528,-0.5828919034971107,-0.2729461831186488,50,55.80627209938737
B136,20,40,premium,oracle,-0.16672152548782615,-0.582891903497111,-0.22817013154167487,50,38.5684349415585
B136,20,80,CAND Sharpe,cv,0.07639664391720746,-0.5539100361836241,-0.3099599325706173,100,64.28108721832106
B136,20,80,CAND Sharpe,oracle,0.07006342249988329,-0.5539100361836241,-0.3069726133353069,100,62.061463147465126
B136,20,80,EWall Sharpe,cv,-0.059528490402351086,-0.6551928712667467,-0.30005852773869424,50,43.15906187454213
B136,20,80,EWall Sharpe,oracle,-0.05952849040235131,-0.6555645800386988,-0.2914474830876926,50,40.048830435412604
B136,20,80,premium,cv,-0.11570939390050738,-0.6845860743794007,-0.29453306256126005,50,42.021947298764324
B136,20,80,premium,oracle,-0.25432504574083015,-0.6845860743794007,-0.23463946947732178,50,24.739184436791653
SMALL484,5,20,CAND Sharpe,cv,0.09210327483384906,-0.43702439947420746,-0.23736504468142838,150,102.40529383136654
SMALL484,5,20,CAND Sharpe,oracle,-0.018357632686770264,-0.4489988977349878,-0.19196567835910483,50,74.6307439479087
SMALL484,5,20,EWall Sharpe,cv,0.040068914096449415,-0.4821439009927079,-0.22466889484309077,100,72.38078730816277
SMALL484,5,20,EWall Sharpe,oracle,-0.05844711048415385,-0.482143900992708,-0.1808478793221791,50,49.23603692957913
SMALL484,5,20,premium,cv,-0.17233159659093467,-0.1347814177230865,0.008613919336376105,50,
SMALL484,5,20,premium,oracle,-0.19319319240716737,-0.1347814177230865,0.01861563189640665,50,
SMALL484,5,40,CAND Sharpe,cv,-0.04325944826985095,-0.4302957206127551,-0.1502870636625246,50,35.21791800361179
SMALL484,5,40,CAND Sharpe,oracle,-0.07351437612646294,-0.4302957206127551,-0.1351150501707481,50,25.37619588307038
SMALL484,5,40,EWall Sharpe,cv,0.08630948422990392,-0.5927292598153038,-0.2779162903155189,100,58.146837615371155
SMALL484,5,40,EWall Sharpe,oracle,0.005868503527967528,-0.6018039837533427,-0.2562026357046713,100,48.41418555385157
SMALL484,5,40,premium,cv,-0.024467236055234265,-0.29155738413375243,-0.1230624675400345,50,83.4165383765132
SMALL484,5,40,premium,oracle,-0.10196742329497188,-0.3041389356054135,-0.09817074040498155,50,49.98312279563009
SMALL484,5,80,CAND Sharpe,cv,-0.020572442359617416,-0.399823275127125,-0.16106678850164005,50,70.33068564859629
SMALL484,5,80,CAND Sharpe,oracle,-0.068577626443309,-0.41362173281983083,-0.1536806530621903,50,52.72097267127112
SMALL484,5,80,EWall Sharpe,cv,0.033650482715605,-0.6583859306787092,-0.3380228085003512,150,79.2544229016472
SMALL484,5,80,EWall Sharpe,oracle,-0.001553356299009101,-0.6639125130093939,-0.317711218589609,50,68.97094806871137
SMALL484,5,80,premium,cv,4.223169955830386e-05,-0.3883470894256106,-0.18686629097873966,200,89.97394106379407
SMALL484,5,80,premium,oracle,-0.08308068881046604,-0.3883470894256106,-0.15380407349766356,50,63.801026354564875
SMALL484,20,20,CAND Sharpe,cv,0.03839207804955347,-0.8080438906143824,-0.38270029568185504,150,86.4223052179519
SMALL484,20,20,CAND Sharpe,oracle,-0.0384174131532522,-0.8080438906143828,-0.34201329155750726,50,70.04782848449187
SMALL484,20,20,EWall Sharpe,cv,0.040068914096449415,-0.4821439009927079,-0.22466889484309077,100,72.38078730816277
SMALL484,20,20,EWall Sharpe,oracle,-0.05844711048415385,-0.482143900992708,-0.1808478793221791,50,49.23603692957913
SMALL484,20,20,premium,cv,-0.3163145353996589,-0.2316484881752049,0.025434909335318542,50,
SMALL484,20,20,premium,oracle,-0.3163145353996596,-0.2525716476572196,0.024459708391727866,50,
SMALL484,20,40,CAND Sharpe,cv,-0.07055267517022279,-0.8560731141079182,-0.3376126903009442,50,50.46791154272282
SMALL484,20,40,CAND Sharpe,oracle,-0.10851426840667366,-0.8560731141079165,-0.32233577213337894,50,45.9507659067784
SMALL484,20,40,EWall Sharpe,cv,0.08630948422990392,-0.5927292598153038,-0.2779162903155189,100,58.146837615371155
SMALL484,20,40,EWall Sharpe,oracle,0.005868503527967528,-0.6018039837533427,-0.2562026357046713,100,48.41418555385157
SMALL484,20,40,premium,cv,0.0034608680901995204,-0.3524480989190143,-0.15298497089752472,100,41.59632399672719
SMALL484,20,40,premium,oracle,-0.07713331430103143,-0.3728512629783002,-0.1239037407111648,50,21.807753041205864
SMALL484,20,80,CAND Sharpe,cv,0.011591099577013875,-0.6421040353261902,-0.2964521919198413,100,61.70092596391531
SMALL484,20,80,CAND Sharpe,oracle,-0.021011495376702216,-0.6421040353261899,-0.28026856621484797,50,54.48513709103773
SMALL484,20,80,EWall Sharpe,cv,0.033650482715605,-0.6583859306787092,-0.3380228085003512,150,79.2544229016472
SMALL484,20,80,EWall Sharpe,oracle,-0.001553356299009101,-0.6639125130093939,-0.317711218589609,50,68.97094806871137
SMALL484,20,80,premium,cv,0.010293905468226727,-0.4141780941271068,-0.1858260113045712,100,74.50508065828751
SMALL484,20,80,premium,oracle,-0.09208922604461844,-0.4141780941271068,-0.1379427281932494,50,39.249332784911815
