legset,floor,side,n,passes,rate
4b,0.4,LO,1728,1019,0.5896990740740741
4b,0.4,HI,1728,1569,0.9079861111111112
4b,0.5,LO,1728,958,0.5543981481481481
4b,0.5,HI,1728,1549,0.8964120370370371
4b,0.6,LO,1728,721,0.41724537037037035
4b,0.6,HI,1728,1268,0.7337962962962963
4b,0.7,LO,1728,429,0.2482638888888889
4b,0.7,HI,1728,953,0.5515046296296297
4b-noCAGR,0.4,LO,1728,1022,0.5914351851851852
4b-noCAGR,0.4,HI,1728,1569,0.9079861111111112
4b-noCAGR,0.5,LO,1728,1022,0.5914351851851852
4b-noCAGR,0.5,HI,1728,1569,0.9079861111111112
4b-noCAGR,0.6,LO,1728,1022,0.5914351851851852
4b-noCAGR,0.6,HI,1728,1569,0.9079861111111112
4b-noCAGR,0.7,LO,1728,1022,0.5914351851851852
4b-noCAGR,0.7,HI,1728,1569,0.9079861111111112
4b-noDD,0.4,LO,1728,1512,0.875
4b-noDD,0.4,HI,1728,1704,0.9861111111111112
4b-noDD,0.5,LO,1728,1451,0.8396990740740741
4b-noDD,0.5,HI,1728,1684,0.9745370370370371
4b-noDD,0.6,LO,1728,1214,0.7025462962962963
4b-noDD,0.6,HI,1728,1403,0.8119212962962963
4b-noDD,0.7,LO,1728,922,0.5335648148148148
4b-noDD,0.7,HI,1728,1086,0.6284722222222222
SHARPE-only,0.4,LO,1728,1515,0.8767361111111112
SHARPE-only,0.4,HI,1728,1704,0.9861111111111112
SHARPE-only,0.5,LO,1728,1515,0.8767361111111112
SHARPE-only,0.5,HI,1728,1704,0.9861111111111112
SHARPE-only,0.6,LO,1728,1515,0.8767361111111112
SHARPE-only,0.6,HI,1728,1704,0.9861111111111112
SHARPE-only,0.7,LO,1728,1515,0.8767361111111112
SHARPE-only,0.7,HI,1728,1704,0.9861111111111112
