panel,window,win_bars,cadence,cad_bars,n_choices,n_moves,move_rate,n_interior,interior_share,pick_first,pick_last,pick_med,pick_min,pick_max,pick_sd,mean_abs_step,turn_per_yr,turn_per_yr_frozen_at_med,switch_turn_per_yr,switch_drag_bps_yr,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,L_H1,L_H2,L_OOS,L_DD,L_CAGR,O_S,O_DD,O_CAGR,A_H1,A_H2,A_DD,pass_4b,pass_4b_oos,pass_4a
U56,W504,504,R6M,126,26,20,0.8,26,1.0,0.575,0.475,0.475,0.325,0.7,0.10472032349952971,0.062,2.0955529933687567,1.873928661478155,0.2216243318906017,2.216243318906017,0.10146095139682809,1.048770015243995,-0.1366508914075507,0.8237356897218587,1.2407405843301629,0.1109444067073706,1.0745238286255203,-0.13665089140755027,True,True,True,True,True,True,True,True,False,False,False,True,True,False
U56,W504,504,R1Y,252,13,12,1.0,13,1.0,0.575,0.475,0.475,0.325,0.675,0.10350430438218995,0.10000000000000002,2.0005193203836433,1.873928661478155,0.12659065890548837,1.2659065890548837,0.0916268558318083,0.9906061498697665,-0.1366508914075506,0.7866276035248073,1.1717525490230902,0.09834915696053681,1.0128283579101602,-0.13665089140755016,True,True,True,True,False,True,True,False,False,False,False,False,False,False
U56,W504,504,R2Y,504,7,6,1.0,7,1.0,0.575,0.475,0.475,0.325,0.625,0.1103295928009301,0.15833333333333333,1.97684407696434,1.873928661478155,0.1029154154861851,1.029154154861851,0.09332885236187338,1.0198038592720575,-0.13665089140755038,0.7812119704303814,1.2466434465314178,0.0996220239368768,1.0578315824532263,-0.1366508914075505,True,True,True,True,False,True,True,False,False,False,False,False,False,False
U56,W756,756,R6M,126,26,22,0.88,26,1.0,0.625,0.475,0.5,0.4,0.775,0.09563552606721963,0.054000000000000006,2.172058770610327,1.9680065225065795,0.20405224810374745,2.0405224810374745,0.10903887272318302,1.0947872706437387,-0.1304375392831123,0.9120890700002902,1.2530234508674698,0.11506349682223149,1.111218770916604,-0.1304375392831124,True,True,True,True,True,True,True,True,True,False,False,True,True,False
U56,W756,756,R1Y,252,13,10,0.8333333333333334,13,1.0,0.625,0.475,0.5,0.425,0.7,0.08660254037844385,0.075,2.1491982544865786,1.9680065225065795,0.18119173197999916,1.8119173197999916,0.10584477427977812,1.0712066245500882,-0.1304375392831124,0.8886551406713927,1.2321028691730884,0.11130544463791048,1.0976193501900593,-0.1304375392831124,True,True,True,True,True,True,True,True,True,False,False,True,True,False
U56,W756,756,R2Y,504,7,6,1.0,7,1.0,0.625,0.475,0.5,0.425,0.7,0.09543135154205275,0.11666666666666665,2.2270873118155463,1.9680065225065795,0.25908078930896683,2.5908078930896683,0.11468337843526277,1.1097888611589275,-0.1304375392831123,0.9075389527803688,1.2854581787930466,0.1224451838774574,1.1517089937697917,-0.1304375392831123,True,True,True,True,True,True,True,True,True,False,False,True,True,False
U56,W1260,1260,R6M,126,26,18,0.72,26,1.0,0.675,0.5,0.575,0.425,0.675,0.07634058301705993,0.033,2.2407088010650584,2.2490288615999074,-0.008320060534849016,-0.08320060534849016,0.11714236615444706,1.1325400188895625,-0.11792373859827066,0.9498675511180977,1.2920535532235287,0.12342260681403427,1.1678926239434984,-0.11792373859827043,True,True,True,True,True,True,True,True,True,False,True,True,True,False
U56,W1260,1260,R1Y,252,13,11,0.9166666666666666,13,1.0,0.675,0.525,0.55,0.425,0.675,0.0817477357955088,0.05833333333333335,2.2339165339589218,2.155552566220003,0.07836396773891874,0.7836396773891874,0.11381295378606637,1.104828639653715,-0.12434684254920814,0.9140602547321781,1.2734081407461029,0.11928482743551361,1.1404185000591267,-0.12434684254920747,True,True,True,True,True,True,True,True,True,False,False,True,True,False
U56,W1260,1260,R2Y,504,7,6,1.0,7,1.0,0.675,0.525,0.55,0.45,0.675,0.08762745818846643,0.09166666666666667,2.2643878261973147,2.155552566220003,0.1088352599773117,1.088352599773117,0.11887058496226621,1.131162846125415,-0.1327775230287791,0.950715311575484,1.293186549036007,0.1254586631429888,1.180075307286209,-0.13277752302877877,True,True,True,True,True,True,True,True,True,False,False,True,True,False
U56,WEXP,-1,R6M,126,26,9,0.36,26,1.0,0.675,0.625,0.625,0.525,0.675,0.03872983346207417,0.014000000000000004,2.455006834742323,2.435615544523417,0.019391290218905954,0.19391290218905954,0.13130165196158594,1.1364092262481147,-0.15513474393540005,0.9378114351781357,1.3179635401444982,0.13946507448629863,1.1688246169420917,-0.15513474393540028,True,True,True,True,True,True,True,True,True,False,False,True,True,False
