claim_set,L_ladder,n_rungs,n_decisions,always_resolved,never_resolved,L_DEPENDENT,frac_L_dependent,mean_rungs_disagreeing_with_63,max_rungs_disagreeing_with_63
CS_STRICT,LL_REC,4,72,14,52,6,0.08333333333333333,0.09722222222222222,2
CS_PROX,LL_REC,4,72,14,52,6,0.08333333333333333,0.09722222222222222,2
CS_ALL,LL_REC,4,72,14,52,6,0.08333333333333333,0.09722222222222222,2
CS_STRICT,LL_FULL,11,72,11,38,23,0.3194444444444444,0.6666666666666666,5
CS_PROX,LL_FULL,11,72,11,38,23,0.3194444444444444,0.6666666666666666,5
CS_ALL,LL_FULL,11,72,11,38,23,0.3194444444444444,0.6666666666666666,5
CS_STRICT,LL_WIDE,12,72,11,0,61,0.8472222222222222,1.4444444444444444,5
CS_PROX,LL_WIDE,12,72,11,0,61,0.8472222222222222,1.4444444444444444,5
CS_ALL,LL_WIDE,12,72,11,0,61,0.8472222222222222,1.4444444444444444,5
