rule,cells_ahead,panels_ahead,folds_ahead,n_folds,pooled_delta,sign_kept
M_NONE,8,2,6,14,0.0016564096236456247,True
M_SUBSAMPLE,6,2,5,14,-0.013509085331120276,False
M_PAIRWISE,6,2,5,14,-0.013509085331120276,False
M_D2,5,2,5,14,-0.014267987326792865,False
